Loại hình nhà ở,Diện tích (m²),Chiều rộng (m),Chiều dài (m),Mặt tiền (m),Số tầng,Số phòng ngủ,Số toilet,Pháp lý,Nội thất,Hướng nhà,Hướng ban công,Đường vào (m),Ngày đăng,Ngày hết hạn,Loại tin,Tên dự án,Đường/Phố,Phường/Xã/Thị trấn,Quận/Huyện,Tỉnh thành,Mức giá (tỷ)
Nhà phố liền kề,88,,,,1,4,4,Đã có sổ,,Tây,,,10/26/2023,,,,Đường Số 8,Phường Bình Hưng Hoà B,Bình Tân,TP Hồ Chí Minh,5.25
"Nhà ngõ, hẻm",52,,,,5,4,3,Đã có sổ,,Đông Nam,,,11/09/2023,,,,Dương Văn Dương,Phường Tân Quý,Tân Phú,TP Hồ Chí Minh,6.55
Nhà mặt phố,80,4,,,4,5,6,Đã có sổ,,,,,10/18/2023,,,,a4,Phường 12,Tân Bình,TP Hồ Chí Minh,12
Nhà mặt phố,35,,,,4,4,3,Đã có sổ,,Đông,,,11/16/2023,,,,Đường Lê Lợi,Phường Bến Nghé,Quận 1,TP Hồ Chí Minh,53
Nhà phố liền kề,43.9,,,,3,3,3,Đã có sổ,,Đông,,,10/24/2023,,,,Đường Trần Xuân Soạn,Phường Tân Hưng,Quận 7,TP Hồ Chí Minh,6.2
Nhà mặt phố,150,6,25,,,1,,Đã có sổ,,Đông,,,10/22/2023,,,,Tân Quý,Phường Tân Quý,Tân Phú,TP Hồ Chí Minh,17.9
"Nhà ngõ, hẻm",400,22,18,,,6,,,,,,,09/24/2023,,,,Trần Khắc Chân,Phường Tân Định,Quận 1,TP Hồ Chí Minh,93.5
"Nhà ngõ, hẻm",46,,,,4,4,4,Đã có sổ,Có nội thất,,,,09/24/2023,,,,Tô Hiến Thành,Phường 14,Quận 10,TP Hồ Chí Minh,2.56
"Nhà ngõ, hẻm",68,,,,5,6,Nhiều hơn 6 phòng,Đã có sổ,,Đông Nam,,,09/24/2023,,,,Trần khắc Chân,Phường Tân Định,Quận 1,TP Hồ Chí Minh,17.3
Nhà phố liền kề,65,,,,3,4,3,Đã có sổ,Có nội thất,,,,10/29/2023,,,,Lê Thị Hồng,Phường 17,Gò Vấp,TP Hồ Chí Minh,6.7
"Nhà ngõ, hẻm",88,,,,1,1,1,Đã có sổ,,Tây Nam,,,10/09/2023,,,,Đường Nguyễn Siêu,Phường Bến Nghé,Quận 1,TP Hồ Chí Minh,24.5
Nhà mặt phố,142,6,23,,,3,2,Đã có sổ,,,,,10/09/2023,,,,Đường số 13A,Thị trấn Củ Chi,Củ Chi,TP Hồ Chí Minh,4.3
"Nhà ngõ, hẻm",100,,,,3,5,5,Đã có sổ,Có nội thất,,,,11/05/2023,,,,Bùi Quang Là,Phường 12,Gò Vấp,TP Hồ Chí Minh,6.9
Nhà mặt phố,90,,,,1,3,3,Đã có sổ,,Tây Nam,,,11/11/2023,,,,Đường 130,Xã Tân Thạnh Đông,Củ Chi,TP Hồ Chí Minh,2.8
"Nhà ngõ, hẻm",56,4,,,,1,,Giấy tờ khác,Không có nội thất,Nam,,,11/13/2023,,,,Bộ Độii An Đièn,Xã Vĩnh Lộc A,Bình Chánh,TP Hồ Chí Minh,1.6
"Nhà ngõ, hẻm",37,3.3,8.3,,,5,4,,,Tây Nam,,,11/13/2023,,,,An Bình,Phường 5,Quận 5,TP Hồ Chí Minh,5.67
Nhà mặt phố,75,6,,,,2,2,Đã có sổ,Không có nội thất,,,,11/01/2023,,,,Đường Nguyễn Duy Trinh,Phường Trường Thạnh,TP Thủ Đức,TP Hồ Chí Minh,4
Nhà mặt phố,84,,,,,2,2,Đã có sổ,Không có nội thất,Đông Bắc,,,10/31/2023,,,,Nguyễn Thị Tư,Phường Phú Hữu,TP Thủ Đức,TP Hồ Chí Minh,4.2
"Nhà ngõ, hẻm",18,3,6,,1,1,1,,,,,,10/20/2023,,,,"458, Đường Huỳnh Tấn Phát",Phường Bình Thuận,Quận 7,TP Hồ Chí Minh,0.68
"Nhà ngõ, hẻm",24,3.6,7,,2,3,2,,,,,,11/01/2023,,,,Xô Viết Nghệ Tĩnh,Phường 26,Bình Thạnh,TP Hồ Chí Minh,2.25
"Nhà ngõ, hẻm",42,,,,,4,3,,,,,,11/12/2023,,,,Tân Kỳ Tân Quý,Phường Bình Hưng Hòa,Bình Tân,TP Hồ Chí Minh,3.9
"Nhà ngõ, hẻm",70,,,,,4,,,,,,,10/26/2023,,,,Đường Kha Vạn Cân,Phường Linh Trung,TP Thủ Đức,TP Hồ Chí Minh,7.9
"Nhà ngõ, hẻm",35,,,,2,2,2,Đã có sổ,Có nội thất,,,,10/26/2023,,,,Tỉnh lộ 8,Xã Bình Mỹ,Củ Chi,TP Hồ Chí Minh,0.9
"Nhà ngõ, hẻm",68.9,,,,3,5,Nhiều hơn 6 phòng,Đã có sổ,Không có nội thất,,,,10/27/2023,,,,Thành Thái,Phường 14,Quận 10,TP Hồ Chí Minh,4.5
