Loại hình nhà ở,Diện tích (m²),Chiều rộng (m),Chiều dài (m),Mặt tiền (m),Số tầng,Số phòng ngủ,Số toilet,Pháp lý,Nội thất,Hướng nhà,Hướng ban công,Đường vào (m),Ngày đăng,Ngày hết hạn,Loại tin,Tên dự án,Đường/Phố,Phường/Xã/Thị trấn,Quận/Huyện,Tỉnh thành,Mức giá (tỷ)
Chung cư,74,,,,,2,2,,,,,,09/28/2023,,,,"290, An Dương Vương",Phường 4,Quận 5,TP Hồ Chí Minh,5.5
Chung cư,67,,,,,2,2,,,Đông Bắc,,,09/28/2023,,,,Nguyễn Văn Linh,Xã Bình Hưng,Bình Chánh,TP Hồ Chí Minh,3.2
Chung cư,124,,,,,3,2,,Có nội thất,Đông Bắc,,,09/28/2023,,,,Phạm Hữu Lầu,Phường Phú Mỹ,Quận 7,TP Hồ Chí Minh,3.85
Chung cư,86.3,,,,,3,2,,,Tây,Tây,,09/28/2023,,,,Nguyễn Cửu Phú,Phường Tân Tạo,Bình Tân,TP Hồ Chí Minh,2.17
Chung cư,66,,,,,2,2,,,,,,09/28/2023,,,,Đường Hồng Lạc,Phường 10,Tân Bình,TP Hồ Chí Minh,2.5
Chung cư,75,,,,,2,2,,,,,,09/28/2023,,,,Trịnh Đình Thảo,Phường Hòa Thạnh,Tân Phú,TP Hồ Chí Minh,2.5
Chung cư,75,,,,,2,2,,,,,,09/28/2023,,,,"334, Tô Hiến Thành",Phường 14,Quận 10,TP Hồ Chí Minh,4.5
Chung cư,90,,,,,3,3,,,,,,09/28/2023,,,,Số 10,Phường Thảo Điền,TP Thủ Đức,TP Hồ Chí Minh,7.9
Chung cư,55,,,,,1,1,,,Tây Bắc,,,09/28/2023,,,,208 Đường Điện Biên Phủ,Phường 22,Bình Thạnh,TP Hồ Chí Minh,4.6
Chung cư,79,,,,,2,2,,,Tây Nam,,,09/28/2023,,,,208 Đường Điện Biên Phủ,Phường 22,Bình Thạnh,TP Hồ Chí Minh,6.55
Chung cư,65,,,,,2,2,,,,,,09/28/2023,,,,"27, Trịnh Đình Thảo",Phường Hòa Thạnh,Tân Phú,TP Hồ Chí Minh,2.6
Chung cư,30,,,,,1,1,Đang chờ sổ,,,,,09/28/2023,,,,Tạ Quang Bửu,Phường 5,Quận 8,TP Hồ Chí Minh,1.48
