Diện tích,Mặt tiền,Mức giá,Số tầng,Số phòng ngủ,Số toilet,Pháp lý,Nội thất,Hướng nhà,Hướng ban công,Đường vào,Ngày đăng,Ngày hết hạn,Loại tin,Địa chỉ
188 m²,,"42,5 tỷ",3 tầng,5 phòng,,,,Đông - Nam,,,24/10/2023,23/11/2023,Tin thường,"Dự án Trung Sơn, Xã Bình Hưng, Bình Chánh, Hồ Chí Minh."
100 m²,,"13,5 tỷ",4 tầng,,,,,,,,24/10/2023,23/11/2023,Tin thường,"Dự án Trung Sơn, Xã Bình Hưng, Bình Chánh, Hồ Chí Minh"
250 m²,,35 tỷ,,,,,,,,,24/10/2023,23/11/2023,Tin thường,"Dự án 6B Intresco, Xã Bình Hưng, Bình Chánh, Hồ Chí Minh"
80 m²,,"6,5 tỷ",3 tầng,4 phòng,3 phòng,Sổ đỏ/ Sổ hồng,Cơ bản,,,,01/11/2023,16/11/2023,Tin thường,"Dự án Lovera Park, Đường Trịnh Quang Nghị, Xã Phong Phú, Bình Chánh, Hồ Chí Minh"
160 m²,,30 tỷ,3 tầng,6 phòng,5 phòng,Sổ đỏ/ Sổ hồng,,,,,24/10/2023,23/11/2023,Tin thường,"Dự án Him Lam 6A, Phố 24, Xã Bình Hưng, Bình Chánh, Hồ Chí Minh"
286 m²,,Thỏa thuận,,,,Sổ đỏ/ Sổ hồng,,,,25 m,28/10/2023,04/11/2023,Tin thường,"Xã Phạm Văn Hai, Bình Chánh, Hồ Chí Minh"
200 m²,,27 tỷ,3 tầng,5 phòng,,Sổ đỏ/ Sổ hồng,,,,,24/10/2023,23/11/2023,Tin thường,"Dự án Trung Sơn, Bình Chánh, Hồ Chí Minh"
100 m²,5 m,"17,5 tỷ",5 tầng,4 phòng,6 phòng,Sổ đỏ/ Sổ hồng.,Đầy đủ.,Đông,Đông,"10,5 m",31/10/2023,15/11/2023,Tin thường,"Dự án Trung Sơn, Đường 5, Xã Bình Hưng, Bình Chánh, Hồ Chí Minh"
740 m²,38 m,64 tỷ,4 tầng,18 phòng,39 phòng,Sổ đỏ/ Sổ hồng,Cơ bản,Đông - Bắc,Đông,12 m,31/10/2023,30/11/2023,Tin thường,"Dự án Dương Hồng Garden House, Đường Nguyễn Văn Linh, Xã Bình Hưng, Bình Chánh, Hồ Chí Minh"
"330,7 m²",25 m,35 tỷ,2 tầng,5 phòng,4 phòng,Sổ đỏ/ Sổ hồng.,Đầy đủ,Tây - Bắc,,,31/10/2023,10/11/2023,Tin thường,"Dự án Đại Phúc Green Villas, Đường Phạm Hùng, Xã Bình Hưng, Bình Chánh, Hồ Chí Minh"
1.000 m²,,700 triệu,,,,Sổ đỏ/ Sổ hồng,,,,,04/11/2023,19/11/2023,Tin VIP Vàng,"Đường ĐT 725, Thị trấn Lộc Thắng, Bảo Lâm, Lâm Đồng"
250 m²,"12,5 m",45 tỷ,4 tầng,6 phòng,6 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,Bắc,Bắc,10 m,31/10/2023,10/11/2023,Tin thường,"Dự án Him Lam 6A, Phố 24, Xã Bình Hưng, Bình Chánh, Hồ Chí Minh"
100 m²,5 m,"9,7 tỷ",4 tầng,5 phòng,5 phòng,Sổ đỏ/ Sổ hồng,Cơ bản,,,12 m,31/10/2023,30/11/2023,Tin thường,"Dự án Đại Phúc Green Villas, Đường Phạm Hùng, Xã Bình Hưng, Bình Chánh, Hồ Chí Minh"
320 m²,16 m,48 tỷ,3 tầng,8 phòng,10 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,Đông - Nam,Đông - Nam,20 m,31/10/2023,10/11/2023,Tin thường,"Dự án Him Lam 6A, Phố 24, Xã Bình Hưng, Bình Chánh, Hồ Chí Minh"
250 m²,,45 tỷ,,,,,,,,,31/10/2023,10/11/2023,Tin thường,"Dự án Him Lam 6A, Phố 24, Xã Bình Hưng, Bình Chánh, Hồ Chí Minh"
200 m²,,23 tỷ,,,,,,,,,31/10/2023,10/11/2023,Tin thường,"Dự án Trung Sơn, Phố Trung Sơn, Xã Bình Hưng, Bình Chánh, Hồ Chí Minh"
95 m²,,"6,5 tỷ",3 tầng,4 phòng,,,,Đông - Bắc,,,31/10/2023,10/11/2023,Tin thường,"Dự án Greenlife 13C, Xã Phong Phú, Bình Chánh, Hồ Chí Minh"
"74,1 m²",,"7,4 tỷ",2 tầng,3 phòng,2 phòng,,,Nam,,,31/10/2023,10/11/2023,Tin thường,"Dự án Camellia Garden, Đường Nguyễn Văn Linh, Xã Bình Hưng, Bình Chánh, Hồ Chí Minh"
642 m²,,74 tỷ,3 tầng,4 phòng,,,,,,,31/10/2023,10/11/2023,Tin thường,"Dự án Mizuki Park, Đường Nguyễn Văn Linh, Xã Bình Hưng, Bình Chánh, Hồ Chí Minh"
200 m²,,45 tỷ,,,,,,,,,31/10/2023,10/11/2023,Tin thường,"Dự án Him Lam 6A, Phố 24, Xã Bình Hưng, Bình Chánh, Hồ Chí Minh"
200 m²,,"22,9 tỷ",4 tầng,,,,,,,,31/10/2023,10/11/2023,Tin thường,"Dự án Trung Sơn, Xã Bình Hưng, Bình Chánh, Hồ Chí Minh"
250 m²,,45 tỷ,,,,,,,,,31/10/2023,10/11/2023,Tin thường,"Dự án Him Lam 6A, Phố 24, Xã Bình Hưng, Bình Chánh, Hồ Chí Minh"
100 m²,5 m,"13,5 tỷ",3 tầng,,,,,Đông - Nam,Đông - Nam,16 m,31/10/2023,10/11/2023,Tin thường,"Dự án 6B Intresco, Xã Bình Hưng, Bình Chánh, Hồ Chí Minh"
