Diện tích,Mặt tiền,Mức giá,Số tầng,Số phòng ngủ,Số toilet,Pháp lý,Nội thất,Hướng nhà,Hướng ban công,Đường vào,Ngày đăng,Ngày hết hạn,Loại tin,Địa chỉ
400 m²,20 m,"32,5 tỷ",3 tầng,5 phòng,6 phòng,Sổ đỏ/ Sổ hồng,,Bắc,,14 m,02/11/2023,17/11/2023,Tin thường,"Đường 49, Phường Tân Tạo, Bình Tân, Hồ Chí Minh"
"215,5 m²",10 m,45 tỷ,2 tầng,6 phòng,6 phòng,Sổ đỏ/ Sổ hồng,Nội thất đầy đủ,Tây - Bắc,,30 m,02/11/2023,17/11/2023,Tin thường,"Đường Số 19, Phường Bình Trị Đông B, Bình Tân, Hồ Chí Minh"
185 m²,10 m,23 tỷ,3 tầng,5 phòng,5 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,Đông,,,01/11/2023,11/11/2023,Tin thường,"Đường Số 28, Phường Bình Trị Đông B, Bình Tân, Hồ Chí Minh"
493 m²,,"25,5 tỷ",,,,Sổ đỏ/ Sổ hồng.,,,,,02/11/2023,12/11/2023,Tin thường,"Đường Liên Khu 5-6, Phường Bình Hưng Hòa B, Bình Tân, Hồ Chí Minh"
200 m²,10 m,33 tỷ,5 tầng,5 phòng,5 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,Đông,,20 m,01/11/2023,11/11/2023,Tin thường,"Đường Số 32, Phường Bình Trị Đông B, Bình Tân, Hồ Chí Minh"
1.000 m²,,700 triệu,,,,Sổ đỏ/ Sổ hồng,,,,,04/11/2023,19/11/2023,Tin VIP Vàng,"Đường ĐT 725, Thị trấn Lộc Thắng, Bảo Lâm, Lâm Đồng"
90 m²,6 m,"9,3 tỷ",5 tầng,5 phòng,5 phòng,"Sổ hồng,hoàn công,cầm tay","Đa dụng, hiện đại..tràn ngập ánh sáng, thông gió tự nhiên",Tây - Bắc,,12 m,01/11/2023,16/11/2023,Tin thường,"Đường Võ Văn Kiệt, Phường An Lạc, Bình Tân, Hồ Chí Minh"
230 m²,,26 tỷ,3 tầng,6 phòng,6 phòng,Sổ đỏ/ Sổ hồng,,,,,01/11/2023,11/11/2023,Tin thường,"Đường Liên Khu 1-6, Phường Bình Trị Đông, Bình Tân, Hồ Chí Minh"
180 m²,10 m,"23,9 tỷ",3 tầng,5 phòng,4 phòng,Sổ đỏ/ Sổ hồng,Cơ bản,Đông,Đông,12 m,01/11/2023,16/11/2023,Tin thường,"Đường Số 22, Phường Bình Trị Đông B, Bình Tân, Hồ Chí Minh"
50 m²,,Thỏa thuận,,2 phòng,2 phòng,,Cơ bản,,,,31/10/2023,30/11/2023,Tin thường,"Dự án The Privia, Đường An Dương Vương, Phường An Lạc, Bình Tân, Hồ Chí Minh"
77 m²,5 m,10 tỷ,3 tầng,4 phòng,4 phòng,Sổ đỏ/ Sổ hồng,,,,,06/11/2023,16/11/2023,Tin thường,"Đường An Dương Vương, Phường 16, Quận 8, Hồ Chí Minh"
80 m²,,7 tỷ,,,,Sổ đỏ/ Sổ hồng,,,,,31/10/2023,10/11/2023,Tin thường,"Bảo Tân Residence, Đường Nguyễn Triệu Luật, Phường Tân Tạo, Bình Tân, Hồ Chí Minh"
297 m²,12 m,45 tỷ,2 tầng,4 phòng,4 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,Tây - Bắc,Tây - Bắc,12 m,30/10/2023,09/11/2023,Tin thường,"Số 14 Đường 12, Phường Bình Trị Đông B, Quận Bình Tân, TP.HCM"
200 m²,10 m,32 tỷ,4 tầng,5 phòng,5 phòng,,,,,,30/10/2023,09/11/2023,Tin thường,"Đường Số 6A, Phường Bình Trị Đông B, Bình Tân, Hồ Chí Minh"
187 m²,10 m,23 tỷ,3 tầng,4 phòng,4 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,Đông,Đông,12 m,30/10/2023,09/11/2023,Tin thường,"Đường 28, Phường Bình Trị Đông B, Bình Tân, Hồ Chí Minh"
300 m²,"15,5 m",30 tỷ,3 tầng,5 phòng,5 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,,,16 m,30/10/2023,09/11/2023,Tin thường,"Đường 49, Phường Tân Tạo, Bình Tân, Hồ Chí Minh"
160 m²,8 m,"17,5 tỷ",3 tầng,4 phòng,4 phòng,,,Đông,,,29/10/2023,08/11/2023,Tin thường,"Đường Số 18, Phường Bình Trị Đông B, Bình Tân, Hồ Chí Minh"
400 m²,20 m,42 tỷ,2 tầng,4 phòng,4 phòng,,,Tây,,,29/10/2023,08/11/2023,Tin thường,"Đường Số 10, Phường Bình Trị Đông B, Bình Tân, Hồ Chí Minh"
79 m²,,"6,5 tỷ",,,,Sổ đỏ/ Sổ hồng,,,,,28/10/2023,07/11/2023,Tin thường,"Đường Liên khu 4-5, Phường Bình Hưng Hòa B, Bình Tân, Hồ Chí Minh"
90 m²,,"7,2 tỷ",4 tầng,4 phòng,5 phòng,Sổ đỏ/ Sổ hồng,,,,12 m,28/10/2023,07/11/2023,Tin thường,"Phường Tân Tạo, Bình Tân, Hồ Chí Minh"
140 m²,,"12,6 tỷ",4 tầng,5 phòng,5 phòng,Sổ hồng hoàn công đầy đủ.,Cao cấp,,,12 m,27/10/2023,06/11/2023,Tin thường,"Đường Số 7, Phường Tân Tạo, Bình Tân, Hồ Chí Minh"
380 m²,20 m,"29,5 tỷ",3 tầng,5 phòng,6 phòng,Sổ hồng riêng,Gỗ Đỏ Cao Cấp,,,20 m,27/10/2023,26/11/2023,Tin thường,"Đường Bình Thành, Phường Bình Hưng Hòa B, Bình Tân, Hồ Chí Minh"
