Diện tích,Mặt tiền,Mức giá,Số tầng,Số phòng ngủ,Số toilet,Pháp lý,Nội thất,Hướng nhà,Hướng ban công,Đường vào,Ngày đăng,Ngày hết hạn,Loại tin,Địa chỉ
110 m²,,3 tỷ,,,,Hợp đồng mua bán.,,,,,09/11/2023,19/11/2023,Tin thường,"Dự án La Maison De Cần Giờ, Đường Lương Văn Nho, Xã Long Hòa, Cần Giờ, Hồ Chí Minh"
260 m²,,"6,8 tỷ",3 tầng,,,Sổ đỏ/ Sổ hồng,,Bắc,Bắc,,05/11/2023,15/11/2023,Tin thường,"Đường Phước Lộc, Xã Long Hòa, Cần Giờ, Hồ Chí Minh"
110 m²,5 m,"3,6 tỷ",,,,Sổ đỏ/ Sổ hồng.,,,,,24/10/2023,03/11/2023,Tin thường,"Dự án La Maison De Cần Giờ, Đường Lương Văn Nho, Xã Long Hòa, Cần Giờ, Hồ Chí Minh"
260 m²,"8,25 m","6,7 tỷ",3 tầng,4 phòng,3 phòng,Sổ đỏ/ Sổ hồng,,,,,17/10/2023,27/10/2023,Tin thường,"Dự án La Maison De Cần Giờ, Đường Lương Văn Nho, Xã Long Hòa, Cần Giờ, Hồ Chí Minh"
547 m²,,35 triệu/m²,,,,,,Đông - Bắc,Đông - Nam,,30/10/2023,29/11/2023,Tin thường,"Dự án Sunflower, Đường Lê Lai, Phường Định Hòa, Thủ Dầu Một, Bình Dương"
110 m²,5 m,4 tỷ,3 tầng,,,Sổ đỏ/ Sổ hồng,,,,8 m,10/10/2023,20/10/2023,Tin thường,"Dự án La Maison De Cần Giờ, Đường Lương Văn Nho, Xã Long Hòa, Cần Giờ, Hồ Chí Minh"
110 m²,,"36,36 triệu/m²",,,,Sổ đỏ/ Sổ hồng,,,,,07/10/2023,17/10/2023,Tin thường,"Dự án La Maison De Cần Giờ, Đường Lương Văn Nho, Xã Long Hòa, Cần Giờ, Hồ Chí Minh"
100 m²,5 m,6 tỷ,3 tầng,3 phòng,4 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,Đông,Đông,6 m,19/08/2023,18/09/2023,Tin thường,"Dự án La Maison De Cần Giờ, Huyện Cần Giờ, Hồ Chí Minh"
110 m²,12 m,"4,7 tỷ",2 tầng,,,Có sổ hồng,,,,,13/08/2023,23/08/2023,Tin thường,"Dự án La Maison De Cần Giờ, Đường Lương Văn Nho, Xã Long Hòa, Cần Giờ, Hồ Chí Minh"
499 m²,,"51,03 tỷ",,3 phòng,3 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,,,,07/11/2023,17/11/2023,Tin thường,"Dự án Gran Melia Nha Trang, Phường Vĩnh Hòa, Nha Trang, Khánh Hòa"
1.140 m²,,"6,2 tỷ",1 tầng,3 phòng,2 phòng,Sổ đỏ/ Sổ hồng,,,,14 m,15/07/2023,25/07/2023,Tin thường,"Đường Lý Nhơn, Xã Lý Nhơn, Cần Giờ, Hồ Chí Minh"
"159,9 m²",,32 triệu/m²,,,,Hợp đồng mua bán,,,,,12/06/2023,22/06/2023,Tin thường,"Dự án La Maison De Cần Giờ, Đường Lương Văn Nho, Xã Long Hòa, Cần Giờ, Hồ Chí Minh"
110 m²,,"3,6 tỷ",,,,,,,,,12/06/2023,22/06/2023,Tin thường,"Dự án La Maison De Cần Giờ, Đường Lương Văn Nho, Xã Long Hòa, Cần Giờ, Hồ Chí Minh"
330 m²,,"14,3 triệu/m²",,,,Hợp đồng mua bán,,,,,01/06/2023,11/06/2023,Tin thường,"Dự án La Maison De Cần Giờ, Đường Lương Văn Nho, Xã Long Hòa, Cần Giờ, Hồ Chí Minh"
110 m²,12 m,"4,7 tỷ",2 tầng,,,Có sổ hồng,,,,,30/05/2023,29/06/2023,Tin thường,"Dự án La Maison De Cần Giờ, Đường Lương Văn Nho, Xã Long Hòa, Cần Giờ, Hồ Chí Minh"
110 m²,,"4,3 tỷ",3 tầng,3 phòng,4 phòng,,,,,40 m,30/05/2023,29/06/2023,Tin thường,"Dự án La Maison De Cần Giờ, Đường Lương Văn Nho, Phường Cần Thạnh , Cần Giờ, Hồ Chí Minh"
110 m²,5 m,4 tỷ,2 tầng,3 phòng,3 phòng,Sổ đỏ/ Sổ hồng,,,,10 m,21/05/2023,05/06/2023,Tin thường,"Dự án La Maison De Cần Giờ, Đường Lương Văn Nho, Xã Long Hòa, Cần Giờ, Hồ Chí Minh"
