Diện tích,Mặt tiền,Mức giá,Số tầng,Số phòng ngủ,Số toilet,Pháp lý,Nội thất,Hướng nhà,Hướng ban công,Đường vào,Ngày đăng,Ngày hết hạn,Loại tin,Địa chỉ
2.030 m²,34 m,15 tỷ,3 tầng,4 phòng,4 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,,,6 m,04/11/2023,11/11/2023,Tin VIP Bạc,"Đường Tỉnh Lộ 2, Xã Trung Lập Hạ, Củ Chi, Hồ Chí Minh"
643 m²,,"10,5 tỷ",,4 phòng,3 phòng,Sổ đỏ/ Sổ hồng.,Đầy đủ,,,,08/11/2023,18/11/2023,Tin thường,"Đường Bình Mỹ, Xã Bình Mỹ, Củ Chi, Hồ Chí Minh"
2.040 m²,34 m,15 tỷ,,,,,,,,,07/11/2023,17/11/2023,Tin thường,"Xã Trung Lập Hạ, Củ Chi, Hồ Chí Minh"
2.030 m²,,15 tỷ,4 tầng,5 phòng,4 phòng,Sổ đỏ/ Sổ hồng,,,,,05/11/2023,15/11/2023,Tin thường,"Đường Tỉnh Lộ 2, Xã Trung Lập Hạ, Củ Chi, Hồ Chí Minh"
2.030 m²,,15 tỷ,,,,Sổ đỏ/ Sổ hồng,,,,,05/11/2023,15/11/2023,Tin thường,"Xã Trung Lập Hạ, Củ Chi, Hồ Chí Minh"
499 m²,,"51,03 tỷ",,3 phòng,3 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,,,,07/11/2023,17/11/2023,Tin thường,"Dự án Gran Melia Nha Trang, Phường Vĩnh Hòa, Nha Trang, Khánh Hòa"
2.030 m²,,15 tỷ,4 tầng,5 phòng,4 phòng,Sổ đỏ/ Sổ hồng,,,,,05/11/2023,15/11/2023,Tin thường,"Đường Tỉnh Lộ 2, Xã Trung Lập Hạ, Củ Chi, Hồ Chí Minh"
250 m²,,"7,5 tỷ",2 tầng,4 phòng,3 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ nội thất,,,,03/11/2023,03/12/2023,Tin thường,"Dự án Tuyết Anh Sài Gòn Riverside Villas, Huyện Củ Chi, Hồ Chí Minh"
2.030 m²,,15 tỷ,,,,Sổ đỏ/ Sổ hồng.,,,,,03/11/2023,13/11/2023,Tin thường,"Đường Nguyễn Thị Rành, Xã Trung Lập Hạ, Củ Chi, Hồ Chí Minh"
643 m²,,"10,5 tỷ",,4 phòng,3 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,,,8 m,02/11/2023,12/11/2023,Tin thường,"Đường Bình Mỹ, Xã Bình Mỹ, Củ Chi, Hồ Chí Minh"
547 m²,,35 triệu/m²,,,,,,Đông - Bắc,Đông - Nam,,30/10/2023,29/11/2023,Tin thường,"Dự án Sunflower, Đường Lê Lai, Phường Định Hòa, Thủ Dầu Một, Bình Dương"
2.030 m²,,15 tỷ,3 tầng,4 phòng,5 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,,,,01/11/2023,11/11/2023,Tin thường,"Xã Trung Lập Hạ, Củ Chi, Hồ Chí Minh"
"4.053,5 m²",,27 tỷ,,,,Sổ đỏ/ Sổ hồng.,,,,,01/11/2023,11/11/2023,Tin thường,"Đường Tỉnh lộ 15, Xã An Nhơn Tây, Củ Chi, Hồ Chí Minh"
2.030 m²,,7 triệu/m²,,,,,,,,,01/11/2023,11/11/2023,Tin thường,"Xã Trung Lập Hạ, Củ Chi, Hồ Chí Minh"
600 m²,,"4,9 tỷ",1 tầng,3 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Cơ bản,,,8 m,01/11/2023,11/11/2023,Tin thường,"Đường 798, Xã An Phú, Củ Chi, Hồ Chí Minh"
6.178 m²,40 m,79 tỷ,2 tầng,7 phòng,5 phòng,,"Nhà và Đất đầy đủ sân vườn, cây xanh, hồ nước, sông, rạch.",Đông - Nam,Đông - Nam,40 m,30/10/2023,29/11/2023,Tin thường,"Đường Võ Văn Bích, Xã Bình Mỹ, Củ Chi, Hồ Chí Minh"
2.030 m²,34 m,15 tỷ,4 tầng,3 phòng,,Đã có sổ,Đầy đủ,Tây - Nam,,10 m,17/10/2023,16/11/2023,Tin thường,"Xã Trung Lập Hạ, Củ Chi, Hồ Chí Minh"
250 m²,10 m,"7,8 tỷ",3 tầng,3 phòng,5 phòng,Sổ đỏ/ Sổ hồng,Không nội thất,Tây - Nam,Tây - Nam,50 m,13/10/2023,12/11/2023,Tin thường,"Sài Gòn Riverside Villas, Tổ 6 Ấp 3, Đường Tỉnh lộ 8, Xã Bình Mỹ, Củ Chi, Hồ Chí Minh"
1.250 m²,38 m,10 tỷ,2 tầng,4 phòng,4 phòng,Sổ đỏ/ Sổ hồng.,Đầy đủ.,Tây - Bắc,,10 m,31/10/2023,10/11/2023,Tin thường,"Đường 498, Thị trấn Củ Chi, Củ Chi, Hồ Chí Minh"
2.030 m²,,15 tỷ,4 tầng,,,,,,,,25/10/2023,04/11/2023,Tin thường,"Xã Trung Lập Hạ, Củ Chi, Hồ Chí Minh"
"1.175,3 m²",15 m,12 tỷ,,3 phòng,3 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,Đông - Bắc,Nam,7 m,18/10/2023,28/10/2023,Tin thường,"Đường Đỗ Đăng Tuyển, Xã Nhuận Đức, Củ Chi, Hồ Chí Minh"
100 m²,,3 tỷ,1 tầng,2 phòng,3 phòng,Sổ hồng,Full nội thất cao cấp.,,,,23/10/2023,02/11/2023,Tin thường,"Đường Nguyễn Thị Nê, Xã Phú Hòa Đông, Củ Chi, Hồ Chí Minh"
260 m²,,"7,8 tỷ",3 tầng,3 phòng,4 phòng,Sổ hồng,Đầy đủ,,,,21/10/2023,31/10/2023,Tin thường,"Đường Tỉnh lộ 8, Xã Bình Mỹ, Củ Chi, Hồ Chí Minh"
