Diện tích,Mặt tiền,Mức giá,Số tầng,Số phòng ngủ,Số toilet,Pháp lý,Nội thất,Hướng nhà,Hướng ban công,Đường vào,Ngày đăng,Ngày hết hạn,Loại tin,Địa chỉ
100 m²,5 m,"15,5 tỷ",4 tầng,,,Sổ hồng chính chủ,Cao Cấp,,,30 m,11/11/2023,21/11/2023,Tin thường,"Dự án Cityland Z751, Đường Trần Thị Nghỉ, Phường 7, Gò Vấp, Hồ Chí Minh"
220 m²,11 m,40 tỷ,4 tầng,6 phòng,7 phòng,Sổ hồng,,,,16 m,11/11/2023,21/11/2023,Tin thường,"Dự án CityLand Park Hills, Đường Phan Văn Trị, Phường 10, Gò Vấp, Hồ Chí Minh"
100 m²,5 m,28 tỷ,5 tầng,8 phòng,7 phòng,Sổ đỏ/ Sổ hồng,,,,36 m,02/11/2023,12/11/2023,Tin thường,"Dự án CityLand Park Hills, Đường Phan Văn Trị, Phường 10, Gò Vấp, Hồ Chí Minh"
100 m²,5 m,"16,8 tỷ",4 tầng,4 phòng,4 phòng,Sổ đỏ/ Sổ hồng.,Không nội thất.,,,,03/11/2023,13/11/2023,Tin thường,"Dự án Cityland Garden Hills, Đường Số 6, Phường 5, Gò Vấp, Hồ Chí Minh"
220 m²,,"34,9 tỷ",,,,Sổ đỏ/ Sổ hồng,,,,,02/11/2023,12/11/2023,Tin thường,"Dự án CityLand Park Hills, Đường Phan Văn Trị, Phường 10, Gò Vấp, Hồ Chí Minh"
110 m²,5 m,3 tỷ,3 tầng,6 phòng,4 phòng,Đã có sổ hồng,,,,15 m,01/11/2023,01/12/2023,Tin thường,"Dự án Cát Tường Western Pearl, Đường Trần Hưng Đạo, Phường 5, Vị Thanh, Hậu Giang"
100 m²,5 m,"16,7 tỷ",5 tầng,8 phòng,6 phòng,Sổ đỏ/ Sổ hồng,,,,14 m,02/11/2023,12/11/2023,Tin thường,"Dự án CityLand Park Hills, Đường Phan Văn Trị, Phường 10, Gò Vấp, Hồ Chí Minh"
100 m²,,"16,8 tỷ",,,,,,,,,02/11/2023,12/11/2023,Tin thường,"CityLand Park Hills, 18A, Đường Phan Văn Trị, Phường 10, Gò Vấp, Hồ Chí Minh"
100 m²,5 m,Thỏa thuận,,,,,,,,,09/11/2023,19/11/2023,Tin thường,"Dự án CityLand Park Hills, Đường Phan Văn Trị, Phường 10, Gò Vấp, Hồ Chí Minh"
100 m²,5 m,Thỏa thuận,,,,,,,,16 m,08/11/2023,18/11/2023,Tin thường,"Cityland Center Hill, Đường Trần Thị Nghỉ, Phường 7, Gò Vấp, Hồ Chí Minh"
422 m²,,"24,7 tỷ",2 tầng,2 phòng,3 phòng,Hợp đồng mua bán,Full 6* sang chảnh.,,,,10/11/2023,20/11/2023,Tin thường,"Dự án Regent Residences Phú Quốc, Xã Dương Tơ, Phú Quốc, Kiên Giang"
114 m²,6 m,"22,5 tỷ",4 tầng,,,Sổ hồng chính chủ.,Full nội thất.,,,12 m,04/11/2023,14/11/2023,Tin thường,"Dự án Cityland Garden Hills, Đường Phan Văn Trị, Phường 5, Gò Vấp, Hồ Chí Minh"
100 m²,,16 tỷ,,,,Sổ đỏ/ Sổ hồng,,,,,10/11/2023,20/11/2023,Tin thường,"Dự án Cityland Garden Hills, Đường Phan Văn Trị, Phường 5, Gò Vấp, Hồ Chí Minh"
"184,9 m²",9 m,50 tỷ,5 tầng,4 phòng,6 phòng,Sổ đỏ/ Sổ hồng.,Nội thất gỗ - thang máy.,Đông - Bắc,Đông - Bắc,12 m,11/11/2023,21/11/2023,Tin thường,"Cityland Garden Hills, 168, Đường Phan Văn Trị, Phường 5, Gò Vấp, Hồ Chí Minh"
100 m²,5 m,17 tỷ,4 tầng,5 phòng,5 phòng,Sổ đỏ/ Sổ hồng.,Nội thất dính tường.,Tây - Nam,Tây - Nam,12 m,11/11/2023,21/11/2023,Tin thường,"Cityland Garden Hills, 168, Đường Phan Văn Trị, Phường 5, Gò Vấp, Hồ Chí Minh"
100 m²,5 m,"16,5 tỷ",5 tầng,5 phòng,5 phòng,Sổ đỏ/ Sổ hồng,Cơ bản,Bắc,Bắc,12 m,11/11/2023,21/11/2023,Tin thường,"Dự án CityLand Park Hills, Đường Phan Văn Trị, Phường 10, Gò Vấp, Hồ Chí Minh"
"213,4 m²",11 m,35 tỷ,4 tầng,4 phòng,6 phòng,Sổ đỏ/ Sổ hồng.,"Nhà hoàn thiện bên ngoài, giao thô bên trong.",Tây,Tây,12 m,11/11/2023,21/11/2023,Tin thường,"Dự án CityLand Park Hills, Đường Số 14, Phường 10, Gò Vấp, Hồ Chí Minh"
220 m²,,35 tỷ,4 tầng,6 phòng,6 phòng,Sổ đỏ/ Sổ hồng,,,,,03/11/2023,13/11/2023,Tin thường,"Dự án CityLand Park Hills, Đường Số 3, Phường 10, Gò Vấp, Hồ Chí Minh"
100 m²,,"16,5 tỷ",4 tầng,6 phòng,4 phòng,Sổ đỏ/ Sổ hồng.,,,,,04/11/2023,14/11/2023,Tin thường,"Dự án CityLand Park Hills, Đường Phan Văn Trị, Phường 10, Gò Vấp, Hồ Chí Minh"
160 m²,,24 tỷ,,,,Sổ đỏ/ Sổ hồng.,,,,,11/11/2023,21/11/2023,Tin thường,"Đường Nguyễn Oanh, Phường 17, Gò Vấp, Hồ Chí Minh"
