Diện tích,Mặt tiền,Mức giá,Số tầng,Số phòng ngủ,Số toilet,Pháp lý,Nội thất,Hướng nhà,Hướng ban công,Đường vào,Ngày đăng,Ngày hết hạn,Loại tin,Địa chỉ
"187,2 m²",11 m,"10,5 tỷ",2 tầng,4 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Không nội thất,Đông - Nam,Đông - Nam,10 m,17/11/2023,24/11/2023,Tin VIP Vàng,"10/3b Đường Thới Tam Thôn 18, Xã Thới Tam Thôn, Hóc Môn, Hồ Chí Minh"
280 m²,"13,5 m","10,5 tỷ",3 tầng,4 phòng,5 phòng,Đã có sổ hồng riêng,Nội thất cao cấp,Tây - Bắc,,6 m,18/11/2023,28/11/2023,Tin thường,"Đường Tân Hiệp 17-2, Xã Tân Hiệp, Hóc Môn, Hồ Chí Minh"
300 m²,"8,5 m","9,5 tỷ",2 tầng,5 phòng,3 phòng,Sổ hồng,,,,5 m,23/11/2023,03/12/2023,Tin thường,"Đường Phan Văn Hớn, Xã Bà Điểm, Hóc Môn, Hồ Chí Minh"
300 m²,"8,5 m","9,5 tỷ",2 tầng,6 phòng,5 phòng,Đã có sổ hồng,,,,7 m,23/11/2023,03/12/2023,Tin thường,"Đường Phan Văn Hớn, Xã Bà Điểm, Hóc Môn, Hồ Chí Minh"
1.080 m²,20 m,Thỏa thuận,,3 phòng,2 phòng,,,,,,11/09/2023,Tin thường,38026372,"Đường Huỳnh Thị Na, Xã Đông Thạnh, Hóc Môn, Hồ Chí Minh"
140 m²,,"3,99 tỷ",,4 phòng,3 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,,,,23/11/2023,03/12/2023,Tin thường,"Đường Lê Thị Hà Tân Xuân, Xã Tân Xuân, Hóc Môn, Hồ Chí Minh"
168 m²,6 m,"6,45 tỷ",1 tầng,4 phòng,4 phòng,Sổ đỏ/ Sổ hồng,Cơ bản,Đông - Bắc,,6 m,22/11/2023,02/12/2023,Tin thường,"Đường Đỗ Văn Dậy 16, Xã Tân Hiệp, Hóc Môn, Hồ Chí Minh"
1.930 m²,7 m,26 tỷ,1 tầng,,,Sổ hồng,"Nội thất đầy đủ, Full gỗ",Đông,Đông,15 m,22/11/2023,22/12/2023,Tin thường,"Xã Nhị Bình, Hóc Môn, Hồ Chí Minh"
240 m²,13 m,"9,1 tỷ",2 tầng,4 phòng,5 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,,,,22/11/2023,02/12/2023,Tin thường,"Đường Tân Hiệp 17, Xã Tân Hiệp, Hóc Môn, Hồ Chí Minh"
1.360 m²,,Thỏa thuận,,,,,,,,,14/11/2023,24/11/2023,Tin thường,"Đường Võ Nguyên Giáp, Phường Phước Mỹ, Sơn Trà, Đà Nẵng"
294 m²,,"9,1 tỷ",,,,,,,,,20/11/2023,05/12/2023,Tin thường,"Đường Lê Lợi, Thị trấn Hóc Môn, Hóc Môn, Hồ Chí Minh"
160 m²,8 m,"8,3 tỷ",,,,,,,,16 m,20/11/2023,30/11/2023,Tin thường,"Dự án KDC Hoàng Hải, Đường Nguyễn Ảnh Thủ, Xã Bà Điểm, Hóc Môn, Hồ Chí Minh"
140 m²,7 m,"6,2 tỷ",3 tầng,,,,,,,7 m,20/11/2023,30/11/2023,Tin thường,"2/, Đường Tô Ký, Xã Tân Xuân, Hóc Môn, Hồ Chí Minh"
160 m²,8 m,"8,3 tỷ",2 tầng,,,,,,,,20/11/2023,30/11/2023,Tin thường,"Dự án KDC Hoàng Hải, Đường Phan Văn Hớn, Xã Bà Điểm, Hóc Môn, Hồ Chí Minh"
"338,2 m²",11 m,"13,99 tỷ",2 tầng,3 phòng,2 phòng,Sổ đỏ/ Sổ hồng,,Tây - Bắc,,6 m,19/11/2023,29/11/2023,Tin thường,"Đường Nhị Bình 17, Xã Nhị Bình, Hóc Môn, Hồ Chí Minh"
273 m²,,Thỏa thuận,,,,,Đầy đủ,,,,19/11/2023,29/11/2023,Tin thường,"Đường Tân Hiệp 17, Xã Tân Hiệp, Hóc Môn, Hồ Chí Minh"
273 m²,13 m,Thỏa thuận,2 tầng,5 phòng,5 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,,,10 m,17/11/2023,27/11/2023,Tin thường,"Xã Tân Hiệp, Hóc Môn, Hồ Chí Minh"
260 m²,13 m,"9,1 tỷ",3 tầng,4 phòng,4 phòng,Sổ đỏ/ Sổ hồng,Nội thất đầy đủ cao cấp,,,,18/11/2023,28/11/2023,Tin thường,"Ấp Tân Thới 2, Đường Tân Hiệp 17, Xã Tân Hiệp, Hóc Môn, Hồ Chí Minh"
239 m²,13 m,"9,1 tỷ",3 tầng,4 phòng,5 phòng,Sổ đỏ/ Sổ hồng,,,,,18/11/2023,28/11/2023,Tin thường,"Đường Tân Hiệp 17, Xã Tân Hiệp, Hóc Môn, Hồ Chí Minh"
240 m²,"13,5 m",10 tỷ,3 tầng,4 phòng,5 phòng,,,,,,17/11/2023,02/12/2023,Tin thường,"Đường Lê Lợi, Thị trấn Hóc Môn, Hóc Môn, Hồ Chí Minh"
130 m²,,"6,2 tỷ",2 tầng,4 phòng,3 phòng,Sổ Hồng,,Tây - Nam,,,17/11/2023,27/11/2023,Tin thường,"Đường Tô Ký, Xã Trung Chánh, Hóc Môn, Hồ Chí Minh"
119 m²,7 m,"6,5 tỷ",2 tầng,,,Sổ đỏ/ Sổ hồng,Đầy đủ,,,10 m,16/11/2023,01/12/2023,Tin thường,"Đường Tô Ký, Xã Trung Chánh, Hóc Môn, Hồ Chí Minh"
