Diện tích,Mặt tiền,Mức giá,Số tầng,Số phòng ngủ,Số toilet,Pháp lý,Nội thất,Hướng nhà,Hướng ban công,Đường vào,Ngày đăng,Ngày hết hạn,Loại tin,Địa chỉ
230 m²,,33 tỷ,4 tầng,,,,,,,,20/11/2023,27/11/2023,Tin VIP Bạc,"Đường Trường Sơn, Phường 4, Tân Bình, Hồ Chí Minh"
200 m²,10 m,37 tỷ,5 tầng,,,Sổ đỏ/ Sổ hồng,,,,8 m,30/10/2023,29/11/2023,Tin thường,"Đường Lê Văn Sỹ, Phường 1, Tân Bình, Hồ Chí Minh"
216 m²,9 m,44 tỷ,4 tầng,9 phòng,9 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,,,15 m,23/11/2023,03/12/2023,Tin thường,"Đường Phạm Phú Thứ, Phường 11, Tân Bình, Hồ Chí Minh"
"147,2 m²",,33 tỷ,,,,Sổ đỏ/ Sổ hồng,,,,,23/11/2023,08/12/2023,Tin thường,"Đường Nguyễn Trọng Tuyển, Phường 1, Tân Bình, Hồ Chí Minh"
240 m²,12 m,"8,6 tỷ",2 tầng,,,Hợp đồng mua bán,,,,12 m,09/11/2023,Tin thường,38177258,"Dự án NovaWorld Phan Thiết, Đường Lạc Long Quân, Xã Tiến Thành, Phan Thiết, Bình Thuận"
"203,58 m²",,70 tỷ,4 tầng,5 phòng,6 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,,,,23/11/2023,03/12/2023,Tin thường,"Đường Sông Thao, Phường 2, Tân Bình, Hồ Chí Minh"
200 m²,10 m,43 tỷ,4 tầng,6 phòng,6 phòng,Sổ đỏ/ Sổ hồng,,Đông - Nam,,12 m,23/11/2023,03/12/2023,Tin thường,"42, Đường Nguyễn Minh Hoàng, Phường 12, Tân Bình, Hồ Chí Minh"
155 m²,"9,6 m",35 tỷ,6 tầng,,,,,,,10 m,14/11/2023,29/11/2023,Tin thường,"Đường Nguyễn Trọng Tuyển, Phường 2, Tân Bình, Hồ Chí Minh"
225 m²,15 m,"25,4 tỷ",3 tầng,,,Sổ đỏ/ Sổ hồng,Đầy đủ,,,,22/11/2023,02/12/2023,Tin thường,"Đường Lam Sơn, Phường 2, Tân Bình, Hồ Chí Minh"
1.360 m²,,Thỏa thuận,,,,,,,,,14/11/2023,24/11/2023,Tin thường,"Đường Võ Nguyên Giáp, Phường Phước Mỹ, Sơn Trà, Đà Nẵng"
"92,6 m²",,Thỏa thuận,2 tầng,4 phòng,3 phòng,,,,,,22/11/2023,02/12/2023,Tin thường,"Đường Bàu Cát, Phường 14, Tân Bình, Hồ Chí Minh"
100 m²,5 m,16 tỷ,5 tầng,,,Sổ đỏ/ Sổ hồng,,,,,22/11/2023,02/12/2023,Tin thường,"Đường Huỳnh Lan Khanh, Phường 2, Tân Bình, Hồ Chí Minh"
117 m²,,32 tỷ,5 tầng,6 phòng,4 phòng,Sổ đỏ/ Sổ hồng,,,,,22/11/2023,02/12/2023,Tin thường,"Đường Hoàng Việt, Phường 4, Tân Bình, Hồ Chí Minh"
600 m²,20 m,62 tỷ,4 tầng,30 phòng,30 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,,,12 m,22/11/2023,22/12/2023,Tin thường,"Đường Trương Công Định, Phường 14, Tân Bình, Hồ Chí Minh"
620 m²,20 m,79 tỷ,,25 phòng,25 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,,,10 m,22/11/2023,22/12/2023,Tin thường,"Đường Bàu Cát, Phường 14, Tân Bình, Hồ Chí Minh"
128 m²,9 m,32 tỷ,5 tầng,5 phòng,5 phòng,Pháp lý sạch,Full nội thất,,,8 m,22/11/2023,02/12/2023,Tin thường,"Đường Nguyễn Trọng Tuyển, Phường 2, Tân Bình, Hồ Chí Minh"
155 m²,,Thỏa thuận,5 tầng,5 phòng,6 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ.,,,,21/11/2023,06/12/2023,Tin thường,"Đường Nguyễn Trọng Tuyển, Phường 1, Tân Bình, Hồ Chí Minh"
160 m²,,"21,5 tỷ",3 tầng,4 phòng,5 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,,,,21/11/2023,01/12/2023,Tin thường,"Đường Đất Thánh, Phường 6, Tân Bình, Hồ Chí Minh"
220 m²,,45 tỷ,4 tầng,9 phòng,10 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,,,,21/11/2023,01/12/2023,Tin thường,"Đường Cách Mạng Tháng Tám, Phường 11, Tân Bình, Hồ Chí Minh"
"166,8 m²",,"33,5 tỷ",,8 phòng,,,,,,,21/11/2023,01/12/2023,Tin thường,"Đường Hoàng Văn Thụ, Phường 4, Tân Bình, Hồ Chí Minh"
215 m²,9 m,44 tỷ,4 tầng,9 phòng,10 phòng,Sổ đỏ/ Sổ hồng,Nội thất gỗ cao cấp,,,8 m,20/11/2023,30/11/2023,Tin thường,"Đường Phạm Phú Thứ, Phường 11, Tân Bình, Hồ Chí Minh"
215 m²,9 m,40 tỷ,4 tầng,9 phòng,10 phòng,Sổ đỏ.,,,,,20/11/2023,30/11/2023,Tin thường,"Đường Phạm Phú Thứ, Phường 11, Tân Bình, Hồ Chí Minh"
