Diện tích,Mặt tiền,Mức giá,Số tầng,Số phòng ngủ,Số toilet,Pháp lý,Nội thất,Hướng nhà,Hướng ban công,Đường vào,Ngày đăng,Ngày hết hạn,Loại tin,Địa chỉ
264 m²,8 m,50 tỷ,3 tầng,6 phòng,6 phòng,Sổ hồng,Sang trọng,,,30 m,18/11/2023,28/11/2023,Tin VIP Bạc,"Đường Tân Sơn Nhì, Phường Tân Sơn Nhì, Tân Phú, Hồ Chí Minh"
88 m²,7 m,"10,5 tỷ",3 tầng,6 phòng,6 phòng,Đầy đủ,Cao cấp,,,8 m,24/11/2023,04/12/2023,Tin thường,"Đường Lê Trọng Tấn, Phường Sơn Kỳ, Tân Phú, Hồ Chí Minh"
"299,6 m²",,"22,55 tỷ",4 tầng,5 phòng,7 phòng,Hợp đồng mua bán,Không nội thất,Đông - Bắc,,,24/11/2023,04/12/2023,Tin thường,"Dự án The Glen - Celadon City, Đường N1, Phường Sơn Kỳ, Tân Phú, Hồ Chí Minh."
"299,6 m²",,"22,5 tỷ",5 tầng,5 phòng,7 phòng,,,,,,24/11/2023,04/12/2023,Tin thường,"Dự án Celadon City, Đường N1, Phường Sơn Kỳ, Tân Phú, Hồ Chí Minh"
180 m²,10 m,"20,5 tỷ",4 tầng,2 phòng,2 phòng,Sổ hồng,Đầy đủ,Đông - Bắc,Đông - Bắc,10 m,25/10/2023,Tin thường,36542278,"Số nhà 68, Đường Phạm Ngọc Thảo, Phường Tây Thạnh, Tân Phú, Hồ Chí Minh"
600 m²,,100 tỷ,5 tầng,,,Sổ đỏ/ Sổ hồng,,,,,23/11/2023,03/12/2023,Tin thường,"Phường Phú Thạnh, Tân Phú, Hồ Chí Minh"
,,Thỏa thuận,,5 phòng,7 phòng,Sỡ hữu lâu dài,Bàn giao thô,Đông - Bắc,Tây - Nam,,23/11/2023,08/12/2023,Tin thường,"Dự án Celadon City, Đường N1, Phường Sơn Kỳ, Tân Phú, Hồ Chí Minh"
80 m²,,Thỏa thuận,5 tầng,5 phòng,7 phòng,Sổ hồng lâu dài.,Bàn giao nội thất hoàn thiện cơ bản.,,,,23/11/2023,08/12/2023,Tin thường,"Dự án The Glen - Celadon City, Đường N1, Phường Sơn Kỳ, Tân Phú, Hồ Chí Minh"
80 m²,,Thỏa thuận,,5 phòng,7 phòng,Sổ lâu dài.,"Bàn giao thô, bàn giao hoàn thiện.",Đông - Bắc,Tây - Nam,,23/11/2023,08/12/2023,Tin thường,"Dự án Celadon City, Đường N1, Phường Sơn Kỳ, Tân Phú, Hồ Chí Minh"
240 m²,12 m,"8,6 tỷ",2 tầng,,,Hợp đồng mua bán,,,,12 m,09/11/2023,Tin thường,38177258,"Dự án NovaWorld Phan Thiết, Đường Lạc Long Quân, Xã Tiến Thành, Phan Thiết, Bình Thuận"
500 m²,16 m,Thỏa thuận,3 tầng,5 phòng,5 phòng,Sổ đỏ/ Sổ hồng,,,,16 m,23/11/2023,08/12/2023,Tin thường,"Đường Nguyễn Hữu Tiến, Phường Tây Thạnh, Tân Phú, Hồ Chí Minh"
126 m²,7 m,"7,9 tỷ",4 tầng,5 phòng,5 phòng,Đã có sổ,,,,8 m,20/11/2023,30/11/2023,Tin thường,"Đường Tân Hương, Phường Tân Quý, Tân Phú, Hồ Chí Minh"
100 m²,5 m,"13,5 tỷ",4 tầng,4 phòng,4 phòng,Sổ đỏ/ Sổ hồng,,Tây - Nam,,14 m,23/11/2023,08/12/2023,Tin thường,"Đường S5, Phường Tây Thạnh, Tân Phú, Hồ Chí Minh"
180 m²,,20 tỷ,2 tầng,3 phòng,4 phòng,,,,,16 m,22/11/2023,02/12/2023,Tin thường,"Đường Phạm Ngọc Thảo, Phường Tây Thạnh, Tân Phú, Hồ Chí Minh"
185 m²,10 m,"20,8 tỷ",2 tầng,3 phòng,,Sổ đỏ/ Sổ hồng,Đầy đủ,,,,21/11/2023,01/12/2023,Tin thường,"Đường Phạm Ngọc Thảo, Phường Tây Thạnh, Tân Phú, Hồ Chí Minh"
168 m²,,"15,8 tỷ",2 tầng,3 phòng,3 phòng,,,,,12 m,21/11/2023,01/12/2023,Tin thường,"Đường Nguyễn Hữu Dật, Phường Tây Thạnh, Tân Phú, Hồ Chí Minh"
128 m²,8 m,"15,5 tỷ",,,,Sổ đỏ/ Sổ hồng,Đầy đủ,Bắc,,20 m,21/11/2023,01/12/2023,Tin thường,"Đường Tân Quý, Phường Tân Quý, Tân Phú, Hồ Chí Minh"
95 m²,,"22,13 tỷ",5 tầng,5 phòng,6 phòng,,,,,,20/11/2023,30/11/2023,Tin thường,"Dự án The Glen - Celadon City, Đường N1, Phường Sơn Kỳ, Tân Phú, Hồ Chí Minh"
144 m²,8 m,28 tỷ,4 tầng,4 phòng,4 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,Tây,Tây,10 m,20/11/2023,30/11/2023,Tin thường,"Hẻm số 2, Đường Diệp Minh Châu, Phường Tân Sơn Nhì, Tân Phú, Hồ Chí Minh"
161 m²,10 m,"15,5 tỷ",2 tầng,5 phòng,5 phòng,"Sổ hồng riêng, Pháp lý chuẩn",Cao cấp,,,6 m,20/11/2023,30/11/2023,Tin thường,"Đường Gò Dầu, Phường Tân Quý, Tân Phú, Hồ Chí Minh"
85 m²,,"23,55 tỷ",5 tầng,6 phòng,7 phòng,Hợp đồng mua bán,,,,,19/11/2023,29/11/2023,Tin thường,"Dự án The Glen - Celadon City, Đường N1, Phường Sơn Kỳ, Tân Phú, Hồ Chí Minh"
200 m²,12 m,"23,9 tỷ",4 tầng,4 phòng,4 phòng,Chuẩn,Cao cấp,Nam,Nam,,18/11/2023,28/11/2023,Tin thường,"Đường Trần Quang Cơ, Phường Phú Thạnh, Tân Phú, Hồ Chí Minh"
