Diện tích,Mặt tiền,Mức giá,Số tầng,Số phòng ngủ,Số toilet,Pháp lý,Nội thất,Hướng nhà,Hướng ban công,Đường vào,Ngày đăng,Ngày hết hạn,Loại tin,Địa chỉ
140 m²,7 m,"32,5 tỷ",6 tầng,5 phòng,5 phòng,Sổ đỏ/ Sổ hồng,,,,35 m,21/11/2023,01/12/2023,Tin thường,"Dự án KĐT Vạn Phúc City, Đường Nguyễn Thị Nhung, Phường Hiệp Bình Phước, Thủ Đức, Hồ Chí Minh"
161 m²,,30 tỷ,5 tầng,,6 phòng,,,,,,21/11/2023,01/12/2023,Tin thường,"Dự án KĐT Vạn Phúc City, Đường Quốc Lộ 13, Phường Hiệp Bình Phước, Thủ Đức, Hồ Chí Minh"
161 m²,,29 tỷ,4 tầng,,,,,,,,21/11/2023,01/12/2023,Tin thường,"Dự án KĐT Vạn Phúc City, Đường Quốc Lộ 13, Phường Hiệp Bình Phước, Thủ Đức, Hồ Chí Minh"
150 m²,,27 tỷ,,,,Sổ đỏ/ Sổ hồng,Đầy đủ,,,,09/11/2023,09/12/2023,Tin thường,"Dự án KĐT Vạn Phúc City, Đường Quốc Lộ 13, Phường Hiệp Bình Phước, Thủ Đức, Hồ Chí Minh"
100 m²,,"16,5 tỷ",5 tầng,5 phòng,4 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,,,,08/11/2023,08/12/2023,Tin thường,"Dự án KĐT Vạn Phúc City, Đường Quốc Lộ 13, Phường Hiệp Bình Phước, Thủ Đức, Hồ Chí Minh"
"102,5 m²",5 m,"17,5 tỷ",5 tầng,5 phòng,4 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,Đông,,,08/11/2023,08/12/2023,Tin thường,"Dự án KĐT Vạn Phúc City, Đường Quốc Lộ 13, Phường Hiệp Bình Phước, Thủ Đức, Hồ Chí Minh"
140 m²,,"31,5 tỷ",6 tầng,,,Sổ đỏ/ Sổ hồng,Cơ bản,,,,08/11/2023,08/12/2023,Tin thường,"Dự án KĐT Vạn Phúc City, Đường Nguyễn Thị Nhung, Phường Hiệp Bình Phước, Thủ Đức, Hồ Chí Minh"
100 m²,,"14,85 tỷ",,,,,,,,,21/11/2023,01/12/2023,Tin thường,"Dự án KĐT Vạn Phúc City, Đường Quốc Lộ 13, Phường Hiệp Bình Phước, Thủ Đức, Hồ Chí Minh"
815 m²,20 m,108 tỷ,,10 phòng,,Sổ đỏ/ Sổ hồng,Có nội thất,,,12 m,09/08/2023,Tin thường,34864662,"Đường Số 3, Phường Hiệp Bình Phước, Thủ Đức, Hồ Chí Minh"
115 m²,,"16,5 tỷ",,,,,,,,,21/11/2023,01/12/2023,Tin thường,"Dự án KĐT Vạn Phúc City, Đường Quốc Lộ 13, Phường Hiệp Bình Phước, Thủ Đức, Hồ Chí Minh"
87 m²,7 m,"8,5 tỷ",3 tầng,5 phòng,5 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,Tây - Nam,Tây - Nam,7 m,21/11/2023,01/12/2023,Tin thường,"Đường Số 6, Phường Hiệp Bình Chánh, Thủ Đức, Hồ Chí Minh"
460 m²,,100 tỷ,,,,,,,,,16/11/2023,26/11/2023,Tin thường,"Phường Thảo Điền, Thủ Đức, Hồ Chí Minh"
270 m²,,16 tỷ,2 tầng,4 phòng,4 phòng,Sổ đỏ/ Sổ hồng,,,,,17/11/2023,02/12/2023,Tin thường,"Đường Số 16, Phường Thạnh Mỹ Lợi, Thủ Đức, Hồ Chí Minh"
200 m²,,"15,5 tỷ",2 tầng,4 phòng,3 phòng,Sổ đỏ/ Sổ hồng,,,,8 m,21/11/2023,01/12/2023,Tin thường,"Đường 17, Phường Hiệp Bình Chánh, Thủ Đức, Hồ Chí Minh"
170 m²,,"13,5 tỷ",2 tầng,4 phòng,4 phòng,Sổ hồng riêng hoàn công đủ.,Cơ bản,,,,21/11/2023,01/12/2023,Tin thường,"Đường Linh Trung, Phường Linh Trung, Thủ Đức, Hồ Chí Minh"
378 m²,,55 tỷ,,,,Sổ đỏ/ Sổ hồng,Đầy đủ,,,,21/11/2023,01/12/2023,Tin thường,"Dự án Thu Duc Garden Homes, Phường Hiệp Bình Phước, Thủ Đức, Hồ Chí Minh"
147 m²,7 m,"26,5 tỷ",5 tầng,6 phòng,6 phòng,Sổ đỏ/ Sổ hồng,,Tây - Bắc,,,21/11/2023,21/12/2023,Tin thường,"Dự án KĐT Vạn Phúc City, Đường Số 7, Phường Hiệp Bình Phước, Thủ Đức, Hồ Chí Minh"
100 m²,,15 tỷ,,,,,,Đông - Bắc,,,04/11/2023,04/12/2023,Tin thường,"Dự án Khu đô thị Vạn Phúc City, Đường 2, Phường Hiệp Bình Phước, Thủ Đức, Hồ Chí Minh"
210 m²,10 m,16 tỷ,3 tầng,4 phòng,5 phòng,Sổ đỏ/ Sổ hồng,,,,10 m,20/11/2023,30/11/2023,Tin thường,"Dự án Sông Đà, Phường Hiệp Bình Chánh, Thủ Đức, Hồ Chí Minh"
140 m²,,25 tỷ,,,,,,,,,18/11/2023,28/11/2023,Tin thường,"Dự án KĐT Vạn Phúc City, Đường Quốc Lộ 13, Phường Hiệp Bình Phước, Thủ Đức, Hồ Chí Minh"
147 m²,7 m,28 tỷ,5 tầng,,6 phòng,Sổ đỏ/ Sổ hồng,Hoàn thiện nội thất.,Tây - Bắc,,20 m,20/11/2023,30/11/2023,Tin thường,"Dự án KĐT Vạn Phúc City, Đường Quốc Lộ 13, Phường Hiệp Bình Phước, Thủ Đức, Hồ Chí Minh"
"433,7 m²",30 m,28 tỷ,3 tầng,4 phòng,4 phòng,,Cơ bản,Đông - Nam,Đông - Bắc,8 m,14/11/2023,24/11/2023,Tin thường,"Dự án Jamona Home Resort, Đường Quốc Lộ 13, Phường Hiệp Bình Phước, Thủ Đức, Hồ Chí Minh"
"433,7 m²",,28 tỷ,,4 phòng,,,,Đông - Nam,Đông - Nam,12 m,20/11/2023,30/11/2023,Tin thường,"Dự án Jamona Home Resort, Đường Số 12, Phường Hiệp Bình Phước, Thủ Đức, Hồ Chí Minh"
154 m²,7 m,27 tỷ,5 tầng,4 phòng,5 phòng,,,,,,20/11/2023,30/11/2023,Tin thường,"Dự án KĐT Vạn Phúc City, Đường Quốc Lộ 13, Phường Hiệp Bình Phước, Thủ Đức, Hồ Chí Minh"
187 m²,8 m,12 tỷ,,,,Sổ đỏ/ Sổ hồng,Không nội thất,Đông - Nam,Đông - Nam,16 m,20/11/2023,30/11/2023,Tin thường,"Dự án Thăng Long Home Hưng Phú, Đường Tô Ngọc Vân, Phường Tam Phú, Thủ Đức, Hồ Chí Minh"
