Diện tích,Mặt tiền,Mức giá,Số tầng,Số phòng ngủ,Số toilet,Pháp lý,Nội thất,Hướng nhà,Hướng ban công,Đường vào,Ngày đăng,Ngày hết hạn,Loại tin,Địa chỉ
328 m²,,18 tỷ,,,,,,,,,28/10/2023,07/11/2023,Tin thường,"Đường Võ Văn Vân, Xã Vĩnh Lộc B, Bình Chánh, Hồ Chí Minh"
320 m²,,16 tỷ,1 tầng,,,Sổ đỏ/ Sổ hồng,Không nội thất,,,,28/10/2023,07/11/2023,Tin thường,"Đường Quốc Lộ 50, Xã Phong Phú, Bình Chánh, Hồ Chí Minh"
95 m²,,"6,95 tỷ",3 tầng,,,,,,,4 m,28/10/2023,27/11/2023,Tin thường,"Xã Phong Phú, Bình Chánh, Hồ Chí Minh"
100 m²,12 m,"17,5 tỷ",4 tầng,6 phòng,,Sổ đỏ/ Sổ hồng,Đầy đủ,Đông,Đông,12 m,26/10/2023,05/11/2023,Tin thường,"Dự án Trung Sơn, Đường Số 9, Xã Bình Hưng, Bình Chánh, Hồ Chí Minh."
81 m²,,9 tỷ,4 tầng,5 phòng,5 phòng,Sổ hồng,,,,10 m,28/10/2023,07/11/2023,Tin thường,"Dự án KDC Phong Phú 5, Đường Bình Hưng, Xã Phong Phú, Bình Chánh, Hồ Chí Minh"
286 m²,,Thỏa thuận,,,,Sổ đỏ/ Sổ hồng,,,,25 m,28/10/2023,Tin thường,38422090,"Xã Phạm Văn Hai, Bình Chánh, Hồ Chí Minh"
328 m²,,18 tỷ,,,,,,,,,27/10/2023,06/11/2023,Tin thường,"Đường Võ Văn Vân, Xã Vĩnh Lộc B, Bình Chánh, Hồ Chí Minh"
110 m²,,"16,9 tỷ",4 tầng,4 phòng,5 phòng,"Sổ hồng riêng, Hoàn công",Đầy đủ,Đông - Bắc,Đông - Bắc,40 m,27/10/2023,06/11/2023,Tin thường,"Đường Phạm Hùng, Xã Bình Hưng, Bình Chánh, Hồ Chí Minh"
85 m²,5 m,"7,6 tỷ",5 tầng,5 phòng,5 phòng,Đã có sổ hồng,Cao cấp,Tây - Nam,Tây - Nam,11 m,27/10/2023,06/11/2023,Tin thường,"Đường Quách Điêu, Xã Vĩnh Lộc A, Bình Chánh, Hồ Chí Minh"
85 m²,5 m,"7,6 tỷ",5 tầng,5 phòng,5 phòng,Đã có sổ hồng.,Cao cấp.,Tây - Nam,Tây - Nam,11 m,27/10/2023,06/11/2023,Tin thường,"Đường Quách Điêu, Xã Vĩnh Lộc A, Bình Chánh, Hồ Chí Minh"
1.000 m²,,700 triệu,,,,Sổ đỏ/ Sổ hồng,,,,,04/11/2023,19/11/2023,Tin VIP Vàng,"Đường ĐT 725, Thị trấn Lộc Thắng, Bảo Lâm, Lâm Đồng"
85 m²,5 m,"7,4 tỷ",5 tầng,5 phòng,5 phòng,Đã có sổ hồng,Cao cấp,Tây - Nam,Tây - Nam,11 m,27/10/2023,06/11/2023,Tin thường,"Đường Quách Điêu, Xã Vĩnh Lộc A, Bình Chánh, Hồ Chí Minh"
85 m²,5 m,"7,4 tỷ",5 tầng,5 phòng,5 phòng,Đã có sổ hồng,Cao cấp,Tây - Nam,Tây - Nam,11 m,27/10/2023,06/11/2023,Tin thường,"Đường Quách Điêu, Xã Vĩnh Lộc A, Bình Chánh, Hồ Chí Minh"
480 m²,12 m,90 tỷ,7 tầng,70 phòng,70 phòng,Sổ đỏ/ Sổ hồng,,Bắc,,,27/10/2023,06/11/2023,Tin thường,"Dự án Trung Sơn, Đường Số 4, Xã Bình Hưng, Bình Chánh, Hồ Chí Minh"
200 m²,,33 tỷ,3 tầng,8 phòng,7 phòng,Sổ đỏ/ Sổ hồng,Cơ bản,Nam,Nam,12 m,27/10/2023,06/11/2023,Tin thường,"Dự án Trung Sơn, Đường Số 10B, Xã Bình Hưng, Bình Chánh, Hồ Chí Minh"
100 m²,5 m,21 tỷ,4 tầng,5 phòng,6 phòng,Sổ đỏ/ Sổ hồng,,Nam,,24 m,27/10/2023,06/11/2023,Tin thường,"Dự án Trung Sơn, Đường Số 8, Xã Bình Hưng, Bình Chánh, Hồ Chí Minh"
96 m²,6 m,"7,9 tỷ",1 tầng,,,Sổ đỏ/ Sổ hồng.,,,,12 m,27/10/2023,06/11/2023,Tin thường,"Nhà số 71, Đường Số 4, Bình Hưng, Bình Chánh, Hồ Chí Minh"
"204,5 m²","5,7 m",12 tỷ,1 tầng,2 phòng,3 phòng,,,Tây - Bắc,Tây - Bắc,30 m,27/10/2023,26/11/2023,Tin thường,"Đường Tân Liêm, Xã Phong Phú, Bình Chánh, Hồ Chí Minh"
81 m²,,"6,8 tỷ",5 tầng,6 phòng,5 phòng,Sổ đỏ/ Sổ hồng,,,,,17/10/2023,16/11/2023,Tin thường,"Đường Quách Điêu, Xã Vĩnh Lộc A, Bình Chánh, Hồ Chí Minh"
200 m²,10 m,63 tỷ,7 tầng,5 phòng,10 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,,,20 m,26/10/2023,05/11/2023,Tin thường,"Dự án Trung Sơn, Đường 9A, Xã Bình Hưng, Bình Chánh, Hồ Chí Minh"
249 m²,"6,5 m","12,5 tỷ",1 tầng,5 phòng,7 phòng,Sổ đỏ/ Sổ hồng,Cơ bản,Đông - Nam,Đông - Nam,40 m,26/10/2023,05/11/2023,Tin thường,"Đường Trần Văn Giàu, Xã Phạm Văn Hai, Bình Chánh, Hồ Chí Minh"
5.400 m²,25 m,200 tỷ,,,,Sổ đỏ/ Sổ hồng,,,,25 m,26/10/2023,05/11/2023,Tin thường,"Đường Vĩnh Lộc, Xã Vĩnh Lộc A, Bình Chánh, Hồ Chí Minh"
105 m²,,7 tỷ,3 tầng,,,,,,,,26/10/2023,05/11/2023,Tin thường,"Dự án Lovera Park, Đường Trịnh Quang Nghị, Xã Phong Phú, Bình Chánh, Hồ Chí Minh"
