Diện tích,Mặt tiền,Mức giá,Số tầng,Số phòng ngủ,Số toilet,Pháp lý,Nội thất,Hướng nhà,Hướng ban công,Đường vào,Ngày đăng,Ngày hết hạn,Loại tin,Địa chỉ
114 m²,6 m,"7,2 tỷ",1 tầng,1 phòng,1 phòng,Sổ đỏ/ Sổ hồng,,Tây,,12 m,30/10/2023,09/11/2023,Tin thường,"Phường Bình Hưng Hòa B, Bình Tân, Hồ Chí Minh"
88 m²,,7 tỷ,5 tầng,4 phòng,5 phòng,Sổ đỏ/ Sổ hồng,,,,8 m,25/10/2023,09/11/2023,Tin thường,"Đường Hồ Văn Long, Phường Tân Tạo A, Bình Tân, Hồ Chí Minh"
60 m²,4 m,5 tỷ,3 tầng,3 phòng,3 phòng,,,Bắc,,12 m,30/10/2023,09/11/2023,Tin thường,"Đường G8, Phường Bình Hưng Hòa B, Bình Tân, Hồ Chí Minh"
114 m²,"4,2 m",11 tỷ,2 tầng,6 phòng,6 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,Tây,Tây,20 m,30/10/2023,09/11/2023,Tin thường,"Đường Hoàng Văn Hợp, Phường An Lạc A, Bình Tân, Hồ Chí Minh"
"162,4 m²",,"8,5 tỷ",,,,Có sổ,Cơ bản,,,,23/10/2023,22/11/2023,Tin thường,"Phường Bình Hưng Hòa, Bình Tân, Hồ Chí Minh"
216 m²,6 m,18 tỷ,1 tầng,2 phòng,1 phòng,,,Bắc,,15 m,30/10/2023,09/11/2023,Tin thường,"Đường Nguyễn Thị Tú, Phường Bình Hưng Hòa B, Bình Tân, Hồ Chí Minh"
"43,8 m²",5 m,"6,8 tỷ",6 tầng,4 phòng,3 phòng,Sổ đỏ/ Sổ hồng,Không nội thất,Đông - Nam,Đông - Nam,20 m,06/11/2023,16/11/2023,Tin thường,"Đường Trương Đình Hội, Phường 16, Quận 8, Hồ Chí Minh"
100 m²,5 m,"23,8 tỷ",,,,,,,,,30/10/2023,14/11/2023,Tin thường,"Đường Số 7, Phường Bình Trị Đông B, Bình Tân, Hồ Chí Minh"
100 m²,5 m,"6,5 tỷ",4 tầng,4 phòng,5 phòng,Sổ đỏ/ Sổ hồng,,,,,30/10/2023,09/11/2023,Tin thường,"Đường Nguyễn Triệu Luật, Phường Tân Tạo, Bình Tân, Hồ Chí Minh"
75 m²,"4,1 m","8,6 tỷ",2 tầng,2 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,,,14 m,30/10/2023,09/11/2023,Tin thường,"Đường Gò Xoài, Phường Bình Hưng Hòa A, Bình Tân, Hồ Chí Minh"
90 m²,5 m,"16,8 tỷ",4 tầng,4 phòng,5 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,Tây - Bắc,,6 m,20/10/2023,19/11/2023,Tin thường,"Đường 6D, Phường Bình Trị Đông B, Bình Tân, Hồ Chí Minh"
77 m²,5 m,10 tỷ,3 tầng,4 phòng,4 phòng,Sổ đỏ/ Sổ hồng,,,,,06/11/2023,16/11/2023,Tin thường,"Đường An Dương Vương, Phường 16, Quận 8, Hồ Chí Minh"
85 m²,4 m,"5,3 tỷ",2 tầng,3 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,,,8 m,30/10/2023,09/11/2023,Tin thường,"Đường Số 6, Phường Bình Hưng Hòa, Bình Tân, Hồ Chí Minh"
136 m²,6 m,"22,5 tỷ",2 tầng,2 phòng,2 phòng,Sổ đỏ/ Sổ hồng,,,,30 m,30/10/2023,09/11/2023,Tin thường,"Đường Tân Kỳ Tân Quý, Phường Bình Hưng Hòa, Bình Tân, Hồ Chí Minh"
66 m²,4 m,"10,5 tỷ",3 tầng,,,Sổ đỏ/ Sổ hồng,,,,,30/10/2023,09/11/2023,Tin thường,"Đường An Dương Vương, Phường An Lạc, Bình Tân, Hồ Chí Minh"
80 m²,12 m,7 tỷ,4 tầng,4 phòng,5 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,,,16 m,30/10/2023,14/11/2023,Tin thường,"Đường Nguyễn Triệu Luật, Phường Bình Hưng Hòa, Bình Tân, Hồ Chí Minh"
60 m²,4 m,"8,7 tỷ",4 tầng,5 phòng,4 phòng,Đã có sổ hồng,Cơ bản,Tây,,25 m,30/10/2023,29/11/2023,Tin thường,"Đường Số 3, Phường Bình Hưng Hòa B, Bình Tân, Hồ Chí Minh"
80 m²,,"14,2 tỷ",3 tầng,3 phòng,3 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,,,12 m,30/10/2023,14/11/2023,Tin thường,"Đường 1, Phường Bình Trị Đông B, Bình Tân, Hồ Chí Minh"
