Diện tích,Mặt tiền,Mức giá,Số tầng,Số phòng ngủ,Số toilet,Pháp lý,Nội thất,Hướng nhà,Hướng ban công,Đường vào,Ngày đăng,Ngày hết hạn,Loại tin,Địa chỉ
176 m²,7 m,7 tỷ,,,,Sổ đỏ/ Sổ hồng,,Đông - Bắc,,16 m,09/11/2023,16/11/2023,Tin VIP Bạc,"Thị trấn Cần Thạnh, Cần Giờ, Hồ Chí Minh"
"260,1 m²",,"7,2 tỷ",,,,Sổ đỏ/ Sổ hồng,,Tây - Bắc,,,09/11/2023,19/11/2023,Tin thường,"Dự án La Maison De Cần Giờ, Đường Số 8, Xã Long Hòa, Cần Giờ, Hồ Chí Minh"
"39,76 m²","3,1 m","1,8 tỷ",1 tầng,2 phòng,1 phòng,Sổ đỏ/ Sổ hồng.,Đầy đủ.,Đông - Bắc,Đông - Bắc,3 m,29/10/2023,13/11/2023,Tin thường,"Đường Bình Trung, Xã Bình Khánh, Cần Giờ, Hồ Chí Minh."
"39,76 m²","3,1 m","1,8 tỷ",1 tầng,2 phòng,1 phòng,Sổ đỏ/ Sổ hồng.,Đầy đủ.,Đông - Bắc,Đông - Bắc,3 m,29/10/2023,13/11/2023,Tin thường,"Đường Bình Trung, Xã Bình Khánh, Cần Giờ, Hồ Chí Minh."
110 m²,,"3,35 tỷ",,,,Sổ đỏ/ Sổ hồng,,,,,20/09/2023,30/09/2023,Tin thường,"Dự án La Maison De Cần Giờ, Đường Lương Văn Nho, Xã Long Hòa, Cần Giờ, Hồ Chí Minh"
"197,6 m²",,"6,6 tỷ",3 tầng,4 phòng,5 phòng,,Giao nhà hoàn thiện mặt ngoài,,,,31/10/2023,30/11/2023,Tin thường,"Dự án Sora Gardens, Đường Nguyễn Huệ, Phường Phú Mỹ, Thủ Dầu Một, Bình Dương"
110 m²,,"36,36 triệu/m²",,,,Sổ đỏ/ Sổ hồng,,,,,19/09/2023,29/09/2023,Tin thường,"Dự án La Maison De Cần Giờ, Đường Lương Văn Nho, Xã Long Hòa, Cần Giờ, Hồ Chí Minh"
110 m²,5 m,"3,5 tỷ",3 tầng,3 phòng,3 phòng,Sổ đỏ/ Sổ hồng,,,,16 m,16/09/2023,26/09/2023,Tin thường,"Dự án La Maison De Cần Giờ, Đường Lương Văn Nho, Xã Long Hòa, Cần Giờ, Hồ Chí Minh"
2.200 m²,,35 triệu/m²,,,,Sổ đỏ/ Sổ hồng,,,,,01/09/2023,01/10/2023,Tin thường,"Thị trấn Cần Thạnh, Cần Giờ, Hồ Chí Minh"
"113,8 m²","4,5 m","1,3 tỷ",,,,,,,,12 m,28/08/2023,07/09/2023,Tin thường,"Đường Dương Văn Hạnh, Xã Lý Nhơn, Cần Giờ, Hồ Chí Minh"
1.360 m²,,Thỏa thuận,,,,,,,,,31/10/2023,10/11/2023,Tin thường,"Đường Võ Nguyên Giáp, Phường Phước Mỹ, Sơn Trà, Đà Nẵng"
746 m²,"12,5 m","9,33 tỷ",,,,Sổ đỏ/ Sổ hồng,,Nam,,30 m,18/08/2023,28/08/2023,Tin thường,"Đường Dương Vạn Hạnh, Xã Lý Nhơn, Cần Giờ, Hồ Chí Minh"
272 m²,,"4,5 tỷ",,2 phòng,2 phòng,,,,,,18/08/2023,28/08/2023,Tin thường,"Đường Tam Thôn Hiệp, Xã Tam Thôn Hiệp, Cần Giờ, Hồ Chí Minh"
235 m²,,"15,3 tỷ",2 tầng,9 phòng,8 phòng,,,,,,08/08/2023,18/08/2023,Tin thường,"Đường Duyên Hải, Thị trấn Cần Thạnh, Cần Giờ, Hồ Chí Minh"
168 m²,,"3,68 tỷ",,,,,,,,,14/07/2023,24/07/2023,Tin thường,"Xã Tam Thôn Hiệp, Cần Giờ, Hồ Chí Minh"
106 m²,,"7,2 tỷ",2 tầng,3 phòng,1 phòng,Sổ đỏ/ Sổ hồng,Cơ bản,Tây - Nam,Tây - Nam,,22/06/2023,02/07/2023,Tin thường,"Đường Duyên Hải, Thị trấn Cần Thạnh, Cần Giờ, Hồ Chí Minh"
235 m²,,"15,5 tỷ",2 tầng,9 phòng,7 phòng,,,,,,23/06/2023,03/07/2023,Tin thường,"Thị trấn Cần Thạnh, Cần Giờ, Hồ Chí Minh"
