Diện tích,Mặt tiền,Mức giá,Số tầng,Số phòng ngủ,Số toilet,Pháp lý,Nội thất,Hướng nhà,Hướng ban công,Đường vào,Ngày đăng,Ngày hết hạn,Loại tin,Địa chỉ
2.100 m²,46 m,"25,8 tỷ",1 tầng,3 phòng,3 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,,,,31/10/2023,10/11/2023,Tin VIP Bạc,"Đường Nguyễn Văn Khạ, Xã Phú Hòa Đông, Củ Chi, Hồ Chí Minh"
101 m²,2 m,"1,65 tỷ",2 tầng,5 phòng,5 phòng,Sổ đỏ/ Sổ hồng,Không nội thất,Tây - Bắc,Tây - Bắc,12 m,09/11/2023,24/11/2023,Tin thường,"Đường 51, Xã Tân Phú Trung, Củ Chi, Hồ Chí Minh"
700 m²,10 m,"9,8 tỷ",1 tầng,3 phòng,3 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ.,Tây,Tây,6 m,07/11/2023,17/11/2023,Tin thường,"Đường Ngô Tri Hoà, Thị trấn Củ Chi, Củ Chi, Hồ Chí Minh."
366 m²,,7 tỷ,1 tầng,2 phòng,2 phòng,Sổ đỏ/ Sổ hồng,,Đông - Nam,Đông - Nam,12 m,01/11/2023,01/12/2023,Tin thường,"216C, Đường Nguyễn Thị Nê, Xã Phú Hòa Đông, Củ Chi, Hồ Chí Minh"
754 m²,"6,24 m","6,8 tỷ",,,,Sổ đỏ/ Sổ hồng,Cơ bản,,,,09/11/2023,19/11/2023,Tin thường,"Đường Nguyễn Thị Nê, Xã Phú Hòa Đông, Củ Chi, Hồ Chí Minh"
68 m²,4 m,9 tỷ,4 tầng,5 phòng,4 phòng,Sổ đỏ/ Sổ hồng,,,,,08/11/2023,18/11/2023,Tin thường,"Đường Lê Lợi, Thị trấn Hóc Môn, Hóc Môn, Hồ Chí Minh"
150 m²,5 m,"1,8 tỷ",,,,Sổ đỏ/ Sổ hồng,,,,,08/11/2023,18/11/2023,Tin thường,"Đường Quốc lộ N2, Xã Tân Thông Hội, Củ Chi, Hồ Chí Minh"
110 m²,,"2,4 tỷ",,,,,,,,,08/11/2023,18/11/2023,Tin thường,"Đường Bùi Thị Điệt, Xã Tân Thạnh Đông, Củ Chi, Hồ Chí Minh"
180 m²,,Thỏa thuận,,8 phòng,,Sổ đỏ/ Sổ hồng,,,,,08/11/2023,18/11/2023,Tin thường,"Đường Tỉnh Lộ 2, Xã Tân Phú Trung, Củ Chi, Hồ Chí Minh"
2.100 m²,,"17,5 tỷ",,4 phòng,,Sổ đỏ/ Sổ hồng,,,,,08/11/2023,18/11/2023,Tin thường,"Đường Số 5, Xã Tân Thông Hội, Củ Chi, Hồ Chí Minh"
1.360 m²,,Thỏa thuận,,,,,,,,,31/10/2023,10/11/2023,Tin thường,"Đường Võ Nguyên Giáp, Phường Phước Mỹ, Sơn Trà, Đà Nẵng"
412 m²,"16,5 m","16,9 tỷ",2 tầng,5 phòng,5 phòng,Sổ hồng,Cao cấp,,,25 m,06/11/2023,16/11/2023,Tin thường,"Thị trấn Củ Chi, Củ Chi, Hồ Chí Minh"
355 m²,"9,7 m",8 tỷ,,,,Sổ đỏ/ Sổ hồng,,,,15 m,07/11/2023,17/11/2023,Tin thường,"Đường Tỉnh lộ 15, Xã Tân Thạnh Đông, Củ Chi, Hồ Chí Minh"
509 m²,,"5,8 tỷ",,,,Sổ đỏ/ Sổ hồng,Cơ bản,,,,07/11/2023,17/11/2023,Tin thường,"Đường Đỗ Đăng Tuyển, Xã An Nhơn Tây, Củ Chi, Hồ Chí Minh"
