Diện tích,Mặt tiền,Mức giá,Số tầng,Số phòng ngủ,Số toilet,Pháp lý,Nội thất,Hướng nhà,Hướng ban công,Đường vào,Ngày đăng,Ngày hết hạn,Loại tin,Địa chỉ
250 m²,,44 tỷ,,,,,,,,,12/11/2023,22/11/2023,Tin thường,"Đường Lê Đức Thọ, Phường 17, Gò Vấp, Hồ Chí Minh"
138 m²,,"26,5 tỷ",5 tầng,,,,,,,,06/11/2023,16/11/2023,Tin thường,"Đường Số 8, Phường 11, Gò Vấp, Hồ Chí Minh"
91 m²,"5,3 m","24,5 tỷ",6 tầng,11 phòng,12 phòng,Sổ đỏ/ Sổ hồng,Cao cấp,,,,04/11/2023,14/11/2023,Tin thường,"Đường Nguyễn Bỉnh Khiêm, Phường 1, Gò Vấp, Hồ Chí Minh"
114 m²,6 m,"11,3 tỷ",1 tầng,1 phòng,1 phòng,Sổ đỏ/ Sổ hồng.,Không nội thất.,Đông - Nam,Đông - Nam,8 m,12/11/2023,22/11/2023,Tin thường,"Đường Số 9, Phường 16, Gò Vấp, Hồ Chí Minh"
51 m²,,"6,8 tỷ",3 tầng,3 phòng,2 phòng,Sổ đỏ/ Sổ hồng,,,,,12/11/2023,27/11/2023,Tin thường,"Đường Thống Nhất, Phường 11, Gò Vấp, Hồ Chí Minh"
80 m²,,10 tỷ,4 tầng,5 phòng,5 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,Tây - Bắc,,,12/11/2023,27/11/2023,Tin thường,"Đường Số 9, Phường 16, Gò Vấp, Hồ Chí Minh"
90 m²,,Thỏa thuận,,,,Sổ hồng.,,,,,07/11/2023,17/11/2023,Tin thường,"Dự án KDC An Sương, Đường Nguyễn Văn Quá, Phường Đông Hưng Thuận, Quận 12, Hồ Chí Minh."
114 m²,6 m,"10,5 tỷ",1 tầng,1 phòng,1 phòng,Sổ đỏ/ Sổ hồng,Không nội thất,Đông - Nam,Đông - Nam,8 m,12/11/2023,22/11/2023,Tin thường,"Phường 16, Gò Vấp, Hồ Chí Minh"
114 m²,6 m,"11,3 tỷ",1 tầng,1 phòng,1 phòng,Sổ đỏ/ Sổ hồng.,Không nội thất.,Đông - Nam,Đông - Nam,8 m,12/11/2023,22/11/2023,Tin thường,"Đường Số 9, Phường 16, Gò Vấp, Hồ Chí Minh"
51 m²,,"6,8 tỷ",3 tầng,3 phòng,2 phòng,Sổ đỏ/ Sổ hồng,,,,,12/11/2023,27/11/2023,Tin thường,"Đường Thống Nhất, Phường 11, Gò Vấp, Hồ Chí Minh"
"86,2 m²",,"7,8 tỷ",,1 phòng,1 phòng,Sổ đỏ/ Sổ hồng,,Nam,Nam,,12/11/2023,22/11/2023,Tin thường,"Đường Bùi Quang Là, Phường 12, Gò Vấp, Hồ Chí Minh"
150 m²,6 m,"9,5 tỷ",4 tầng,5 phòng,3 phòng,Sổ đỏ/ Sổ hồng,Cơ bản,,,50 m,09/11/2023,19/11/2023,Tin thường,"Dự án Eco City Premia, Đường Nguyễn Chí Thanh, Phường Tân An, Buôn Ma Thuột, Đắk Lắk."
"93,6 m²",,"9,4 tỷ",,4 phòng,1 phòng,Sổ đỏ/ Sổ hồng,,,,,12/11/2023,22/11/2023,Tin thường,"Đường Nguyễn Kiệm, Phường 3, Gò Vấp, Hồ Chí Minh"
130 m²,"7,5 m","27,6 tỷ",6 tầng,10 phòng,11 phòng,Sẵn sổ công chứng ngay,"Có thang máy, full nội thất",,,30 m,10/11/2023,10/12/2023,Tin thường,"Đường Nguyễn Văn Khối, Phường 11, Gò Vấp, Hồ Chí Minh"
80 m²,,18 tỷ,4 tầng,,,,,,,,05/11/2023,15/11/2023,Tin thường,"Phường 14, Gò Vấp, Hồ Chí Minh"
450 m²,"9,5 m",36 tỷ,5 tầng,,,,,,,,12/11/2023,22/11/2023,Tin thường,"Đường Phạm Văn Chiêu, Phường 9, Gò Vấp, Hồ Chí Minh"
102 m²,,"13,5 tỷ",,,,,,,,,12/11/2023,22/11/2023,Tin thường,"Đường Phạm Văn Chiêu, Phường 9, Gò Vấp, Hồ Chí Minh"
"98,9 m²",,12 tỷ,4 tầng,,,Có sổ,,,,,11/11/2023,21/11/2023,Tin thường,"Đường Dương Quảng Hàm, Phường 6, Gò Vấp, Hồ Chí Minh"
156 m²,6 m,"21,5 tỷ",1 tầng,3 phòng,2 phòng,Sổ đỏ/ Sổ hồng.,,,,12 m,08/11/2023,18/11/2023,Tin thường,"Đường Nguyễn Văn Nghi, Phường 3, Gò Vấp, Hồ Chí Minh"
126 m²,,38 tỷ,4 tầng,8 phòng,9 phòng,,,,,,04/11/2023,14/11/2023,Tin thường,"Dự án Cityland Garden Hills, Đường Phan Văn Trị, Phường 5, Gò Vấp, Hồ Chí Minh."
100 m²,,27 tỷ,,,,,,,,,07/11/2023,17/11/2023,Tin thường,"Đường Phan Văn Trị, Phường 10, Gò Vấp, Hồ Chí Minh"
96 m²,,"13,5 tỷ",,,,,,,,,07/11/2023,17/11/2023,Tin thường,"Đường Nguyễn Kiệm, Phường 3, Gò Vấp, Hồ Chí Minh"
367 m²,,"50,5 tỷ",,,,,,,,,09/11/2023,19/11/2023,Tin thường,"Đường Lê Quang Định, Phường 1, Gò Vấp, Hồ Chí Minh"
154 m²,,"20,5 tỷ",,,,,,,,,08/11/2023,18/11/2023,Tin thường,"Đường Thống Nhất, Phường 11, Gò Vấp, Hồ Chí Minh"
