Diện tích,Mặt tiền,Mức giá,Số tầng,Số phòng ngủ,Số toilet,Pháp lý,Nội thất,Hướng nhà,Hướng ban công,Đường vào,Ngày đăng,Ngày hết hạn,Loại tin,Địa chỉ
62 m²,4 m,Thỏa thuận,1 tầng,2 phòng,1 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,,,12 m,20/11/2023,30/11/2023,Tin thường,"Đường Song Hành, Thị trấn Hóc Môn, Hóc Môn, Hồ Chí Minh"
268 m²,,"9,6 tỷ",4 tầng,,,,,,,,20/11/2023,30/11/2023,Tin thường,"Đường Phan Văn Hớn, Xã Xuân Thới Thượng, Hóc Môn, Hồ Chí Minh"
70 m²,5 m,"6,3 tỷ",,,,,,,,12 m,20/11/2023,30/11/2023,Tin thường,"Đường Phạm Thị Giây, Xã Thới Tam Thôn, Hóc Môn, Hồ Chí Minh"
322 m²,9 m,25 tỷ,5 tầng,4 phòng,4 phòng,Sổ đỏ/ Sổ hồng,,,,60 m,15/11/2023,15/12/2023,Tin thường,"Đường Quốc Lộ 22, Xã Tân Xuân, Hóc Môn, Hồ Chí Minh"
60 m²,,"3,9 tỷ",,2 phòng,1 phòng,Sổ hồng,Cơ bản,Đông - Nam,,12 m,20/11/2023,30/11/2023,Tin thường,"Đường Bà Điểm 4, Xã Bà Điểm, Hóc Môn, Hồ Chí Minh"
1.360 m²,,Thỏa thuận,,,,,,,,,24/11/2023,04/12/2023,Tin thường,"Đường Võ Nguyên Giáp, Phường Phước Mỹ, Sơn Trà, Đà Nẵng"
165 m²,7 m,"12,5 tỷ",1 tầng,3 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,,,16 m,19/11/2023,29/11/2023,Tin thường,"Đường Bà Triệu, Thị trấn Hóc Môn, Hóc Môn, Hồ Chí Minh"
140 m²,5 m,"8,7 tỷ",2 tầng,3 phòng,3 phòng,Sổ đỏ/ Sổ hồng,,Đông - Bắc,Đông - Bắc,12 m,19/11/2023,29/11/2023,Tin thường,"Đường Phan Văn Hớn, Xã Xuân Thới Thượng, Hóc Môn, Hồ Chí Minh"
184 m²,10 m,13 tỷ,,,,Sổ đỏ/ Sổ hồng,,Tây - Nam,,,19/11/2023,19/12/2023,Tin thường,"Xã Bà Điểm, Hóc Môn, Hồ Chí Minh"
80 m²,4 m,"8,5 tỷ",2 tầng,2 phòng,1 phòng,Sổ đỏ.,,,,20 m,19/11/2023,29/11/2023,Tin thường,"Thị trấn Hóc Môn, Hóc Môn, Hồ Chí Minh"
300 m²,14 m,"7,8 tỷ",,2 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,,,10 m,19/11/2023,29/11/2023,Tin thường,"Đường Nhị Bình 9, Xã Nhị Bình, Hóc Môn, Hồ Chí Minh."
307 m²,6 m,"18,5 tỷ",2 tầng,3 phòng,2 phòng,Đã có sổ hồng riêng,,Đông - Bắc,Đông - Bắc,12 m,19/11/2023,19/12/2023,Tin thường,"Đường Phan Văn Hớn, Xã Bà Điểm, Hóc Môn, Hồ Chí Minh"
45 m²,"4,5 m","1,55 tỷ",2 tầng,2 phòng,2 phòng,Giấy tờ hợp lệ.,Nội thất đầy đủ.,,,12 m,19/11/2023,29/11/2023,Tin thường,"Đường Bùi Công Trừng, Xã Đông Thạnh, Hóc Môn, Hồ Chí Minh"
80 m²,5 m,"6,1 tỷ",1 tầng,3 phòng,3 phòng,Sổ đỏ/ Sổ hồng,,,,20 m,18/11/2023,28/11/2023,Tin thường,"Đường Phạm Thị Giây, Xã Thới Tam Thôn, Hóc Môn, Hồ Chí Minh"
120 m²,4 m,"9,5 tỷ",2 tầng,4 phòng,2 phòng,Sổ đỏ/ Sổ hồng,,,,,18/11/2023,28/11/2023,Tin thường,"Đường Nguyễn Ảnh Thủ, Xã Thới Tam Thôn, Hóc Môn, Hồ Chí Minh"
323 m²,9 m,26 tỷ,5 tầng,5 phòng,5 phòng,Đã có sổ hồng,,Tây - Nam,,30 m,18/11/2023,28/11/2023,Tin thường,"Đường Quốc Lộ 22, Xã Tân Xuân, Hóc Môn, Hồ Chí Minh"
"92,1 m²",4 m,"4,5 tỷ",1 tầng,2 phòng,1 phòng,Sổ đỏ/ Sổ hồng,,,,15 m,18/11/2023,28/11/2023,Tin thường,"Xã Tân Hiệp, Hóc Môn, Hồ Chí Minh"
"75,6 m²","4,2 m",7 tỷ,4 tầng,4 phòng,5 phòng,Sổ đỏ/ Sổ hồng,,,,12 m,17/11/2023,27/11/2023,Tin thường,"Đường Phạm Thị Giây, Xã Thới Tam Thôn, Hóc Môn, Hồ Chí Minh"
"49,6 m²",4 m,"2,29 tỷ",,,,Sổ đỏ/ Sổ hồng,,,,,17/11/2023,27/11/2023,Tin thường,"Đường Phạm Thị Giây, Xã Thới Tam Thôn, Hóc Môn, Hồ Chí Minh"
106 m²,20 m,8 tỷ,,2 phòng,,Sổ đỏ/ Sổ hồng,,,,,17/11/2023,02/12/2023,Tin thường,"Đường Song Hành 1, Xã Tân Xuân, Hóc Môn, Hồ Chí Minh"
145 m²,"6,8 m","6,3 tỷ",,2 phòng,1 phòng,,,Bắc,,10 m,17/11/2023,17/12/2023,Tin thường,"Đường Tân Thới Nhì 1, Xã Tân Thới Nhì, Hóc Môn, Hồ Chí Minh"
84 m²,5 m,Thỏa thuận,,2 phòng,1 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,,,16 m,17/11/2023,27/11/2023,Tin thường,"Đường Nguyễn Thị Sóc, Xã Bà Điểm, Hóc Môn, Hồ Chí Minh"
