Diện tích,Mặt tiền,Mức giá,Số tầng,Số phòng ngủ,Số toilet,Pháp lý,Nội thất,Hướng nhà,Hướng ban công,Đường vào,Ngày đăng,Ngày hết hạn,Loại tin,Địa chỉ
300 m²,"5,1 m","12,8 tỷ",1 tầng,13 phòng,13 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,,,16 m,12/11/2023,27/11/2023,Tin thường,"Đường Đào Sư Tích, Xã Phước Lộc, Nhà Bè, Hồ Chí Minh"
160 m²,8 m,"8,35 tỷ",2 tầng,4 phòng,3 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,Đông - Nam,Đông - Nam,12 m,16/11/2023,01/12/2023,Tin thường,"274 Đường Nguyễn Văn Tạo, Xã Long Thới, Nhà Bè, Hồ Chí Minh"
330 m²,,33 tỷ,,,,Sổ đỏ/ Sổ hồng,,,,,16/11/2023,26/11/2023,Tin thường,"Đường Huỳnh Tấn Phát, Xã Phú Xuân, Nhà Bè, Hồ Chí Minh"
"161,9 m²",40 m,8 tỷ,,,,Sổ đỏ/ Sổ hồng.,Cơ bản.,Đông - Nam,,,24/11/2023,04/12/2023,Tin thường,"Đường Lê Văn Lương, Xã Nhơn Đức, Nhà Bè, Hồ Chí Minh"
80 m²,5 m,"7,39 tỷ",4 tầng,4 phòng,5 phòng,Sổ hồng riêng hoàn công,Full nội thất gỗ An Cường.,Tây - Nam,Tây - Nam,8 m,24/11/2023,04/12/2023,Tin thường,"Dự án Green Riverside, Đường Huỳnh Tấn Phát, Xã Phú Xuân, Nhà Bè, Hồ Chí Minh"
"122,3 m²",,"7,5 tỷ",3 tầng,14 phòng,,"Sồ hồng, hoàn công đầy đủ",,,,,17/11/2023,27/11/2023,Tin thường,"Đường Nguyễn Bình, Xã Nhơn Đức, Nhà Bè, Hồ Chí Minh"
"82,72 m²",,"7,9 tỷ",3 tầng,4 phòng,5 phòng,,,,,,16/11/2023,26/11/2023,Tin thường,"Dự án Green Riverside, Đường N7, Xã Phú Xuân, Nhà Bè, Hồ Chí Minh"
160 m²,7 m,Thỏa thuận,2 tầng,2 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,,,,04/10/2023,Tin thường,38239189,"Đường Huỳnh Tấn Phát, Thị trấn Nhà Bè, Nhà Bè, Hồ Chí Minh"
"71,5 m²",,"6,85 tỷ",4 tầng,5 phòng,5 phòng,Sổ đỏ/ Sổ hồng,,,,,16/11/2023,26/11/2023,Tin thường,"Đường Huỳnh Thị Đồng, Xã Phú Xuân, Nhà Bè, Hồ Chí Minh"
225 m²,5 m,16 tỷ,1 tầng,1 phòng,1 phòng,Sổ đỏ/ Sổ hồng,Không nội thất.,Tây - Nam,Đông - Nam,16 m,16/11/2023,01/12/2023,Tin thường,"Đường Lê Văn Lương, Xã Phước Kiển, Nhà Bè, Hồ Chí Minh"
250 m²,,"26,5 tỷ",,44 phòng,,,,,,,16/11/2023,26/11/2023,Tin thường,"Dự án Làng Đại Học ABC, Xã Phước Kiển, Nhà Bè, Hồ Chí Minh"
1.583 m²,,Thỏa thuận,,,,Sổ đỏ/ Sổ hồng,Không nội thất,,,,15/11/2023,30/11/2023,Tin thường,"Đường Đào Sư Tích, Xã Phước Lộc, Nhà Bè, Hồ Chí Minh"
76 m²,,"8,9 tỷ",3 tầng,4 phòng,5 phòng,Sổ đỏ/ Sổ hồng.,,Nam,Đông - Nam,12 m,19/11/2023,29/11/2023,Tin thường,"Đường Dương Cát Lợi, Thị trấn Nhà Bè, Nhà Bè, Hồ Chí Minh"
52 m²,,"5,6 tỷ",3 tầng,4 phòng,5 phòng,Sổ đỏ/ Sổ hồng,Cơ bản,Đông - Bắc,,,15/11/2023,30/11/2023,Tin thường,"Đường Huỳnh Tấn Phát, Xã Phú Xuân, Nhà Bè, Hồ Chí Minh"
200 m²,,19 tỷ,,,,Sổ đỏ/ Sổ hồng,Đầy đủ,,,,15/11/2023,25/11/2023,Tin thường,"Dự án Làng Đại Học ABC, Đường Trần Thị Liền, Xã Phước Kiển, Nhà Bè, Hồ Chí Minh"
207 m²,6 m,"16,5 tỷ",1 tầng,5 phòng,2 phòng,Sổ đỏ/ Sổ hồng,,,,30 m,14/11/2023,14/12/2023,Tin thường,"Đường Huỳnh Tấn Phát, Xã Phú Xuân, Nhà Bè, Hồ Chí Minh"
155 m²,5 m,12 tỷ,2 tầng,4 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,,,8 m,03/11/2023,03/12/2023,Tin thường,"Đường Nguyễn Bình, Xã Phú Xuân, Nhà Bè, Hồ Chí Minh"
119 m²,,14 tỷ,4 tầng,,,HĐMB,Nhà thô,,,,07/11/2023,07/12/2023,Tin thường,"Dự án Zeitgeist City, Đường Nguyễn Hữu Thọ, Xã Phước Kiển, Nhà Bè, Hồ Chí Minh"
90 m²,5 m,"10,4 tỷ",3 tầng,4 phòng,3 phòng,Đã có sổ hồng,Cơ bản,Tây,Tây,12 m,02/11/2023,02/12/2023,Tin thường,"Dự án Sadeco Phước Kiển, Xã Phước Kiển, Nhà Bè, Hồ Chí Minh"
175 m²,,Thỏa thuận,,,,,,,,,28/10/2023,27/11/2023,Tin thường,"Đường Lê Văn Lương, Xã Phước Kiển, Nhà Bè, Hồ Chí Minh"
