Diện tích,Mặt tiền,Mức giá,Số tầng,Số phòng ngủ,Số toilet,Pháp lý,Nội thất,Hướng nhà,Hướng ban công,Đường vào,Ngày đăng,Ngày hết hạn,Loại tin,Địa chỉ
121 m²,,35 tỷ,2 tầng,2 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Cơ bản,,,,22/11/2023,29/11/2023,Tin VIP Bạc,"Đường Lê Đại Hành, Phường 13, Quận 11, Hồ Chí Minh"
30 m²,"4,4 m","8,3 tỷ",3 tầng,2 phòng,3 phòng,Sổ đỏ/ Sổ hồng.,Cơ bản,,,8 m,18/11/2023,28/11/2023,Tin VIP Bạc,"299, Phố Lý Thường Kiệt, Phường 15, Quận 11, Hồ Chí Minh."
"100,9 m²",,"18,6 tỷ",,,,,,Đông - Nam,,,24/11/2023,04/12/2023,Tin thường,"Đường 299, Phường 15, Quận 11, Hồ Chí Minh"
"110,2 m²",7 m,"25,5 tỷ",3 tầng,4 phòng,5 phòng,Sổ đỏ/ Sổ hồng,,,,,15/11/2023,25/11/2023,Tin thường,"Đường Số 2 Cư Xá Lữ Gia, Phường 15, Quận 11, Hồ Chí Minh"
128 m²,8 m,31 tỷ,5 tầng,3 phòng,4 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,Đông - Nam,Đông - Nam,30 m,24/11/2023,04/12/2023,Tin thường,"Đường Nguyễn Thị Nhỏ, Phường 16, Quận 11, Hồ Chí Minh"
56 m²,,Thỏa thuận,,2 phòng,2 phòng,Đang chờ sổ,Cơ bản,,,,17/11/2023,27/11/2023,Tin thường,"Dự án Akari City Nam Long, Đường Võ Văn Kiệt, Phường An Lạc, Bình Tân, Hồ Chí Minh"
"88,7 m²",,22 tỷ,5 tầng,,,,,,,,24/11/2023,04/12/2023,Tin thường,"Đường Lê Đại Hành, Phường 13, Quận 11, Hồ Chí Minh"
175 m²,,45 tỷ,7 tầng,,,,,,,,24/11/2023,04/12/2023,Tin thường,"Đường Lê Đại Hành, Phường 13, Quận 11, Hồ Chí Minh"
120 m²,,"20,5 tỷ",,,,,,,,,24/11/2023,04/12/2023,Tin thường,"Đường Lê Đại Hành, Phường 11, Quận 11, Hồ Chí Minh"
"67,68 m²",,16 tỷ,,,,,,,,,23/11/2023,03/12/2023,Tin thường,"Đường Nguyễn Chí Thanh, Phường 16, Quận 11, Hồ Chí Minh"
135 m²,,35 tỷ,2 tầng,,,Sổ đỏ/ Sổ hồng,,,,,10/10/2023,Tin thường,38287509,"Đường Lê Đại Hành, Phường 13, Quận 11, Hồ Chí Minh"
60 m²,,11 tỷ,4 tầng,5 phòng,5 phòng,,,,,,24/11/2023,04/12/2023,Tin thường,"Đường Bình Thới, Phường 14, Quận 11, Hồ Chí Minh"
137 m²,,31 tỷ,5 tầng,,,,,Đông - Bắc,Đông - Bắc,,24/11/2023,04/12/2023,Tin thường,"Đường Nguyễn Thị Nhỏ, Phường 16, Quận 11, Hồ Chí Minh"
88 m²,,21 tỷ,,,,,,,,,24/11/2023,04/12/2023,Tin thường,"Đường Tạ Uyên, Phường 4, Quận 11, Hồ Chí Minh"
468 m²,,109 tỷ,,,,Sổ đỏ/ Sổ hồng,,,,16 m,24/11/2023,04/12/2023,Tin thường,"Đường Cư Xá Lữ Gia, Phường 15, Quận 11, Hồ Chí Minh"
64 m²,,"12,5 tỷ",2 tầng,,,,,,,,16/11/2023,26/11/2023,Tin thường,"Đường Cư Xá Lữ Gia, Phường 15, Quận 11, Hồ Chí Minh"
71 m²,,"17,5 tỷ",5 tầng,5 phòng,6 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ.,,,30 m,16/11/2023,26/11/2023,Tin thường,"Đường Lạc Long Quân, Phường 5, Quận 11, Hồ Chí Minh"
240 m²,,42 tỷ,,,,Sổ đỏ/ Sổ hồng.,,,,,24/11/2023,04/12/2023,Tin thường,"Đường Hồng Bàng, Phường 16, Quận 11, Hồ Chí Minh"
78 m²,,"17,5 tỷ",3 tầng,,,Sổ hồng.,Đầy đủ,,,,24/11/2023,04/12/2023,Tin thường,"Đường Công Chúa Ngọc Hân, Phường 12, Quận 11, Hồ Chí Minh"
60 m²,,10 tỷ,4 tầng,,,,,,Bắc,,19/11/2023,29/11/2023,Tin thường,"Đường Cư Xá Bình Thới, Phường 8, Quận 11, Hồ Chí Minh"
104 m²,5 m,30 tỷ,,,,Sổ đỏ/ Sổ hồng,Đầy đủ,,,12 m,24/11/2023,04/12/2023,Tin thường,"Đường Lê Đại Hành, Phường 11, Quận 11, Hồ Chí Minh."
"134,4 m²",,27 tỷ,7 tầng,16 phòng,,,,,,,24/11/2023,04/12/2023,Tin thường,"Đường Nguyễn Thị Nhỏ, Phường 16, Quận 11, Hồ Chí Minh"
140 m²,,33 tỷ,3 tầng,,,,,,,40 m,16/11/2023,26/11/2023,Tin thường,"Đường Lê Đại Hành, Phường 13, Quận 11, Hồ Chí Minh"
