Diện tích,Mặt tiền,Mức giá,Số tầng,Số phòng ngủ,Số toilet,Pháp lý,Nội thất,Hướng nhà,Hướng ban công,Đường vào,Ngày đăng,Ngày hết hạn,Loại tin,Địa chỉ
52 m²,,"2,7 tỷ",,2 phòng,,,,,,,27/10/2023,06/11/2023,Tin thường,"Đường Phạm Hùng, Xã Bình Hưng, Bình Chánh, Hồ Chí Minh"
100 m²,5 m,"5,7 tỷ",3 tầng,3 phòng,3 phòng,,,Tây - Bắc,,8 m,26/10/2023,05/11/2023,Tin thường,"Dự án Khang Điền Bình Chánh, Đường Trịnh Quang Nghị, Xã Phong Phú, Bình Chánh, Hồ Chí Minh"
"15,75 m²","3,5 m",550 triệu,2 tầng,1 phòng,1 phòng,,,,,6 m,26/10/2023,05/11/2023,Tin thường,"Đường Nữ Dân Công, Xã Vĩnh Lộc A, Bình Chánh, Hồ Chí Minh"
1.000 m²,"12,5 m","5,9 tỷ",1 tầng,2 phòng,1 phòng,Đã có sổ hồng.,,,,8 m,25/10/2023,09/11/2023,Tin thường,"Đường Vườn Thơm, Xã Bình Lợi, Bình Chánh, Hồ Chí Minh"
"44,7 m²",,"2,3 tỷ",,,,,,,,,26/10/2023,10/11/2023,Tin thường,"Xã Tân Kiên, Bình Chánh, Hồ Chí Minh"
160 m²,10 m,Thỏa thuận,4 tầng,5 phòng,4 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,,,12 m,02/11/2023,17/11/2023,Tin thường,"Đường Lý Nam Đế, Phường Cửa Đông, Hoàn Kiếm, Hà Nội"
"140,8 m²",,"5,8 tỷ",4 tầng,7 phòng,4 phòng,Sổ đỏ/ Sổ hồng,,,,4 m,26/10/2023,25/11/2023,Tin thường,"A14/5A, Đường Ấp 1, Xã Tân Kiên, Bình Chánh, Hồ Chí Minh"
40 m²,10 m,"2,2 tỷ",2 tầng,2 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Đây đủ.,Đông,Đông,2 m,26/10/2023,05/11/2023,Tin thường,"Đường Ấp 5, Xã Phong Phú, Bình Chánh, Hồ Chí Minh"
"261,1 m²",7 m,22 tỷ,1 tầng,2 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,,,,09/10/2023,08/11/2023,Tin thường,"Đường Đinh Đức Thiện, Xã Bình Chánh, Bình Chánh, Hồ Chí Minh"
52 m²,6 m,"1,85 tỷ",1 tầng,3 phòng,2 phòng,Giấy tơ hợp lệ.,Cơ bản.,,,,25/10/2023,09/11/2023,Tin thường,"mặt tiền Đường 6B, Xã Vĩnh Lộc B, Bình Chánh, Hồ Chí Minh"
