Diện tích,Mặt tiền,Mức giá,Số tầng,Số phòng ngủ,Số toilet,Pháp lý,Nội thất,Hướng nhà,Hướng ban công,Đường vào,Ngày đăng,Ngày hết hạn,Loại tin,Địa chỉ
58 m²,,"6,5 tỷ",3 tầng,,,Sổ đỏ/ Sổ hồng,,Đông - Nam,,,04/11/2023,14/11/2023,Tin thường,"Đường Bùi Đình Túy, Phường 24, Bình Thạnh, Hồ Chí Minh"
94 m²,,"8,9 tỷ",4 tầng,5 phòng,7 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,,,6 m,04/11/2023,14/11/2023,Tin thường,"Đường Bùi Đình Túy, Phường 12, Bình Thạnh, Hồ Chí Minh"
64 m²,4 m,"6,5 tỷ",3 tầng,6 phòng,6 phòng,Sổ hoàn công,,Tây,Tây,3 m,01/11/2023,16/11/2023,Tin thường,"F26, Phố Nguyễn Xí, Phường 26, Bình Thạnh, Hồ Chí Minh"
71 m²,,"9,9 tỷ",3 tầng,4 phòng,,Sổ đỏ/ Sổ hồng,Đầy đủ,Đông - Nam,,,07/11/2023,22/11/2023,Tin thường,"Đường Xô Viết Nghệ Tĩnh, Phường 26, Bình Thạnh, Hồ Chí Minh"
42 m²,"3,5 m","6,3 tỷ",5 tầng,4 phòng,5 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,,,6 m,30/10/2023,09/11/2023,Tin thường,"Đường Phan Chu Trinh, Phường 24, Bình Thạnh, Hồ Chí Minh"
64 m²,8 m,"7,5 tỷ",4 tầng,4 phòng,5 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ.,,,8 m,07/11/2023,17/11/2023,Tin thường,"47/, Đường Bùi Đình Túy, Phường 24, Bình Thạnh, Hồ Chí Minh"
62 m²,"4,1 m",13 tỷ,4 tầng,4 phòng,5 phòng,Sổ đỏ/ Sổ hồng,Không nội thất,,,,07/11/2023,17/11/2023,Tin thường,"Đường Nguyễn Văn Thương, Phường 25, Bình Thạnh, Hồ Chí Minh"
32 m²,,"4,65 tỷ",3 tầng,2 phòng,3 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ.,,,,02/11/2023,12/11/2023,Tin thường,"Đường Lê Văn Duyệt, Phường 3, Bình Thạnh, Hồ Chí Minh"
72 m²,,"11,4 tỷ",3 tầng,4 phòng,4 phòng,Sổ đỏ/ Sổ hồng.,Đầy đủ.,,,10 m,31/10/2023,10/11/2023,Tin thường,"Đường Nguyễn Cửu Vân, Phường 17, Bình Thạnh, Hồ Chí Minh"
62 m²,,"8,9 tỷ",5 tầng,4 phòng,5 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,,,6 m,02/11/2023,12/11/2023,Tin thường,"Đường Nguyễn Văn Thương, Phường 25, Bình Thạnh, Hồ Chí Minh"
108 m²,12 m,"13,9 tỷ",4 tầng,4 phòng,5 phòng,Sổ đỏ/ Sổ hồng.,Đầy đủ.,,,12 m,31/10/2023,10/11/2023,Tin thường,"Đường Đặng Thùy Trâm, Phường 13, Bình Thạnh, Hồ Chí Minh"
152 m²,6 m,"14,8 tỷ",4 tầng,4 phòng,4 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,,,6 m,02/11/2023,12/11/2023,Tin thường,"Đường Nguyễn Văn Đậu, Phường 11, Bình Thạnh, Hồ Chí Minh"
60 m²,4 m,Thỏa thuận,3 tầng,4 phòng,5 phòng,Sổ đỏ/ Sổ hồng.,Đầy đủ.,,,,04/11/2023,14/11/2023,Tin thường,"Đường Đặng Thùy Trâm, Phường 13, Bình Thạnh, Hồ Chí Minh."
260 m²,13 m,68 tỷ,7 tầng,52 phòng,52 phòng,,,,,12 m,05/10/2023,Tin thường,38170043,"Đường Phan Bội Châu, Phường 13, Bình Thạnh, Hồ Chí Minh"
106 m²,"5,6 m","9,89 tỷ",4 tầng,6 phòng,5 phòng,,Đầy đủ,Tây - Bắc,,"4,5 m",19/10/2023,18/11/2023,Tin thường,"Đường Bùi Đình Túy, Phường 24, Bình Thạnh, Hồ Chí Minh"
151 m²,"4,5 m","14,9 tỷ",4 tầng,12 phòng,7 phòng,Sổ đỏ/ Sổ hồng.,Đầy đủ,,,6 m,11/10/2023,10/11/2023,Tin thường,"Đường Lê Quang Định, Phường 11, Bình Thạnh, Hồ Chí Minh"
160 m²,,15 tỷ,4 tầng,7 phòng,7 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,,,,04/11/2023,14/11/2023,Tin thường,"Đường Lê Quang Định, Phường 11, Bình Thạnh, Hồ Chí Minh"
"48,8 m²","4,5 m","8,3 tỷ",5 tầng,8 phòng,8 phòng,Sổ đỏ/ Sổ hồng,,,,4 m,03/11/2023,13/11/2023,Tin thường,"Đường Lê Quang Định, Phường 14, Bình Thạnh, Hồ Chí Minh"
175 m²,"8,1 m",26 tỷ,4 tầng,,,Sổ đỏ/ Sổ hồng,,,,,31/10/2023,10/11/2023,Tin thường,"Đường Vũ Ngọc Phan, Phường 13, Bình Thạnh, Hồ Chí Minh"
45 m²,,"2,58 tỷ",4 tầng,4 phòng,4 phòng,Sổ hồng riêng.,,,,,04/11/2023,14/11/2023,Tin thường,"Đường Nguyễn Trung Trực, Phường 6, Bình Thạnh, Hồ Chí Minh"
80 m²,,"13,4 tỷ",,4 phòng,4 phòng,,,,,,04/11/2023,14/11/2023,Tin thường,"Đường Xô Viết Nghệ Tĩnh, Phường 25, Bình Thạnh, Hồ Chí Minh"
150 m²,,15 tỷ,4 tầng,4 phòng,4 phòng,Sổ đỏ/ Sổ hồng,,,,,04/11/2023,14/11/2023,Tin thường,"Đường Lê Quang Định, Phường 11, Bình Thạnh, Hồ Chí Minh"
"39,8 m²",,"4,1 tỷ",2 tầng,,,Sổ đỏ/ Sổ hồng,Đầy đủ,,,,04/11/2023,14/11/2023,Tin thường,"Đường Nguyễn Văn Đậu, Phường 11, Bình Thạnh, Hồ Chí Minh"
80 m²,,"13,9 tỷ",,4 phòng,,,,,,,04/11/2023,14/11/2023,Tin thường,"Đường Nguyễn Gia Trí, Phường 25, Bình Thạnh, Hồ Chí Minh"
"150,5 m²",,"14,9 tỷ",,,,,,,,,04/11/2023,14/11/2023,Tin thường,"Đường Lê Quang Định, Phường 11, Bình Thạnh, Hồ Chí Minh"
100 m²,5 m,"12,5 tỷ",4 tầng,5 phòng,4 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,,,12 m,30/10/2023,09/11/2023,Tin thường,"Đường Bình Lợi, Phường 13, Bình Thạnh, Hồ Chí Minh"
195 m²,"9,5 m",28 tỷ,1 tầng,1 phòng,1 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,,,10 m,04/11/2023,14/11/2023,Tin thường,"Đường Phạm Viết Chánh, Phường 19, Bình Thạnh, Hồ Chí Minh"
"145,8 m²",8 m,"22,5 tỷ",3 tầng,6 phòng,6 phòng,,,Tây - Nam,,15 m,04/11/2023,11/11/2023,Tin thường,"Đường Chu Văn An, Phường 26, Bình Thạnh, Hồ Chí Minh"
15 m²,,"1,79 tỷ",2 tầng,1 phòng,1 phòng,Sổ đỏ/ Sổ hồng,,,,,02/11/2023,12/11/2023,Tin thường,"Đường Phan Chu Trinh, Phường 12, Bình Thạnh, Hồ Chí Minh"
76 m²,,12 tỷ,,,,Sổ đỏ/ Sổ hồng,Đầy đủ,,,,04/11/2023,14/11/2023,Tin thường,"Đường Nguyễn Hữu Cảnh, Phường 22, Bình Thạnh, Hồ Chí Minh"
100 m²,,"12,7 tỷ",4 tầng,4 phòng,5 phòng,,,,Tây,12 m,04/11/2023,14/11/2023,Tin thường,"Đường Bình Lợi, Phường 13, Bình Thạnh, Hồ Chí Minh"
