Diện tích,Mặt tiền,Mức giá,Số tầng,Số phòng ngủ,Số toilet,Pháp lý,Nội thất,Hướng nhà,Hướng ban công,Đường vào,Ngày đăng,Ngày hết hạn,Loại tin,Địa chỉ
30 m²,"3,6 m",890 triệu,2 tầng,2 phòng,1 phòng,Sổ đỏ/ Sổ hồng,,,,5 m,24/10/2023,23/11/2023,Tin thường,"Đường An Thới Đông, Xã An Thới Đông, Cần Giờ, Hồ Chí Minh"
75 m²,,"3,25 tỷ",,1 phòng,1 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,,,,27/10/2023,26/11/2023,Tin thường,"Xã Long Hòa, Huyện Cần Giờ, Hồ Chí Minh"
1.140 m²,,"6,9 tỷ",,,,Sổ đỏ/ Sổ hồng,,,,12 m,26/10/2023,05/11/2023,Tin thường,"Đường Lý Nhơn, Xã Lý Nhơn, Cần Giờ, Hồ Chí Minh"
"103,68 m²",,11 tỷ,,2 phòng,1 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,,,,26/10/2023,05/11/2023,Tin thường,"Đường Nguyễn Phan Vinh, Thị trấn Cần Thạnh, Cần Giờ, Hồ Chí Minh"
85 m²,,7 tỷ,3 tầng,4 phòng,5 phòng,,Giao nhà hoàn thiện mặt ngoài,Đông - Nam,Đông - Nam,,28/09/2023,Tin thường,37954230,"Dự án Artisan Park, Phường Hòa Phú, Thủ Dầu Một, Bình Dương"
"172,5 m²",,"2,7 tỷ",,,,Sổ đỏ/ Sổ hồng,Đầy đủ,,,,23/10/2023,02/11/2023,Tin thường,"Đường Duyên Hải, Thị trấn Cần Thạnh, Cần Giờ, Hồ Chí Minh"
"180,9 m²",,"3,9 tỷ",,,,Sổ đỏ/ Sổ hồng.,Không nội thất.,,,10 m,22/10/2023,01/11/2023,Tin thường,"Đường Tam Thôn Hiệp, Xã Tam Thôn Hiệp, Cần Giờ, Hồ Chí Minh"
64 m²,,"4,2 tỷ",,2 phòng,1 phòng,Sổ đỏ/ Sổ hồng,,,,,13/10/2023,23/10/2023,Tin thường,"Đường Rừng Sác, Xã Bình Khánh, Cần Giờ, Hồ Chí Minh"
110 m²,8 m,"3,9 tỷ",2 tầng,,,Sổ đỏ/ Sổ hồng,,,,12 m,01/10/2023,11/10/2023,Tin thường,"Dự án La Maison De Cần Giờ, Đường Lương Văn Nho, Xã Long Hòa, Cần Giờ, Hồ Chí Minh"
15.000 m²,,22 tỷ,,,,Sổ đỏ/ Sổ hồng,,,,,04/11/2023,19/11/2023,Tin VIP Vàng,"Đường ĐT 725, Thị trấn Lộc Thắng, Bảo Lâm, Lâm Đồng"
264 m²,,"2,4 tỷ",,,,Sổ đỏ/ Sổ hồng,,,,,29/08/2023,28/09/2023,Tin thường,"Đường An Thới Đông, Xã An Thới Đông, Cần Giờ, Hồ Chí Minh"
100 m²,5 m,"2,8 tỷ",,,,Sổ đỏ/ Sổ hồng.,,,,6 m,18/09/2023,28/09/2023,Tin thường,"Đường Giồng Ao, Thị trấn Cần Thạnh, Cần Giờ, Hồ Chí Minh"
235 m²,,"15,5 tỷ",,9 phòng,7 phòng,,,,,,13/09/2023,23/09/2023,Tin thường,"Thị trấn Cần Thạnh, Cần Giờ, Hồ Chí Minh"
54 m²,,"1,6 tỷ",2 tầng,2 phòng,2 phòng,Sổ hồng,,,,6 m,12/09/2023,22/09/2023,Tin thường,"Đường Bình Khánh, Thị trấn Cần Thạnh, Cần Giờ, Hồ Chí Minh"
250 m²,3 m,"3,4 tỷ",1 tầng,2 phòng,1 phòng,,,,,3 m,06/09/2023,16/09/2023,Tin thường,"Đường Trần Quang Quờn, Xã Bình Khánh, Cần Giờ, Hồ Chí Minh"
"61,6 m²","3,8 m","4,3 tỷ",,,,Sổ đỏ/ Sổ hồng,,,,16 m,29/08/2023,08/09/2023,Tin thường,"154, Đường Duyên Hải, Thị trấn Cần Thạnh, Cần Giờ, Hồ Chí Minh"
306 m²,,20 triệu/m²,,,,Sổ đỏ/ Sổ hồng,,,,,14/08/2023,24/08/2023,Tin thường,"Xã An Thới Đông, Huyện Cần Giờ, Hồ Chí Minh"
45 m²,,"1,65 tỷ",,1 phòng,1 phòng,Sổ đỏ/ Sổ hồng,Không nội thất,Đông - Bắc,,3 m,14/08/2023,24/08/2023,Tin thường,"Thị trấn Cần Thạnh, Cần Giờ, Hồ Chí Minh"
235 m²,,"15,5 tỷ",2 tầng,,,,,,,,09/08/2023,19/08/2023,Tin thường,"Thị trấn Cần Thạnh, Cần Giờ, Hồ Chí Minh"
85 m²,2 m,"2,3 tỷ",,,,Sổ hồng riêng,,,,2 m,27/07/2023,06/08/2023,Tin thường,"Đường Rừng Sác, Xã Bình Khánh, Cần Giờ, Hồ Chí Minh"
175 m²,7 m,"2,67 tỷ",1 tầng,2 phòng,1 phòng,Sổ đỏ/ Sổ hồng,Không nội thất,Tây - Bắc,Đông - Nam,8 m,17/07/2023,27/07/2023,Tin thường,"Xã Tam Thôn Hiệp, Cần Giờ, Hồ Chí Minh"
238 m²,,16 tỷ,2 tầng,9 phòng,,,,,,,20/06/2023,30/06/2023,Tin thường,"Xã Long Hòa, Cần Giờ, Hồ Chí Minh"
