Diện tích,Mặt tiền,Mức giá,Số tầng,Số phòng ngủ,Số toilet,Pháp lý,Nội thất,Hướng nhà,Hướng ban công,Đường vào,Ngày đăng,Ngày hết hạn,Loại tin,Địa chỉ
120 m²,5 m,Thỏa thuận,,2 phòng,1 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,,,12 m,31/10/2023,10/11/2023,Tin thường,"Đường Suối Lội, Xã Tân Thông Hội, Củ Chi, Hồ Chí Minh"
110 m²,5 m,"1,25 tỷ",,1 phòng,1 phòng,Sổ đỏ/ Sổ hồng,Cơ bản,,,7 m,31/10/2023,10/11/2023,Tin thường,"Đường Nguyễn Thị Rành, Xã Tân An Hội, Củ Chi, Hồ Chí Minh"
113 m²,5 m,700 triệu,,2 phòng,2 phòng,Sổ đỏ/ Sổ hồng,,,,6 m,31/10/2023,10/11/2023,Tin thường,"Đường Nguyễn Thị Lắng, Xã Tân Phú Trung, Củ Chi, Hồ Chí Minh"
148 m²,5 m,"3,85 tỷ",3 tầng,3 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Cơ bản,Tây - Nam,,12 m,01/11/2023,11/11/2023,Tin thường,"Đường Số 53, Xã Tân Phú Trung, Củ Chi, Hồ Chí Minh"
302 m²,17 m,"3,3 tỷ",,3 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Cơ bản,,,7 m,30/10/2023,09/11/2023,Tin thường,"Đường 112, Xã Tân Thạnh Đông, Củ Chi, Hồ Chí Minh"
2.030 m²,,15 tỷ,3 tầng,4 phòng,4 phòng,Sổ đỏ/ Sổ hồng.,Cơ bản.,,,,26/10/2023,05/11/2023,Tin thường,"Xã Trung Lập Hạ, Huyện Củ Chi, Hồ Chí Minh"
125 m²,5 m,"1,4 tỷ",1 tầng,5 phòng,5 phòng,Sổ đỏ/ Sổ hồng,Cơ bản,,,7 m,31/10/2023,10/11/2023,Tin thường,"Đường Nguyễn Văn Hoài, Xã Tân An Hội, Củ Chi, Hồ Chí Minh"
96 m²,6 m,"1,25 tỷ",,,,Sổ đỏ/ Sổ hồng,,Đông - Bắc,,10 m,31/10/2023,10/11/2023,Tin thường,"Đường Tỉnh lộ 15, Xã Phú Hòa Đông, Củ Chi, Hồ Chí Minh"
9.829 m²,25 m,13 tỷ,1 tầng,3 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,Nam,Nam,12 m,31/10/2023,15/11/2023,Tin thường,"Đường Tỉnh Lộ 7, Xã An Nhơn Tây, Củ Chi, Hồ Chí Minh"
303 m²,5 m,Thỏa thuận,,2 phòng,2 phòng,Sổ đỏ/ Sổ hồng,,Nam,,12 m,31/10/2023,10/11/2023,Tin thường,"Đường Bến Đình, Xã An Nhơn Tây, Củ Chi, Hồ Chí Minh"
1.275 m²,,23 triệu/m²,1 tầng,3 phòng,2 phòng,Sổ đỏ/ Sổ hồng,,,,,31/10/2023,30/11/2023,Tin thường,"Xã Tân Thông Hội, Củ Chi, Hồ Chí Minh"
240 m²,8 m,Thỏa thuận,,,,Sổ đỏ/ Sổ hồng,,,,8 m,31/10/2023,10/11/2023,Tin thường,"Đường Hồ Văn Tắng, Xã Tân Phú Trung, Củ Chi, Hồ Chí Minh"
452 m²,97 m,12 tỷ,,1 phòng,1 phòng,Sổ đỏ/ Sổ hồng,,Đông - Bắc,,,21/08/2023,Tin thường,35961740,"Đường Suối Lội, Xã Phước Vĩnh An, Củ Chi, Hồ Chí Minh"
