Diện tích,Mặt tiền,Mức giá,Số tầng,Số phòng ngủ,Số toilet,Pháp lý,Nội thất,Hướng nhà,Hướng ban công,Đường vào,Ngày đăng,Ngày hết hạn,Loại tin,Địa chỉ
32 m²,,"1,15 tỷ",,,1 phòng,Hợp đồng mua bán,,Tây,,,09/11/2023,19/11/2023,Tin thường,"Đường Trần Văn Mười, Xã Xuân Thới Đông, Hóc Môn, Hồ Chí Minh"
40 m²,4 m,"1,7 tỷ",,2 phòng,2 phòng,,,,,"2,5 m",09/11/2023,19/11/2023,Tin thường,"Đường Thiên Quang, Xã Trung Chánh, Hóc Môn, Hồ Chí Minh"
72 m²,4 m,"3,8 tỷ",2 tầng,5 phòng,4 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,Tây,Tây,4 m,09/11/2023,19/11/2023,Tin thường,"Đường Nguyễn Thị Sóc, Xã Bà Điểm, Hóc Môn, Hồ Chí Minh"
66 m²,,"5,99 tỷ",3 tầng,4 phòng,4 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,,,,13/11/2023,23/11/2023,Tin thường,"Đường Trung Mỹ Tây 5, Xã Trung Chánh, Hóc Môn, Hồ Chí Minh"
"297,6 m²","8,5 m","9,5 tỷ",2 tầng,4 phòng,3 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,,,5 m,14/11/2023,24/11/2023,Tin thường,"Đường Phan Văn Hớn, Xã Bà Điểm, Hóc Môn, Hồ Chí Minh"
"398,8 m²","14,5 m","13,5 tỷ",1 tầng,3 phòng,4 phòng,"Sổ hồng riêng, pháp lí rõ ràng",,Tây,,,15/11/2023,30/11/2023,Tin VIP Vàng,"Đường Xuân Thới Thượng 24, Xã Xuân Thới Thượng, Hóc Môn, Hồ Chí Minh"
250 m²,9 m,16 tỷ,1 tầng,5 phòng,3 phòng,Sổ đỏ/ Sổ hồng,Cơ bản.,Nam,Nam,7 m,15/11/2023,22/11/2023,Tin VIP Bạc,"Đường Xuân Thới 3, Xã Xuân Thới Đông, Hóc Môn, Hồ Chí Minh"
97 m²,5 m,"7,45 tỷ",3 tầng,4 phòng,5 phòng,Sổ đỏ/ Sổ hồng.,Nội thất cao cấp.,,,12 m,08/11/2023,18/11/2023,Tin thường,"Đường Trung Chánh, Xã Trung Chánh, Hóc Môn, Hồ Chí Minh"
90 m²,7 m,"5,7 tỷ",4 tầng,5 phòng,6 phòng,Sổ hồng,Cơ bản,Đông - Bắc,Đông - Bắc,7 m,11/11/2023,21/11/2023,Tin thường,"Đường Nguyễn Thị Thử, Xã Xuân Thới Sơn, Hóc Môn, Hồ Chí Minh"
230 m²,10 m,"5,8 tỷ",4 tầng,10 phòng,6 phòng,Sổ đỏ/ Sổ hồng,Cơ bản,Tây - Bắc,,5 m,08/11/2023,18/11/2023,Tin thường,"Đường Dương Công Khi, Xã Tân Hiệp, Hóc Môn, Hồ Chí Minh"
103 m²,6 m,"4,9 tỷ",1 tầng,2 phòng,1 phòng,Sổ đỏ/ Sổ hồng,Cơ bản.,Đông - Nam,,8 m,08/11/2023,18/11/2023,Tin thường,"Đường Tân Hiệp 28, Xã Tân Hiệp, Hóc Môn, Hồ Chí Minh"
176 m²,7 m,"8,5 tỷ",1 tầng,2 phòng,3 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,Đông - Bắc,Đông - Bắc,5 m,08/11/2023,18/11/2023,Tin thường,"Đường Phan Văn Đối, Xã Bà Điểm, Hóc Môn, Hồ Chí Minh"
56 m²,4 m,Thỏa thuận,2 tầng,4 phòng,3 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,,,5 m,09/11/2023,19/11/2023,Tin thường,"Đường Tô Ký, Xã Thới Tam Thôn, Hóc Môn, Hồ Chí Minh"
40 m²,5 m,"2,5 tỷ",,2 phòng,2 phòng,Sổ đỏ/ sổ hồng.,,,,3 m,09/11/2023,19/11/2023,Tin thường,"Đường Ấp 3, Xã Xuân Thới Thượng, Hóc Môn, Hồ Chí Minh"
83 m²,4 m,"3,1 tỷ",2 tầng,3 phòng,2 phòng,,,,,4 m,08/11/2023,23/11/2023,Tin thường,"Đường Xuân Thới Đông 7, Xã Xuân Thới Đông, Hóc Môn, Hồ Chí Minh"
176 m²,7 m,"8,5 tỷ",1 tầng,2 phòng,3 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,Đông - Bắc,Đông - Bắc,5 m,08/11/2023,18/11/2023,Tin thường,"Đường Phan Văn Đối, Xã Bà Điểm, Hóc Môn, Hồ Chí Minh"
"111,8 m²","5,2 m",Thỏa thuận,1 tầng,2 phòng,2 phòng,Sổ đỏ/ Sổ hồng,,,,4 m,08/11/2023,18/11/2023,Tin thường,"Đường Dương Công Khi, Xã Tân Hiệp, Hóc Môn, Hồ Chí Minh"
"146,8 m²","6,3 m","6,3 tỷ",1 tầng,2 phòng,1 phòng,Sổ đỏ/ Sổ hồng,Cơ bản,,,"6,3 m",08/11/2023,23/11/2023,Tin thường,"40/2, Đường Ấp Mới 2, Xã Trung Chánh, Hóc Môn, Hồ Chí Minh"
225 m²,"6,6 m","5,7 tỷ",,4 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Cơ bản,,,4 m,08/11/2023,18/11/2023,Tin thường,"Đường Trần Văn Mười, Xã Xuân Thới Đông, Hóc Môn, Hồ Chí Minh"
65 m²,4 m,"1,7 tỷ",1 tầng,2 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Cơ bản,Nam,Nam,4 m,08/11/2023,23/11/2023,Tin thường,"Đường Mỹ Hòa 1, Xã Trung Chánh, Hóc Môn, Hồ Chí Minh"
60 m²,4 m,"1,65 tỷ",1 tầng,2 phòng,1 phòng,Hợp đồng mua bán,Cơ bản,,,3 m,08/11/2023,08/12/2023,Tin thường,"Đường Thới Tam Thôn 7, Xã Thới Tam Thôn, Hóc Môn, Hồ Chí Minh"
60 m²,5 m,Thỏa thuận,2 tầng,2 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Cơ bản.,,,8 m,08/11/2023,18/11/2023,Tin thường,"Đường Lê Lợi, Xã Tân Thới Nhì, Hóc Môn, Hồ Chí Minh"
"196,8 m²",11 m,"4,5 tỷ",2 tầng,3 phòng,2 phòng,Đã có sổ hồng riêng.,,Đông - Nam,,,08/11/2023,23/11/2023,Tin thường,"Đường Bùi Công Trừng, Xã Nhị Bình, Hóc Môn, Hồ Chí Minh"
23 m²,,"1,2 tỷ",1 tầng,1 phòng,1 phòng,Hợp đồng mua bán,Không nội thất,Đông,,,08/11/2023,23/11/2023,Tin thường,"Đường Phạm Thị Giây, Xã Thới Tam Thôn, Hóc Môn, Hồ Chí Minh"
36 m²,4 m,"1,35 tỷ",2 tầng,2 phòng,2 phòng,Hợp đồng mua bán,,,,,08/11/2023,18/11/2023,Tin thường,"Đường Ấp 5, Xã Đông Thạnh, Hóc Môn, Hồ Chí Minh"
"253,8 m²",,"4,4 tỷ",1 tầng,2 phòng,1 phòng,Sổ đỏ/ Sổ hồng.,Đầy đủ.,Tây - Nam,,5 m,08/11/2023,18/11/2023,Tin thường,"Đường Hậu Lân 5, Xã Bà Điểm, Hóc Môn, Hồ Chí Minh"
300 m²,,"4,9 tỷ",,3 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,,,6 m,08/11/2023,18/11/2023,Tin thường,"Đường Phan Văn Hớn, Xã Bà Điểm, Hóc Môn, Hồ Chí Minh"
184 m²,"6,6 m","6,1 tỷ",1 tầng,4 phòng,3 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,,,6 m,08/11/2023,18/11/2023,Tin thường,"Đường Ấp Đông 1, Xã Thới Tam Thôn, Hóc Môn, Hồ Chí Minh"
56 m²,4 m,"2,39 tỷ",4 tầng,4 phòng,4 phòng,Sổ đỏ/ Sổ hồng,,Bắc,Bắc,10 m,08/11/2023,18/11/2023,Tin thường,"Xã Xuân Thới Sơn, Hóc Môn, Hồ Chí Minh"
