Diện tích,Mặt tiền,Mức giá,Số tầng,Số phòng ngủ,Số toilet,Pháp lý,Nội thất,Hướng nhà,Hướng ban công,Đường vào,Ngày đăng,Ngày hết hạn,Loại tin,Địa chỉ
"97,5 m²",,18 tỷ,4 tầng,,,Sổ hồng,Đầy đủ.,,,,13/11/2023,23/11/2023,Tin thường,"Đường Hồ Biểu Chánh, Phường 11, Phú Nhuận, Hồ Chí Minh"
56 m²,,Thỏa thuận,2 tầng,3 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,,,,13/11/2023,23/11/2023,Tin thường,"Đường Nguyễn Kiệm, Phường 9, Phú Nhuận, Hồ Chí Minh"
54 m²,,"8,9 tỷ",3 tầng,3 phòng,3 phòng,Sổ đỏ/ Sổ hồng,,,,6 m,27/10/2023,26/11/2023,Tin thường,"Đường Nguyễn Trọng Tuyển, Phường 8, Phú Nhuận, Hồ Chí Minh"
14 m²,3 m,"2,2 tỷ",2 tầng,4 phòng,2 phòng,Sổ hồng riêng chính chủ,Đầy đủ.,,,2 m,13/11/2023,13/12/2023,Tin thường,"Đường Nhiêu Tứ, Phường 7, Phú Nhuận, Hồ Chí Minh"
"52,5 m²",4 m,"6,25 tỷ",3 tầng,4 phòng,3 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,Tây - Nam,Tây - Nam,4 m,12/11/2023,22/11/2023,Tin thường,"Đường Thích Quảng Đức, Phường 5, Phú Nhuận, Hồ Chí Minh"
94 m²,6 m,"16,5 tỷ",4 tầng,,,Sổ đỏ/ Sổ hồng,Đầy đủ,,,5 m,13/11/2023,23/11/2023,Tin thường,"Đường Huỳnh Văn Bánh, Phường 11, Phú Nhuận, Hồ Chí Minh"
"34,5 m²",5 m,"3,5 tỷ",3 tầng,3 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ.,,,5 m,05/11/2023,15/11/2023,Tin thường,"Đường Nguyễn Công Hoan, Phường 7, Phú Nhuận, Hồ Chí Minh"
36 m²,"4,6 m","4,9 tỷ",2 tầng,2 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,,,"2,5 m",07/11/2023,17/11/2023,Tin thường,"Đường Phan Tây Hồ, Phường 7, Phú Nhuận, Hồ Chí Minh"
35 m²,15 m,"6,98 tỷ",3 tầng,3 phòng,3 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ.,Tây - Bắc,Tây - Bắc,3 m,10/11/2023,20/11/2023,Tin thường,"Đường Hoàng Hoa Thám, Phường 5, Phú Nhuận, Hồ Chí Minh"
75 m²,5 m,Thỏa thuận,2 tầng,4 phòng,3 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,,,,07/11/2023,17/11/2023,Tin thường,"Đường Trần Kế Xương, Phường 7, Phú Nhuận, Hồ Chí Minh"
15.000 m²,,22 tỷ,,,,Sổ đỏ/ Sổ hồng,,,,,04/11/2023,19/11/2023,Tin VIP Vàng,"Đường ĐT 725, Thị trấn Lộc Thắng, Bảo Lâm, Lâm Đồng"
160 m²,,26 tỷ,3 tầng,6 phòng,6 phòng,Sổ đỏ/ Sổ hồng,,,,20 m,13/11/2023,23/11/2023,Tin thường,"Đường Đặng Văn Ngữ, Phường 10, Phú Nhuận, Hồ Chí Minh"
"76,7 m²",,"17,9 tỷ",,,,Sổ hồng,,Tây - Bắc,,,13/11/2023,23/11/2023,Tin thường,"Đường Phan Đăng Lưu, Phường 7, Phú Nhuận, Hồ Chí Minh"
52 m²,,Thỏa thuận,2 tầng,2 phòng,2 phòng,,,,,,13/11/2023,23/11/2023,Tin thường,"Đường Nguyễn Thượng Hiền, Phường 5, Phú Nhuận, Hồ Chí Minh"
72 m²,,Thỏa thuận,,4 phòng,4 phòng,Sổ đỏ/ Sổ hồng,,,,,13/11/2023,23/11/2023,Tin thường,"Đường Cầm Bá Thước, Phường 7, Phú Nhuận, Hồ Chí Minh"
283 m²,10 m,"20,5 tỷ",6 tầng,17 phòng,,Sổ đỏ/ Sổ hồng,Cơ bản,Tây - Nam,,8 m,27/10/2023,26/11/2023,Tin thường,"Đường Trịnh Hoài Đức, Phường 11, Đà Lạt, Lâm Đồng."
"46,2 m²",,Thỏa thuận,3 tầng,,,Sổ đỏ/ Sổ hồng,Không nội thất,,,,13/11/2023,23/11/2023,Tin thường,"Hẻm 172, Đường Đặng Văn Ngữ, Phường 14, Phú Nhuận, Hồ Chí Minh"
91 m²,,"22,9 tỷ",7 tầng,16 phòng,16 phòng,,,,,,10/11/2023,20/11/2023,Tin thường,"Đường Hoa Cúc, Phường 2, Phú Nhuận, Hồ Chí Minh"
72 m²,,"9,8 tỷ",5 tầng,4 phòng,4 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,,,,08/11/2023,18/11/2023,Tin thường,"Đường Huỳnh Văn Bánh, Phường 13, Phú Nhuận, Hồ Chí Minh"
130 m²,"7,1 m",35 tỷ,5 tầng,8 phòng,8 phòng,Sổ hồng chính chủ.,Đầy đủ.,,,10 m,13/11/2023,23/11/2023,Tin thường,"Đường Nguyễn Văn Trỗi, Phường 8, Phú Nhuận, Hồ Chí Minh"
"91,8 m²",,23 tỷ,7 tầng,,,Sổ đỏ/ Sổ hồng,,Đông - Nam,,,10/11/2023,20/11/2023,Tin thường,"Đường Cù Lao, Phường 2, Phú Nhuận, Hồ Chí Minh"
50 m²,"4,5 m","6,5 tỷ",4 tầng,4 phòng,4 phòng,Sổ đỏ/ Sổ hồng,,,,10 m,05/11/2023,15/11/2023,Tin thường,"Đường Trường Sa, Phường 14, Phú Nhuận, Hồ Chí Minh"
49 m²,,"6,99 tỷ",2 tầng,3 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Cơ bản,,,,13/11/2023,23/11/2023,Tin thường,"Đường Huỳnh Văn Bánh, Phường 13, Phú Nhuận, Hồ Chí Minh"
110 m²,,"18,2 tỷ",,10 phòng,,Sổ đỏ/ Sổ hồng,,,,,16/10/2023,15/11/2023,Tin thường,"Đường Nguyễn Văn Trỗi, Phường 8, Phú Nhuận, Hồ Chí Minh"
"71,1 m²","6,45 m",26 tỷ,6 tầng,8 phòng,8 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,Tây - Nam,Tây - Nam,6 m,13/11/2023,23/11/2023,Tin thường,"Đường Nguyễn Văn Trỗi, Phường 12, Phú Nhuận, Hồ Chí Minh"
56 m²,,Thỏa thuận,4 tầng,4 phòng,5 phòng,Đã có sổ,,,,,13/11/2023,23/11/2023,Tin thường,"Hẻm 100, Đường Thích Quảng Đức, Phường 5, Phú Nhuận, Hồ Chí Minh"
46 m²,,"6,5 tỷ",2 tầng,2 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Không nội thất,,,,13/11/2023,23/11/2023,Tin thường,"Đường Huỳnh Văn Bánh, Phường 11, Phú Nhuận, Hồ Chí Minh"
"59,8 m²",,Thỏa thuận,3 tầng,4 phòng,4 phòng,Sổ đỏ/ Sổ hồng,,,,,13/11/2023,23/11/2023,Tin thường,"Đường Cô Giang, Phường 2, Phú Nhuận, Hồ Chí Minh"
