Diện tích,Mặt tiền,Mức giá,Số tầng,Số phòng ngủ,Số toilet,Pháp lý,Nội thất,Hướng nhà,Hướng ban công,Đường vào,Ngày đăng,Ngày hết hạn,Loại tin,Địa chỉ
60 m²,,Thỏa thuận,4 tầng,4 phòng,5 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,,,,15/11/2023,25/11/2023,Tin thường,"Đường Nguyễn Văn Cừ, Phường 1, Quận 5, Hồ Chí Minh"
76 m²,"4,7 m",17 tỷ,3 tầng,9 phòng,8 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,,,,13/11/2023,23/11/2023,Tin thường,"Đường Trần Bình Trọng, Phường 4, Quận 5, Hồ Chí Minh"
"75,2 m²",6 m,Thỏa thuận,2 tầng,2 phòng,2 phòng,,,,,"3,5 m",15/11/2023,25/11/2023,Tin thường,"Đường Nghĩa Thục, Phường 6, Quận 5, Hồ Chí Minh"
47 m²,"3,7 m","8,6 tỷ",4 tầng,7 phòng,7 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,,,6 m,13/11/2023,28/11/2023,Tin thường,"Đường An Dương Vương, Phường 4, Quận 5, Hồ Chí Minh"
"93,5 m²",,"16,5 tỷ",4 tầng,5 phòng,6 phòng,Sổ đỏ/ Sổ hồng.,,,,,16/11/2023,26/11/2023,Tin thường,"Đường An Dương Vương, Phường 4, Quận 5, Hồ Chí Minh"
"82,8 m²",,"9,8 tỷ",2 tầng,4 phòng,3 phòng,Sổ đỏ/ Sổ hồng,Cơ bản,,,,08/11/2023,18/11/2023,Tin thường,"Đường Nguyễn Văn Đừng, Phường 6, Quận 5, Hồ Chí Minh"
50 m²,5 m,6 tỷ,2 tầng,2 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,Tây - Nam,Tây - Nam,,13/11/2023,23/11/2023,Tin thường,"Đường An Dương Vương, Phường 4, Quận 5, Hồ Chí Minh"
37 m²,,"5,5 tỷ",3 tầng,4 phòng,,Sổ đỏ/ Sổ hồng,Đầy đủ.,,,,15/11/2023,25/11/2023,Tin thường,"Đường Nguyễn Trãi, Phường 2, Quận 5, Hồ Chí Minh"
197 m²,,7 tỷ,3 tầng,4 phòng,5 phòng,,Nhà hoàn thiện mặt ngoài,Đông - Nam,Đông - Nam,51 m,14/11/2023,24/11/2023,Tin thường,"Dự án WTC Tower, Đường Lê Hoàn, Phường Hòa Phú, Thủ Dầu Một, Bình Dương"
21 m²,"3,5 m","3,9 tỷ",2 tầng,2 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Cơ bản,,,5 m,15/11/2023,25/11/2023,Tin thường,"3, Đường Huỳnh Mẫn Đạt, Phường 7, Quận 5, Hồ Chí Minh"
"82,8 m²",,"9,8 tỷ",2 tầng,4 phòng,3 phòng,Sổ đỏ/ Sổ hồng,Cơ bản,,,,08/11/2023,18/11/2023,Tin thường,"Đường Nguyễn Văn Đừng, Phường 6, Quận 5, Hồ Chí Minh"
70 m²,,15 tỷ,4 tầng,6 phòng,4 phòng,Sổ đỏ/ Sổ hồng.,Cơ bản.,,,8 m,14/11/2023,24/11/2023,Tin thường,"Đường An Dương Vương, Phường 9, Quận 5, Hồ Chí Minh"
47 m²,"3,7 m","9,5 tỷ",5 tầng,7 phòng,6 phòng,Sổ đỏ/ Sổ hồng,,,,5 m,14/11/2023,24/11/2023,Tin thường,"Đường An Dương Vương, Phường 4, Quận 5, Hồ Chí Minh"
15.000 m²,,22 tỷ,,,,Sổ đỏ/ Sổ hồng,,,,,04/11/2023,19/11/2023,Tin VIP Vàng,"Đường ĐT 725, Thị trấn Lộc Thắng, Bảo Lâm, Lâm Đồng"
39 m²,,"6,5 tỷ",2 tầng,2 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,,,"3,5 m",13/11/2023,23/11/2023,Tin thường,"Đường Nguyễn Trãi, Phường 11, Quận 5, Hồ Chí Minh"
62 m²,,Thỏa thuận,2 tầng,3 phòng,2 phòng,Sổ đỏ/ Sổ hồng.,Cơ bản.,,,5 m,14/11/2023,24/11/2023,Tin thường,"Đường Nguyễn Trãi, Phường 11, Quận 5, Hồ Chí Minh"
67 m²,,Thỏa thuận,1 tầng,3 phòng,3 phòng,Sổ đỏ/ Sổ hồng,,Đông - Nam,,,14/11/2023,24/11/2023,Tin thường,"Đường Hồng Bàng, Phường 8, Quận 5, Hồ Chí Minh."
72 m²,,"10,3 tỷ",1 tầng,,,Sổ đỏ/ Sổ hồng,Cơ bản,,,,14/11/2023,24/11/2023,Tin thường,"Đường Nguyễn Trãi, Phường 8, Quận 5, Hồ Chí Minh"
71 m²,"4,2 m","10,3 tỷ",2 tầng,,,,,,,,14/11/2023,24/11/2023,Tin thường,"Đường Nguyễn Trãi, Phường 8, Quận 5, Hồ Chí Minh"
"24,15 m²",,"6,5 tỷ",4 tầng,3 phòng,4 phòng,,,,,,09/11/2023,19/11/2023,Tin thường,"Đường Trần Bình Trọng, Phường 1, Quận 5, Hồ Chí Minh"
80 m²,,11 tỷ,3 tầng,,,,,,,,14/11/2023,24/11/2023,Tin thường,"Đường Châu Văn Liêm, Phường 14, Quận 5, Hồ Chí Minh"
80 m²,,11 tỷ,3 tầng,,,,,,,,14/11/2023,24/11/2023,Tin thường,"Đường Nguyễn Trãi, Phường 3, Quận 5, Hồ Chí Minh"
72 m²,,12 tỷ,3 tầng,,,,,,,8 m,14/11/2023,24/11/2023,Tin thường,"572, Đường Nguyễn Trãi, Phường 8, Quận 5, Hồ Chí Minh"
47 m²,,"9,5 tỷ",4 tầng,7 phòng,6 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,,,,14/11/2023,24/11/2023,Tin thường,"Đường Trần Phú, Phường 7, Quận 5, Hồ Chí Minh"
72 m²,,10 tỷ,3 tầng,,,,,,,,14/11/2023,24/11/2023,Tin thường,"44, Đường Tân Hưng, Phường 12, Quận 5, Hồ Chí Minh"
72 m²,,10 tỷ,3 tầng,,,,,,,,14/11/2023,24/11/2023,Tin thường,"Đường Trần Bình Trọng, Phường 2, Quận 5, Hồ Chí Minh"
