Diện tích,Mặt tiền,Mức giá,Số tầng,Số phòng ngủ,Số toilet,Pháp lý,Nội thất,Hướng nhà,Hướng ban công,Đường vào,Ngày đăng,Ngày hết hạn,Loại tin,Địa chỉ
95 m²,20 m,"6,9 tỷ",5 tầng,,,Sổ đỏ/ Sổ hồng,,,,,03/11/2023,03/12/2023,Tin thường,"Đường Quách Điêu, Xã Vĩnh Lộc A, Bình Chánh, Hồ Chí Minh"
102 m²,,"6,8 tỷ",2 tầng,2 phòng,3 phòng,Đang chờ sổ,,,,,03/11/2023,13/11/2023,Tin thường,"Dự án Westgate, Đường Tân Túc, Thị trấn Tân Túc, Bình Chánh, Hồ Chí Minh"
180 m²,8 m,"7,9 tỷ",,2 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Cơ bản,Đông,Tây,6 m,03/11/2023,18/11/2023,Tin thường,"Dự án 13B Conic Phong Phú, Xã Phong Phú, Bình Chánh, Hồ Chí Minh"
75 m²,,10 tỷ,4 tầng,,,,,,,,01/11/2023,11/11/2023,Tin thường,"Dự án Lovera Premier, Đường Trịnh Quang Nghị, Xã Phong Phú, Bình Chánh, Hồ Chí Minh"
286 m²,,Thỏa thuận,,,,Sổ đỏ/ Sổ hồng,,,,25 m,28/10/2023,04/11/2023,Tin thường,"Xã Phạm Văn Hai, Bình Chánh, Hồ Chí Minh"
90 m²,5 m,"7,6 tỷ",3 tầng,5 phòng,6 phòng,Sổ đỏ/ Sổ hồng,Không nội thất,,,40 m,30/10/2023,09/11/2023,Tin thường,"Đường Quách Điêu, Xã Vĩnh Lộc A, Bình Chánh, Hồ Chí Minh"
100 m²,,"11,3 tỷ",3 tầng,,,,,,,,30/10/2023,09/11/2023,Tin thường,"Dự án Mizuki Park, Đường Nguyễn Văn Linh, Xã Bình Hưng, Bình Chánh, Hồ Chí Minh"
180 m²,,26 tỷ,3 tầng,,,,,,,,30/10/2023,09/11/2023,Tin thường,"Dự án Mizuki Park, Đường Nguyễn Văn Linh, Xã Bình Hưng, Bình Chánh, Hồ Chí Minh"
75 m²,,"10,5 tỷ",4 tầng,5 phòng,4 phòng,Sổ đỏ/ Sổ hồng,,Bắc,Bắc,60 m,26/10/2023,25/11/2023,Tin thường,"Dự án Lovera Premier, Đường Trịnh Quang Nghị, Xã Phong Phú, Bình Chánh, Hồ Chí Minh"
150 m²,8 m,Thỏa thuận,,,,Sổ đỏ/ Sổ hồng,,Đông - Nam,Đông - Nam,13 m,03/11/2023,13/11/2023,Tin thường,"Dự án Vinhomes Ocean Park Gia Lâm, Xã Dương Xá, Gia Lâm, Hà Nội"
111 m²,,"8,1 tỷ",2 tầng,,,,Không nội thất,Đông - Bắc,Tây - Nam,,28/10/2023,07/11/2023,Tin thường,"Dự án Westgate, Đường Nguyễn Văn Linh, Thị trấn Tân Túc, Bình Chánh, Hồ Chí Minh"
59 m²,,"13,5 tỷ",,1 phòng,1 phòng,Hợp đồng mua bán,Không nội thất,,,20 m,28/10/2023,07/11/2023,Tin thường,"Dự án Mizuki Park, Đường Nguyễn Văn Linh, Xã Bình Hưng, Bình Chánh, Hồ Chí Minh"
176 m²,8 m,"13,25 tỷ",2 tầng,3 phòng,2 phòng,Hợp đồng mua bán,Bàn giao thô,Tây - Nam,,20 m,27/10/2023,06/11/2023,Tin thường,"Dự án Westgate, Đường Tân Túc, Thị trấn Tân Túc, Bình Chánh, Hồ Chí Minh"
100 m²,,6 tỷ,2 tầng,,,,,Đông - Bắc,,,27/10/2023,06/11/2023,Tin thường,"Dự án Mizuki Park, Đường Nguyễn Văn Linh, Xã Bình Hưng, Bình Chánh, Hồ Chí Minh"
100 m²,5 m,"8,2 tỷ",3 tầng,4 phòng,4 phòng,Sổ đỏ/ Sổ hồng,Cơ bản,Đông - Nam,Đông - Nam,22 m,24/10/2023,23/11/2023,Tin thường,"Dự án Đại Phúc Green Villas, Đường Phạm Hùng, Xã Bình Hưng, Bình Chánh, Hồ Chí Minh"
180 m²,,"7,9 tỷ",,2 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Cơ bản,Nam,Bắc,,23/10/2023,07/11/2023,Tin thường,"Dự án Conic Garden, Đường Nguyễn Văn Linh, Xã Bình Hưng, Bình Chánh, Hồ Chí Minh"
750 m²,,65 tỷ,,,,Sổ đỏ/ Sổ hồng,Cơ bản,,,,16/10/2023,15/11/2023,Tin thường,"Dự án Dương Hồng Garden House, Đường Nguyễn Văn Linh, Xã Bình Hưng, Bình Chánh, Hồ Chí Minh"
100 m²,5 m,"10,9 tỷ",3 tầng,5 phòng,6 phòng,Đang chờ sổ,Không nội thất,Đông,Đông,10 m,06/10/2023,05/11/2023,Tin thường,"Dự án Mizuki Park, Đường Nguyễn Văn Linh, Xã Bình Hưng, Bình Chánh, Hồ Chí Minh"
100 m²,,"10,99 tỷ",3 tầng,5 phòng,5 phòng,Hợp đồng mua bán,,Đông - Bắc,Đông,20 m,06/10/2023,05/11/2023,Tin thường,"Dự án Mizuki Park, Đường Nguyễn Văn Linh, Xã Bình Hưng, Bình Chánh, Hồ Chí Minh"
105 m²,5 m,"18,5 tỷ",4 tầng,3 phòng,,Sổ đỏ/ Sổ hồng,Đầy đủ,Tây - Nam,,,25/10/2023,04/11/2023,Tin thường,"Dự án Dương Hồng Garden House, Đường Số 1, Xã Bình Hưng, Bình Chánh, Hồ Chí Minh"
