Diện tích,Mặt tiền,Mức giá,Số tầng,Số phòng ngủ,Số toilet,Pháp lý,Nội thất,Hướng nhà,Hướng ban công,Đường vào,Ngày đăng,Ngày hết hạn,Loại tin,Địa chỉ
"124,5 m²",,19 tỷ,1 tầng,,,,,,,,30/10/2023,14/11/2023,Tin thường,"Dự án Sunwah Pearl, Quận Bình Thạnh, Hồ Chí Minh"
"62,5 m²","7,5 m",6 tỷ,,,,Sổ đỏ/ Sổ hồng,,Nam,,8 m,31/10/2023,10/11/2023,Tin thường,"Dự án Richmond City, Phố Nguyễn Xí, Phường 26, Bình Thạnh, Hồ Chí Minh"
"239,5 m²",,Thỏa thuận,,,,,,,,,03/11/2023,13/11/2023,Tin thường,"Dự án Vinhomes Central Park, Đường Điện Biên Phủ, Phường 22, Bình Thạnh, Hồ Chí Minh"
240 m²,8 m,80 tỷ,,,,Sổ đỏ/ Sổ hồng,,,,,08/11/2023,23/11/2023,Tin thường,"Dự án Vinhomes Central Park, Đường Điện Biên Phủ, Phường 22, Bình Thạnh, Hồ Chí Minh"
300 m²,5 m,"3,6 tỷ",3 tầng,4 phòng,4 phòng,Đã có sổ hồng,,,,,01/11/2023,01/12/2023,Tin thường,"Dự án Cát Tường Western Pearl, Đường Trần Hưng Đạo, Phường 5, Vị Thanh, Hậu Giang"
124 m²,,19 tỷ,,,,,,,,,30/10/2023,14/11/2023,Tin thường,"Sunwah Pearl, 90, Đường Nguyễn Hữu Cảnh, Phường 22, Bình Thạnh, Hồ Chí Minh"
188 m²,,Thỏa thuận,,,,,,,,,03/11/2023,13/11/2023,Tin thường,"Dự án Vinhomes Central Park, Đường Điện Biên Phủ, Phường 22, Bình Thạnh, Hồ Chí Minh"
170 m²,,Thỏa thuận,,,,,,,,,03/11/2023,13/11/2023,Tin thường,"Dự án Vinhomes Central Park, Đường Điện Biên Phủ, Phường 22, Bình Thạnh, Hồ Chí Minh"
200 m²,,Thỏa thuận,,,,,,,,,03/11/2023,13/11/2023,Tin thường,"Dự án Vinhomes Central Park, Đường Điện Biên Phủ, Phường 22, Bình Thạnh, Hồ Chí Minh"
152 m²,"23,5 m","8,05 tỷ",4 tầng,5 phòng,5 phòng,Sổ đỏ/ Sổ hồng,Không nội thất,Đông - Nam,Đông - Nam,30 m,07/11/2023,22/11/2023,Tin thường,"Dự án EcoCity Premia, Thành phố Buôn Ma Thuột, Đắk Lắk"
140 m²,,Thỏa thuận,2 tầng,,,,,,,,03/11/2023,13/11/2023,Tin thường,"Dự án Vinhomes Central Park, Quận Bình Thạnh, Hồ Chí Minh"
170 m²,,35 tỷ,,,,,,,,,03/11/2023,13/11/2023,Tin thường,"Dự án Vinhomes Central Park, Đường Điện Biên Phủ, Phường 22, Bình Thạnh, Hồ Chí Minh"
200 m²,,200 triệu/m²,1 tầng,,,Sổ đỏ/ Sổ hồng,,,,,03/11/2023,18/11/2023,Tin thường,"Dự án Vinhomes Central Park, Đường Điện Biên Phủ, Phường 22, Bình Thạnh, Hồ Chí Minh"
179 m²,,33 tỷ,,,,Hợp đồng mua bán,,,,,02/11/2023,12/11/2023,Tin thường,"Dự án Sunwah Pearl, Đường Nguyễn Hữu Cảnh, Phường 22, Bình Thạnh, Hồ Chí Minh"
139 m²,10 m,"4,6 tỷ",2 tầng,3 phòng,,,Đầy đủ,,,12 m,01/11/2023,11/11/2023,Tin thường,"Soho Premier, 778, Đường Xô Viết Nghệ Tĩnh, Phường 25, Bình Thạnh, Hồ Chí Minh"
54 m²,,"6,59 tỷ",,,,Sổ đỏ/ Sổ hồng,,,,,31/10/2023,15/11/2023,Tin thường,"Dự án Miếu Nổi, Đường Vũ Huy Tấn, Phường 3, Bình Thạnh, Hồ Chí Minh"
132 m²,,30 tỷ,,,,Sổ đỏ/ Sổ hồng,,,,,27/10/2023,06/11/2023,Tin thường,"Dự án Vinhomes Central Park, Đường Điện Biên Phủ, Phường 22, Bình Thạnh, Hồ Chí Minh"
80 m²,,4 tỷ,,,,,,,,,25/10/2023,09/11/2023,Tin thường,"Dự án Richmond City, Phố Nguyễn Xí, Phường 26, Bình Thạnh, Hồ Chí Minh"
"124,5 m²",,"19,5 tỷ",1 tầng,,,,,,,,14/10/2023,29/10/2023,Tin thường,"Dự án Sunwah Pearl, Đường Nguyễn Hữu Cảnh, Phường 22, Bình Thạnh, Hồ Chí Minh"
"135,8 m²",8 m,54 tỷ,2 tầng,2 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,,,16 m,13/10/2023,23/10/2023,Tin thường,"Dự án Vinhomes Central Park, 720A Đường Điện Biên Phủ, Phường 22, Bình Thạnh, Hồ Chí Minh"
"144,6 m²",,55 tỷ,,,,Sổ đỏ/ Sổ hồng,,,,,13/10/2023,23/10/2023,Tin thường,"Dự án Vinhomes Central Park, Đường Điện Biên Phủ, Phường 22, Bình Thạnh, Hồ Chí Minh"
180 m²,,Thỏa thuận,,,,,,,,,05/10/2023,15/10/2023,Tin thường,"Dự án Vinhomes Central Park, Đường Điện Biên Phủ, Phường 22, Bình Thạnh, Hồ Chí Minh"
