Diện tích,Mặt tiền,Mức giá,Số tầng,Số phòng ngủ,Số toilet,Pháp lý,Nội thất,Hướng nhà,Hướng ban công,Đường vào,Ngày đăng,Ngày hết hạn,Loại tin,Địa chỉ
"68,2 m²","3,75 m","2,85 tỷ",2 tầng,2 phòng,1 phòng,Hợp đồng mua bán,Cơ bản,,,,05/11/2023,15/11/2023,Tin thường,"Dự án Dream Home Residence, Đường Lê Đức Thọ, Phường 13, Gò Vấp, Hồ Chí Minh"
88 m²,,"2,7 tỷ",,,,,,,,,04/11/2023,04/12/2023,Tin thường,"Dự án Dream Home, Đường Số 59, Phường 14, Gò Vấp, Hồ Chí Minh"
100 m²,,29 tỷ,,,,,,,,,04/11/2023,19/11/2023,Tin thường,"Dự án Cityland Garden Hills, Đường Phan Văn Trị, Phường 5, Gò Vấp, Hồ Chí Minh"
88 m²,,"3,1 tỷ",2 tầng,,,,,,,,28/10/2023,27/11/2023,Tin thường,"Dự án Dream Home, Đường Số 59, Phường 14, Gò Vấp, Hồ Chí Minh"
152 m²,"23,5 m","8,05 tỷ",4 tầng,5 phòng,5 phòng,Sổ đỏ/ Sổ hồng,Không nội thất,Đông - Nam,Đông - Nam,30 m,07/11/2023,22/11/2023,Tin thường,"Dự án EcoCity Premia, Thành phố Buôn Ma Thuột, Đắk Lắk"
123 m²,30 m,"34,76 tỷ",,,,Sổ đỏ/ Sổ hồng,,Đông - Nam,Đông - Nam,30 m,16/10/2023,15/11/2023,Tin thường,"7 Đường Trần Thị Nghỉ, Phường 7, Gò Vấp, Hồ Chí Minh"
100 m²,,"29,18 tỷ",5 tầng,,,Hợp đồng mua bán.,Cơ bản.,Bắc,Bắc,40 m,16/10/2023,15/11/2023,Tin thường,"Dự án CityLand Park Hills, Đường Phan Văn Trị, Phường 10, Gò Vấp, Hồ Chí Minh"
100 m²,,"23,5 tỷ",5 tầng,,,Hợp đồng mua bán.,,Bắc,Bắc,12 m,16/10/2023,15/11/2023,Tin thường,"Dự án CityLand Park Hills, Đường Phan Văn Trị, Phường 10, Gò Vấp, Hồ Chí Minh"
100 m²,,"29,18 tỷ",5 tầng,,,Hợp đồng mua bán.,Cơ bản.,Bắc,Bắc,40 m,16/10/2023,15/11/2023,Tin thường,"Dự án CityLand Park Hills, Đường Phan Văn Trị, Phường 10, Gò Vấp, Hồ Chí Minh"
100 m²,5 m,Thỏa thuận,5 tầng,,,Hợp đồng mua bán.,,Bắc,Bắc,40 m,16/10/2023,15/11/2023,Tin thường,"Dự án CityLand Park Hills, Đường Phan Văn Trị, Phường 10, Gò Vấp, Hồ Chí Minh"
