Diện tích,Mặt tiền,Mức giá,Số tầng,Số phòng ngủ,Số toilet,Pháp lý,Nội thất,Hướng nhà,Hướng ban công,Đường vào,Ngày đăng,Ngày hết hạn,Loại tin,Địa chỉ
140 m²,,13 tỷ,,,,Sổ đỏ/ Sổ hồng,,,,,25/11/2023,05/12/2023,Tin thường,"Dự án Saigon South Residences, Đường Nguyễn Hữu Thọ, Xã Phước Kiển, Nhà Bè, Hồ Chí Minh"
119 m²,,13 tỷ,,4 phòng,5 phòng,Hợp đồng mua bán,Không nội thất,Tây - Nam,Tây - Nam,,24/11/2023,04/12/2023,Tin thường,"Dự án Zeitgeist City, Đường Nguyễn Hữu Thọ, Xã Phước Kiển, Nhà Bè, Hồ Chí Minh"
250 m²,"12,5 m","26,5 tỷ",3 tầng,4 phòng,5 phòng,Hợp đồng mua bán,,,,30 m,24/11/2023,04/12/2023,Tin thường,"Dự án Zeitgeist City, Đường Nguyễn Hữu Thọ, Xã Phước Kiển, Nhà Bè, Hồ Chí Minh"
120 m²,6 m,"11,8 tỷ",4 tầng,5 phòng,4 phòng,Hợp đồng mua bán,Không nội thất,Đông,Đông,16 m,24/11/2023,04/12/2023,Tin thường,"Dự án Amelie Villa Phú Mỹ Hưng, Đường Huỳnh Tấn Phát, Xã Phú Xuân, Nhà Bè, Hồ Chí Minh"
52 m²,,"2,34 tỷ",,,,,,,,,05/11/2023,Tin thường,38390365,"Dự án Orchid Park, Đường Nguyễn Lương Bằng, Xã Phú Xuân, Nhà Bè, Hồ Chí Minh"
50 m²,,"2,34 tỷ",,,1 phòng,Sổ đỏ/ Sổ hồng,Cơ bản,,,,23/11/2023,03/12/2023,Tin thường,"Dự án Orchid Park, Đường Nguyễn Lương Bằng, Xã Phú Xuân, Nhà Bè, Hồ Chí Minh"
175 m²,,120 triệu/m²,,3 phòng,3 phòng,Sổ đỏ/ Sổ hồng,Thô,Tây - Nam,Đông - Bắc,,23/11/2023,03/12/2023,Tin thường,"Dự án Celesta Rise, Đường Nguyễn Hữu Thọ, Xã Phước Kiển, Nhà Bè, Hồ Chí Minh"
250 m²,,11 tỷ,,3 phòng,2 phòng,Sổ đỏ/ Sổ hồng,,Tây - Nam,Tây - Nam,,23/11/2023,03/12/2023,Tin thường,"Dự án Phú Hoàng Anh, Đường Nguyễn Hữu Thọ, Xã Phước Kiển, Nhà Bè, Hồ Chí Minh"
196 m²,7 m,30 tỷ,4 tầng,4 phòng,4 phòng,Hợp đồng mua bán,Không nội thất,,,25 m,22/11/2023,02/12/2023,Tin thường,"Dự án Celesta Avenue, Xã Phước Kiển, Nhà Bè, Hồ Chí Minh"
90 m²,,"1,1 tỷ",,,,Sổ đỏ/ Sổ hồng.,,Đông,,,24/11/2023,01/12/2023,Tin VIP Bạc,"Dự án Dragon Pearl, Đường Tỉnh Lộ 10, Xã Đức Hoà Đông, Đức Hòa, Long An"
162 m²,,19 tỷ,2 tầng,,,Sổ đỏ/ Sổ hồng,Không nội thất.,,,,21/11/2023,01/12/2023,Tin thường,"Dự án Celesta Rise, Đường Nguyễn Hữu Thọ, Xã Phước Kiển, Nhà Bè, Hồ Chí Minh"
156 m²,,Thỏa thuận,,3 phòng,4 phòng,Đang chờ sổ,Không nội thất,,,,21/11/2023,21/12/2023,Tin thường,"Dự án Celesta Rise, Đường Nguyễn Hữu Thọ, Xã Phước Kiển, Nhà Bè, Hồ Chí Minh"
135 m²,,12 tỷ,2 tầng,4 phòng,4 phòng,Hợp đồng mua bán,,,,30 m,21/11/2023,01/12/2023,Tin thường,"Dự án Saigon South Residences, Đường Nguyễn Hữu Thọ, Xã Phước Kiển, Nhà Bè, Hồ Chí Minh"
40 m²,,"4,5 tỷ",1 tầng,1 phòng,1 phòng,Hợp đồng mua bán,,,,,20/11/2023,30/11/2023,Tin thường,"Dự án Sunrise Riverside, Đường Nguyễn Hữu Thọ, Xã Phước Kiển, Nhà Bè, Hồ Chí Minh"
250 m²,,"12,5 tỷ",,3 phòng,2 phòng,Sổ đỏ/ Sổ hồng,,Tây - Nam,Tây - Nam,,20/11/2023,30/11/2023,Tin thường,"Dự án Phú Hoàng Anh, Đường Nguyễn Hữu Thọ, Xã Phước Kiển, Nhà Bè, Hồ Chí Minh"
