Diện tích,Mặt tiền,Mức giá,Số tầng,Số phòng ngủ,Số toilet,Pháp lý,Nội thất,Hướng nhà,Hướng ban công,Đường vào,Ngày đăng,Ngày hết hạn,Loại tin,Địa chỉ
160 m²,,23 tỷ,3 tầng,,,Sổ đỏ/ Sổ hồng,Cơ bản,,,,22/11/2023,29/11/2023,Tin VIP Bạc,"Dự án Lumiere Riverside, Đường Xa Lộ Hà Nội, Phường An Phú, Quận 2, Hồ Chí Minh"
"150,5 m²",,"45,5 tỷ",,,,Sổ đỏ/ Sổ hồng,,,,,21/11/2023,28/11/2023,Tin VIP Bạc,"Dự án An Phú New City, Phố Vũ Tông Phan, Phường An Phú, Quận 2, Hồ Chí Minh"
135 m²,,"5,7 tỷ",,,,Hợp đồng thuê dài hạn,Không nội thất,,,,17/11/2023,02/12/2023,Tin VIP Bạc,"Cantavil An Phú, Số 1 đường Song Hành Xa Lộ Hà Nội, Phường An Phú, Quận 2, Hồ Chí Minh"
100 m²,5 m,26 tỷ,4 tầng,4 phòng,6 phòng,Sổ đỏ/ Sổ hồng,,,,30 m,25/11/2023,05/12/2023,Tin thường,"Dự án An Phú An Khánh, Đường Nguyễn Quý Đức, Phường An Phú, Quận 2, Hồ Chí Minh"
240 m²,10 m,135 tỷ,7 tầng,,,Sổ đỏ/ Sổ hồng,Cơ bản,Tây - Nam,Tây - Nam,24 m,25/11/2023,05/12/2023,Tin thường,"Dự án Saigon Mystery Villas, Phố Trần Quý Kiên, Phường Bình Trưng Tây, Quận 2, Hồ Chí Minh"
114 m²,,68 tỷ,5 tầng,,,Hợp đồng mua bán,Đầy đủ,Đông - Nam,Đông - Nam,20 m,20/11/2023,30/11/2023,Tin thường,"Dự án Sari Town, Đường Mai Chí Thọ, Phường Thủ Thiêm, Quận 2, Hồ Chí Minh"
160 m²,,23 tỷ,,,,Sổ đỏ/ Sổ hồng,Cơ bản,,,,22/11/2023,02/12/2023,Tin thường,"Dự án Lumiere Riverside, Đường Xa Lộ Hà Nội, Phường An Phú, Quận 2, Hồ Chí Minh"
100 m²,,"15,3 tỷ",,,,Hợp đồng mua bán,,,,,24/11/2023,04/12/2023,Tin thường,"Dự án Lakeview City, Đường Song Hành, Phường An Phú, Quận 2, Hồ Chí Minh"
21 m²,,700 triệu,,,,Hợp đồng mua bán,,,,,17/10/2023,Tin thường,36818000,"Dự án La Astoria, Đường Nguyễn Duy Trinh, Phường Bình Trưng Tây, Quận 2, Hồ Chí Minh"
106 m²,,26 tỷ,,,,Hợp đồng mua bán,Không nội thất,Nam,Nam,,24/11/2023,04/12/2023,Tin thường,"Dự án Lumiere Riverside, Đường Song Hành, Phường An Phú, Quận 2, Hồ Chí Minh"
106 m²,,26 tỷ,,,,Hợp đồng mua bán,Không nội thất,Nam,Nam,,24/11/2023,04/12/2023,Tin thường,"Lumiere Riverside, số 40, Đường Song Hành, Phường An Phú, Quận 2, Hồ Chí Minh"
95 m²,5 m,"30,33 tỷ",,,,,,,,,31/10/2023,30/11/2023,Tin thường,"Dự án The Global City, Phường An Phú, Quận 2, Hồ Chí Minh"
336 m²,,90 tỷ,,,,,,,,,21/11/2023,06/12/2023,Tin thường,"Dự án The Metropole, Phường An Khánh, Quận 2, Hồ Chí Minh"
"77,42 m²",8 m,43 tỷ,3 tầng,5 phòng,4 phòng,Sổ đỏ/ Sổ hồng,,Đông - Nam,,45 m,13/11/2023,28/11/2023,Tin thường,"Dự án Đại Quang Minh, Đường Nguyễn Cơ Thạch, Phường An Lợi Đông, Quận 2, Hồ Chí Minh"
139 m²,,50 tỷ,,,,Sổ đỏ/ Sổ hồng,,Nam,,,21/11/2023,01/12/2023,Tin thường,"Dự án The Global City, Phường An Phú, Quận 2, Hồ Chí Minh."
218 m²,,Thỏa thuận,,,,,Không nội thất,,,,23/11/2023,03/12/2023,Tin thường,"Dự án The Metropole, Phường An Khánh, Quận 2, Hồ Chí Minh"
231 m²,,200 triệu/m²,4 tầng,5 phòng,,"Đã đầy đủ pháp lý,bàn giao nhà quý 2/2025",,,,,22/11/2023,02/12/2023,Tin thường,"Dự án Zeit River Thủ Thiêm , Đường Nguyễn Cơ Thạch, Phường An Khánh, Quận 2, Hồ Chí Minh"
"170,4 m²",30 m,145 tỷ,5 tầng,6 phòng,6 phòng,,,Đông - Bắc,,45 m,13/11/2023,28/11/2023,Tin thường,"Dự án Đại Quang Minh, Đường Nguyễn Cơ Thạch, Phường An Lợi Đông, Quận 2, Hồ Chí Minh"
45 m²,,"4,7 tỷ",,,,Hợp đồng mua bán,Cơ bản.,,,,23/11/2023,03/12/2023,Tin thường,"Dự án The Sun Avenue, 28 Đường Mai Chí Thọ, Phường An Phú, Quận 2, Hồ Chí Minh."
55 m²,,"2,58 tỷ",,,,,,Đông - Bắc,,20 m,22/11/2023,02/12/2023,Tin thường,"Dự án Thủ Thiêm Green House, Đường Võ Chí Công, Phường Thạnh Mỹ Lợi, Quận 2, Hồ Chí Minh"
160 m²,,23 tỷ,3 tầng,,,Sổ đỏ/ Sổ hồng,Cơ bản,,,,22/11/2023,02/12/2023,Tin thường,"Dự án Lumiere Riverside, Đường Xa Lộ Hà Nội, Phường An Phú, Quận 2, Hồ Chí Minh"
231 m²,,200 triệu/m²,4 tầng,5 phòng,,"Đã đầy đủ pháp lý,bàn giao nhà quý 2/2025",,,,,22/11/2023,02/12/2023,Tin thường,"Dự án Zeit River Thủ Thiêm , Đường Nguyễn Cơ Thạch, Phường An Khánh, Quận 2, Hồ Chí Minh"
