Diện tích,Mặt tiền,Mức giá,Số tầng,Số phòng ngủ,Số toilet,Pháp lý,Nội thất,Hướng nhà,Hướng ban công,Đường vào,Ngày đăng,Ngày hết hạn,Loại tin,Địa chỉ
140 m²,,51 tỷ,8 tầng,7 phòng,8 phòng,Sổ đỏ/ Sổ hồng,,,,,22/11/2023,02/12/2023,Tin thường,"Đường Bạch Đằng, Phường 2, Tân Bình, Hồ Chí Minh"
32 m²,,"2,65 tỷ",,,1 phòng,Hợp đồng mua bán.,Đầy đủ.,Tây,,,22/11/2023,02/12/2023,Tin thường,"Botanica Premier, 108, Đường Hồng Hà, Phường 2, Tân Bình, Hồ Chí Minh"
81 m²,,7 tỷ,,2 phòng,2 phòng,,,,,,14/11/2023,29/11/2023,Tin thường,"Dự án Bàu Cát II, Đường Ni Sư Huỳnh Liên, Phường 10, Tân Bình, Hồ Chí Minh"
72 m²,,3 tỷ,1 tầng,,,Hợp đồng mua bán,Không nội thất,Tây - Nam,,,13/11/2023,13/12/2023,Tin thường,"Chung cư Phúc Yên, 102, Đường Phan Huy Ích, Phường 15, Tân Bình, Hồ Chí Minh"
110 m²,5 m,"4,5 tỷ",3 tầng,4 phòng,4 phòng,Đã có sổ hồng,,,,,01/11/2023,01/12/2023,Tin thường,"Dự án Cát Tường Western Pearl, Đường Trần Hưng Đạo, Phường 5, Vị Thanh, Hậu Giang"
"72,07 m²",7 m,3 tỷ,1 tầng,,,Hợp đồng mua bán.,,Tây - Nam,,7 m,13/11/2023,13/12/2023,Tin thường,"Chung cư Phúc Yên, 102, Đường Phan Huy Ích, Phường 15, Tân Bình, Hồ Chí Minh"
44 m²,4 m,4 tỷ,,,1 phòng,Đang chờ sổ,Cơ bản,,,,07/11/2023,07/12/2023,Tin thường,"Dự án The Botanica, Đường Phổ Quang, Phường 2, Tân Bình, Hồ Chí Minh"
190 m²,,"10,5 tỷ",,3 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Cơ bản,Đông,Đông,,11/11/2023,21/11/2023,Tin thường,"Dự án Carillon Apartment, Đường Hoàng Hoa Thám, Phường 13, Tân Bình, Hồ Chí Minh"
115 m²,,7 tỷ,,2 phòng,2 phòng,Hợp đồng mua bán,Cơ bản,,,25 m,27/10/2023,06/11/2023,Tin thường,"Dự án Carillon 3, Đường Hoàng Hoa Thám, Phường 13, Tân Bình, Hồ Chí Minh"
128 m²,,"12,5 tỷ",4 tầng,6 phòng,6 phòng,Hợp đồng mua bán.,Đầy đủ.,,,,08/11/2023,Tin thường,38505300,"Dự án Grand World Phú Quốc, Xã Gành Dầu, Phú Quốc, Kiên Giang"
130 m²,,"8,3 tỷ",2 tầng,2 phòng,2 phòng,Hợp đồng mua bán,Đầy đủ,,,,27/10/2023,06/11/2023,Tin thường,"Dự án Sky Center, Đường Phổ Quang, Phường 2, Tân Bình, Hồ Chí Minh."
186 m²,,11 tỷ,2 tầng,3 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,,,,23/10/2023,07/11/2023,Tin thường,"Dự án Carillon Apartment, Đường Hoàng Hoa Thám, Phường 13, Tân Bình, Hồ Chí Minh"
186 m²,,11 tỷ,,,,,,,,,23/10/2023,02/11/2023,Tin thường,"Carillon Apartment, 171, Đường Hoàng Hoa Thám, Phường 13, Tân Bình, Hồ Chí Minh"
130 m²,,"8,3 tỷ",2 tầng,2 phòng,2 phòng,Hợp đồng mua bán,Đầy đủ,,,,17/10/2023,27/10/2023,Tin thường,"Dự án Sky Center, Đường Phổ Quang, Phường 2, Tân Bình, Hồ Chí Minh."
186 m²,,"10,5 tỷ",2 tầng,2 phòng,1 phòng,Sổ hồng,Cơ bản,,,,16/10/2023,26/10/2023,Tin thường,"Carillon Apartment, 171A, Đường Hoàng Hoa Thám, Phường 13, Tân Bình, Hồ Chí Minh"
118 m²,,"7,15 tỷ",2 tầng,2 phòng,1 phòng,,Cơ bản,,,,05/10/2023,15/10/2023,Tin thường,"Carillon 3, 189, Đường Hoàng Hoa Thám, Phường 13, Tân Bình, Hồ Chí Minh"
130 m²,,9 tỷ,2 tầng,2 phòng,2 phòng,Hợp đồng mua bán,Đầy đủ,,,,23/09/2023,03/10/2023,Tin thường,"Dự án Sky Center, Đường Phổ Quang, Phường 2, Tân Bình, Hồ Chí Minh."
81 m²,,"7,5 tỷ",,2 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Cơ bản,,,,12/09/2023,22/09/2023,Tin thường,"Dự án Bàu Cát II, Đường Ni Sư Huỳnh Liên, Phường 10, Tân Bình, Hồ Chí Minh"
130 m²,,11 tỷ,,,,,,,,,12/09/2023,22/09/2023,Tin thường,"Dự án Sky Center, 10 Đường Trà Khúc, Phường 2, Tân Bình, Hồ Chí Minh"
130 m²,,9 tỷ,,,2 phòng,Hợp đồng mua bán,Đầy đủ,Nam,Nam,,23/08/2023,02/09/2023,Tin thường,"Sky Center, 10, Đường Phổ Quang, Phường 2, Tân Bình, Hồ Chí Minh"
80 m²,8 m,"3,65 tỷ",,,,,,Tây - Nam,,,25/07/2023,04/08/2023,Tin thường,"Chung cư Phúc Yên, 102, Đường Phan Huy Ích, Phường 15, Tân Bình, Hồ Chí Minh"
46 m²,,"8,2 tỷ",,,,,,,,,12/07/2023,22/07/2023,Tin thường,"Dự án The Botanica, Đường Phổ Quang, Phường 2, Tân Bình, Hồ Chí Minh"
