Diện tích,Mặt tiền,Mức giá,Số tầng,Số phòng ngủ,Số toilet,Pháp lý,Nội thất,Hướng nhà,Hướng ban công,Đường vào,Ngày đăng,Ngày hết hạn,Loại tin,Địa chỉ
375 m²,"14,6 m","28,3 tỷ",,,2 phòng,Đang chờ sổ,Không nội thất,Bắc,Bắc,62 m,07/11/2023,07/12/2023,Tin thường,"Dự án Celadon City, Đường N1, Phường Sơn Kỳ, Tân Phú, Hồ Chí Minh"
524 m²,,42 tỷ,,,,,,,,,24/11/2023,04/12/2023,Tin thường,"Dự án Celadon City, Đường N1, Phường Sơn Kỳ, Tân Phú, Hồ Chí Minh"
215 m²,,Thỏa thuận,1 tầng,3 phòng,2 phòng,Hợp đồng mua bán.,"Bàn giao hoàn thiện mặt ngoài, full thiết bị vệ sinh, sàn gỗ phòng ngủ, sàn sạch phòng khách...",Nam,Bắc,,23/11/2023,08/12/2023,Tin thường,"Dự án Celadon City, Đường N1, Phường Sơn Kỳ, Tân Phú, Hồ Chí Minh"
245 m²,,"18,6 tỷ",,,,Hợp đồng mua bán.,,,,,22/11/2023,02/12/2023,Tin thường,"Dự án Celadon City, Đường N1, Phường Sơn Kỳ, Tân Phú, Hồ Chí Minh"
110 m²,5 m,"4,5 tỷ",3 tầng,4 phòng,4 phòng,Đã có sổ hồng,,,,,01/11/2023,01/12/2023,Tin thường,"Dự án Cát Tường Western Pearl, Đường Trần Hưng Đạo, Phường 5, Vị Thanh, Hậu Giang"
112 m²,6 m,"6,5 tỷ",2 tầng,2 phòng,2 phòng,Hợp đồng mua bán,Đầy đủ,,,8 m,22/11/2023,07/12/2023,Tin thường,"Dự án Celadon City, Đường Hương Lộ 3, Phường Sơn Kỳ, Tân Phú, Hồ Chí Minh"
100 m²,,"4,2 tỷ",,,2 phòng,Đã có sổ,Cơ bản,Đông - Nam,,,20/11/2023,30/11/2023,Tin thường,"Dự án KCN Tân Bình, Đường Tây Thạnh, Phường Tây Thạnh, Tân Phú, Hồ Chí Minh"
554 m²,16 m,Thỏa thuận,2 tầng,,,Sổ hồng,Bàn giao thô - hoàn thiện mặt ngoài.,Bắc,,61 m,21/11/2023,01/12/2023,Tin thường,"Dự án Celadon City, Đường N1, Phường Sơn Kỳ, Tân Phú, Hồ Chí Minh"
245 m²,"8,3 m","18,6 tỷ",,,2 phòng,Hợp đồng mua bán.,,,,62 m,19/11/2023,29/11/2023,Tin thường,"Dự án Celadon City, Đường N1, Phường Sơn Kỳ, Tân Phú, Hồ Chí Minh"
128 m²,,"12,5 tỷ",4 tầng,6 phòng,6 phòng,Hợp đồng mua bán.,Đầy đủ.,,,,08/11/2023,Tin thường,38505300,"Dự án Grand World Phú Quốc, Xã Gành Dầu, Phú Quốc, Kiên Giang"
555 m²,15 m,Thỏa thuận,2 tầng,5 phòng,5 phòng,Hợp đồng mua bán,Đầy đủ,Nam,,61 m,19/11/2023,04/12/2023,Tin thường,"Dự án Celadon City, Đường N1, Phường Sơn Kỳ, Tân Phú, Hồ Chí Minh"
796 m²,,14 tỷ,,,,,,,,,18/11/2023,28/11/2023,Tin thường,"Dự án An Bình, Đường Lũy Bán Bích, Phường Phú Thạnh, Tân Phú, Hồ Chí Minh"
180 m²,,"7,2 tỷ",2 tầng,3 phòng,3 phòng,Đã có xổ,Kg có,Đông - Bắc,,,13/11/2023,13/12/2023,Tin thường,"Dự án TaniBuilding Sơn Kỳ 1, Đường DC13, Phường Sơn Kỳ, Tân Phú, Hồ Chí Minh"
353 m²,,36 tỷ,,,,,,Bắc,,,13/11/2023,28/11/2023,Tin thường,"Dự án Celadon City, Đường N1, Phường Sơn Kỳ, Tân Phú, Hồ Chí Minh"
275 m²,,21 tỷ,,,,,,,,,10/11/2023,25/11/2023,Tin thường,"Dự án Celadon City, Đường N1, Phường Sơn Kỳ, Tân Phú, Hồ Chí Minh"
58 m²,,"5,2 tỷ",,1 phòng,1 phòng,Sổ đỏ/ Sổ hồng,Cơ bản,,,,11/11/2023,21/11/2023,Tin thường,"Dự án Carillon 7, Đường Lương Minh Nguyệt, Phường Tân Thới Hòa, Tân Phú, Hồ Chí Minh"
201 m²,,"20,4 tỷ",,1 phòng,1 phòng,Hợp đồng mua bán,,,,,10/11/2023,20/11/2023,Tin thường,"Dự án Celadon City, Đường N1, Phường Sơn Kỳ, Tân Phú, Hồ Chí Minh"
554 m²,,56 tỷ,1 tầng,,,Hợp đồng mua bán,,Bắc,Bắc,62 m,08/11/2023,23/11/2023,Tin thường,"Dự án Celadon City, Đường N1, Phường Sơn Kỳ, Tân Phú, Hồ Chí Minh"
554 m²,"16,58 m","51,8 tỷ",,,2 phòng,Sổ đỏ/ Sổ hồng,,Bắc,Bắc,62 m,07/11/2023,17/11/2023,Tin thường,"Dự án Celadon City, Đường N1, Phường Sơn Kỳ, Tân Phú, Hồ Chí Minh."
139 m²,,"8,5 tỷ",,,,Hợp đồng mua bán,,,,,06/11/2023,21/11/2023,Tin thường,"Dự án RichStar, Đường Hòa Bình, Phường Hiệp Tân, Tân Phú, Hồ Chí Minh"
242 m²,,"19,5 tỷ",,,,,,,,,06/11/2023,16/11/2023,Tin thường,"Dự án Celadon City, Đường N1, Phường Sơn Kỳ, Tân Phú, Hồ Chí Minh"
120 m²,,6 tỷ,,1 phòng,2 phòng,Hợp đồng mua bán,Hoàn thiện cơ bản.,Đông,Nam,,04/11/2023,14/11/2023,Tin thường,"Dự án Melody Residences 16 Âu Cơ, Đường Âu Cơ, Phường Tân Sơn Nhì, Tân Phú, Hồ Chí Minh"
