Diện tích,Mặt tiền,Mức giá,Số tầng,Số phòng ngủ,Số toilet,Pháp lý,Nội thất,Hướng nhà,Hướng ban công,Đường vào,Ngày đăng,Ngày hết hạn,Loại tin,Địa chỉ
140 m²,,24 tỷ,4 tầng,,,Sổ đỏ/ Sổ hồng,,Tây - Nam,,13 m,23/11/2023,03/12/2023,Tin VIP Bạc,"Dự án KĐT Vạn Phúc City, Đường Quốc Lộ 13, Phường Hiệp Bình Phước, Thủ Đức, Hồ Chí Minh"
140 m²,7 m,36 tỷ,6 tầng,5 phòng,6 phòng,,,,,35 m,24/11/2023,04/12/2023,Tin thường,"Dự án KĐT Vạn Phúc City, Đường Quốc Lộ 13, Phường Hiệp Bình Phước, Thủ Đức, Hồ Chí Minh"
100 m²,,"2,7 tỷ",,,,,,,,,24/11/2023,04/12/2023,Tin thường,"Dự án Sài Gòn Metro Park, Phường Trường Thọ, Thủ Đức, Hồ Chí Minh"
140 m²,7 m,36 tỷ,6 tầng,5 phòng,6 phòng,,,,,35 m,24/11/2023,04/12/2023,Tin thường,"Dự án KĐT Vạn Phúc City, Đường Quốc Lộ 13, Phường Hiệp Bình Phước, Thủ Đức, Hồ Chí Minh"
100 m²,,"21,9 tỷ",5 tầng,5 phòng,5 phòng,,,,,,23/11/2023,03/12/2023,Tin thường,"Dự án KĐT Vạn Phúc City, Đường Quốc Lộ 13, Phường Hiệp Bình Phước, Thủ Đức, Hồ Chí Minh"
231 m²,,200 triệu/m²,4 tầng,5 phòng,,"Đã đầy đủ pháp lý,bàn giao nhà quý 2/2025",,,,,22/11/2023,02/12/2023,Tin thường,"Dự án Zeit River Thủ Thiêm , Đường Nguyễn Cơ Thạch, Phường An Khánh, Quận 2, Hồ Chí Minh"
140 m²,,33 tỷ,,,,,,,,,21/11/2023,01/12/2023,Tin thường,"Dự án KĐT Vạn Phúc City, Đường Quốc Lộ 13, Phường Hiệp Bình Phước, Thủ Đức, Hồ Chí Minh"
90 m²,,"3,7 tỷ",,,,,,,,,21/11/2023,01/12/2023,Tin thường,"Dự án Opal Riverside, Đường Phạm Văn Đồng, Phường Hiệp Bình Chánh, Thủ Đức, Hồ Chí Minh"
110 m²,14 m,"15,5 tỷ",4 tầng,5 phòng,6 phòng,Sổ đỏ/ Sổ hồng,,Đông - Bắc,Đông - Bắc,16 m,21/11/2023,21/12/2023,Tin thường,"Dự án KĐT Vạn Phúc City, Đường Số 4, Phường Hiệp Bình Phước, Thủ Đức, Hồ Chí Minh"
200 m²,,Thỏa thuận,3 tầng,3 phòng,4 phòng,,,,,,20/11/2023,30/11/2023,Tin thường,"Dự án Fiato Premier, Đường Tô Ngọc Vân, Phường Tam Phú, Thủ Đức, Hồ Chí Minh"
126 m²,7 m,"22,2 tỷ",5 tầng,,,Hợp đồng mua bán.,,,,,25/10/2023,Tin thường,35462227,"Dự án Vinhomes Grand Park, Phường Long Thạnh Mỹ, Quận 9, Hồ Chí Minh"
112 m²,,25 tỷ,,,,Sổ đỏ/ Sổ hồng,Đầy đủ,,,,17/11/2023,27/11/2023,Tin thường,"Dự án KĐT Vạn Phúc City, Thủ Đức, Hồ Chí Minh"
57 m²,,"2,7 tỷ",,2 phòng,2 phòng,Sổ đỏ/ Sổ hồng,,,,,19/11/2023,29/11/2023,Tin thường,"Dự án Sài Gòn Metro Park, Phường Trường Thọ, Thủ Đức, Hồ Chí Minh"
154 m²,7 m,"28,5 tỷ",4 tầng,8 phòng,,Hợp đồng mua bán,Không nội thất,,,30 m,17/11/2023,27/11/2023,Tin thường,"Dự án KĐT Vạn Phúc City, Đường Quốc Lộ 13, Phường Hiệp Bình Phước, Thủ Đức, Hồ Chí Minh."
245 m²,10 m,56 tỷ,6 tầng,4 phòng,8 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,,,35 m,16/11/2023,26/11/2023,Tin thường,"Dự án KĐT Vạn Phúc City, Đường Quốc Lộ 13, Phường Hiệp Bình Phước, Thủ Đức, Hồ Chí Minh"
140 m²,7 m,"25,5 tỷ",5 tầng,,,Hợp đồng mua bán,Đầy đủ,Tây - Nam,Tây - Nam,20 m,15/11/2023,25/11/2023,Tin thường,"Dự án KĐT Vạn Phúc City, Đường Quốc Lộ 13, Phường Hiệp Bình Phước, Thủ Đức, Hồ Chí Minh"
60 m²,,"3,6 tỷ",,,,,Thương lượng,,,,28/10/2023,27/11/2023,Tin thường,"Dự án Opal Riverside, Đường Phạm Văn Đồng, Phường Hiệp Bình Chánh, Thủ Đức, Hồ Chí Minh"
57 m²,,"2,7 tỷ",,,,Sổ đỏ/ Sổ hồng,Cơ bản,,,,09/11/2023,24/11/2023,Tin thường,"Dự án Sài Gòn Metro Park, Đường 1, Phường Trường Thọ, Thủ Đức, Hồ Chí Minh"
147 m²,7 m,"29,2 tỷ",5 tầng,6 phòng,7 phòng,Sổ hồng,Đầy đủ,Đông - Nam,Đông - Nam,20 m,13/11/2023,23/11/2023,Tin thường,"Dự án KĐT Vạn Phúc City, Đường Số 7, Phường Hiệp Bình Phước, Thủ Đức, Hồ Chí Minh"
57 m²,,"2,7 tỷ",2 tầng,2 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Cơ bản,,,,13/11/2023,23/11/2023,Tin thường,"Dự án Sài Gòn Metro Park, Phường Trường Thọ, Thủ Đức, Hồ Chí Minh"
180 m²,,Thỏa thuận,2 tầng,,,,,,,,12/11/2023,22/11/2023,Tin thường,"Dự án Opal Garden, Đường 20, Phường Hiệp Bình Chánh, Thủ Đức, Hồ Chí Minh"
100 m²,5 m,"21,5 tỷ",5 tầng,5 phòng,6 phòng,Sổ đỏ/ Sổ hồng,,,,,11/11/2023,18/11/2023,Tin thường,"Dự án KĐT Vạn Phúc City, Đường Quốc Lộ 13, Phường Hiệp Bình Phước, Thủ Đức, Hồ Chí Minh"
140 m²,13 m,"28,8 tỷ",5 tầng,5 phòng,6 phòng,Sổ đỏ/ Sổ hồng,Không nội thất,,,,11/11/2023,21/11/2023,Tin thường,"Dự án Khu đô thị Vạn Phúc City, Thành phố Thủ Đức, Hồ Chí Minh"
