Diện tích,Mức giá,Số phòng ngủ,Số toilet,Pháp lý,Nội thất,Hướng nhà,Hướng ban công,Ngày đăng,Ngày hết hạn,Loại tin,Địa chỉ
65 m²,"3,25 tỷ",2 phòng,2 phòng,Hợp đồng mua bán,Đầy đủ,Đông,Tây - Bắc,17/10/2023,16/11/2023,Tin thường,"Dự án Sài Gòn Mia, Đường Số 9A, Xã Bình Hưng, Bình Chánh, Hồ Chí Minh"
75 m²,"3,15 tỷ",2 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,,Tây,14/10/2023,13/11/2023,Tin thường,"Dự án Mizuki Park, Đường Nguyễn Văn Linh, Xã Bình Hưng, Bình Chánh, Hồ Chí Minh"
60 m²,"2,1 tỷ",2 phòng,2 phòng,Hợp đồng mua bán,Đầy đủ.,Đông,Nam,13/10/2023,12/11/2023,Tin thường,"Dự án Westgate, Đường Nguyễn Văn Linh, Thị trấn Tân Túc, Bình Chánh, Hồ Chí Minh"
59 m²,"2,05 tỷ",2 phòng,2 phòng,,,,,31/10/2023,15/11/2023,Tin thường,"Dự án Westgate, Đường Tân Túc, Thị trấn Tân Túc, Bình Chánh, Hồ Chí Minh"
85 m²,"3,3 tỷ",3 phòng,2 phòng,Đang chờ sổ,Đầy đủ,Bắc,Nam,13/10/2023,12/11/2023,Tin thường,"Dự án Westgate, Đường Tân Túc, Thị trấn Tân Túc, Bình Chánh, Hồ Chí Minh"
72 m²,"3,3 tỷ",2 phòng,2 phòng,,,,,17/10/2023,Tin thường,38111019,"Dự án Vung Tau Centre Point, Đường Nguyễn Hữu Cảnh, Phường Nguyễn An Ninh, Vũng Tàu, Bà Rịa Vũng Tàu"
60 m²,"2,1 tỷ",2 phòng,2 phòng,Đang chờ sổ,Đầy đủ,Tây - Bắc,Đông - Nam,13/10/2023,12/11/2023,Tin thường,"Dự án Westgate, Đường Nguyễn Văn Linh, Thị trấn Tân Túc, Bình Chánh, Hồ Chí Minh"
83 m²,"4,4 tỷ",3 phòng,2 phòng,Hợp đồng mua bán,,Đông,,12/10/2023,11/11/2023,Tin thường,"Dự án Sài Gòn Mia, Đường Số 9A, Xã Bình Hưng, Bình Chánh, Hồ Chí Minh"
76 m²,"1,95 tỷ",2 phòng,2 phòng,,,,,10/10/2023,09/11/2023,Tin thường,"Dự án Happy City, Đường Nguyễn Văn Linh, Xã Bình Hưng, Bình Chánh, Hồ Chí Minh"
"100,5 m²","3,15 tỷ",3 phòng,2 phòng,,,,,10/10/2023,09/11/2023,Tin thường,"Dự án Happy City, Đường Nguyễn Văn Linh, Xã Bình Hưng, Bình Chánh, Hồ Chí Minh"
90 m²,Thỏa thuận,3 phòng,2 phòng,,,,,24/10/2023,03/11/2023,Tin thường,"Dự án The Privia, Đường An Dương Vương, Phường An Lạc, Bình Tân, Hồ Chí Minh"
83 m²,"2,21 tỷ",3 phòng,2 phòng,,,,,09/10/2023,08/11/2023,Tin thường,"Dự án Lovera Vista, Đường Số 19, Xã Phong Phú, Bình Chánh, Hồ Chí Minh"
65 m²,"1,9 tỷ",2 phòng,2 phòng,Đã có sổ,Cơ bản,,,07/10/2023,06/11/2023,Tin thường,"Dự án Lovera Vista, Đường Số 19, Xã Phong Phú, Bình Chánh, Hồ Chí Minh"
67 m²,3 tỷ,2 phòng,2 phòng,Hợp đồng mua bán,,Đông,Tây,07/10/2023,06/11/2023,Tin thường,"Dự án Mizuki Park, Đường Nguyễn Văn Linh, Xã Bình Hưng, Bình Chánh, Hồ Chí Minh"
40 m²,"1,01 tỷ",1 phòng,1 phòng,Đang chờ sổ,Cơ bản,,,06/10/2023,05/11/2023,Tin thường,"Dự án EhomeS Nam Sài Gòn, Đường Nguyễn Văn Linh, Xã Bình Hưng, Bình Chánh, Hồ Chí Minh"
