Diện tích,Mức giá,Số phòng ngủ,Số toilet,Pháp lý,Nội thất,Hướng nhà,Hướng ban công,Ngày đăng,Ngày hết hạn,Loại tin,Địa chỉ
50 m²,"3,1 tỷ",1 phòng,1 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,Tây - Nam,Đông - Bắc,14/10/2023,29/10/2023,Tin VIP Bạc,"Dự án Vinhomes Central Park, Đường Điện Biên Phủ, Phường 22, Bình Thạnh, Hồ Chí Minh"
100 m²,"7,8 tỷ",3 phòng,2 phòng,Sổ đỏ/ Sổ hồng,,Đông - Bắc,Tây - Nam,21/10/2023,05/11/2023,Tin VIP Bạc,"Dự án Vinhomes Central Park, Đường Điện Biên Phủ, Phường 22, Bình Thạnh, Hồ Chí Minh"
90 m²,11 tỷ,2 phòng,2 phòng,Hợp đồng mua bán,Đầy đủ,Tây - Bắc,Đông - Nam,25/10/2023,01/11/2023,Tin VIP Bạc,"Dự án Vinhomes Central Park, Đường Điện Biên Phủ, Phường 22, Bình Thạnh, Hồ Chí Minh"
69 m²,"3,9 tỷ",2 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,Đông - Nam,,16/10/2023,31/10/2023,Tin thường,"Dự án SGC Nguyễn Cửu Vân, Đường Nguyễn Cửu Vân, Phường 17, Bình Thạnh, Hồ Chí Minh"
138 m²,"14,5 tỷ",3 phòng,2 phòng,Hợp đồng mua bán,,Đông - Bắc,,30/09/2023,30/10/2023,Tin thường,"Dự án Sunwah Pearl, Đường Nguyễn Hữu Cảnh, Phường 22, Bình Thạnh, Hồ Chí Minh."
100 m²,"11,3 tỷ",3 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,,,25/10/2023,01/11/2023,Tin VIP Bạc,"Đường Điện Biên Phủ, Phường 22, Bình Thạnh, Hồ Chí Minh"
69 m²,"3,46 tỷ",2 phòng,2 phòng,Hợp đồng mua bán,Cơ bản,,,24/10/2023,08/11/2023,Tin thường,"Dự án The Privia, Đường An Dương Vương, Phường An Lạc, Bình Tân, Hồ Chí Minh"
135 m²,"7,2 tỷ",3 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,Tây - Bắc,Tây - Nam,25/10/2023,01/11/2023,Tin VIP Bạc,"Dự án Saigon Pearl, Đường Nguyễn Hữu Cảnh, Phường 22, Bình Thạnh, Hồ Chí Minh"
88 m²,"7,2 tỷ",2 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,,,25/10/2023,01/11/2023,Tin VIP Bạc,"Dự án Vinhomes Central Park, Đường Điện Biên Phủ, Phường 22, Bình Thạnh, Hồ Chí Minh"
"206,2 m²",29 tỷ,3 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,,,24/10/2023,31/10/2023,Tin VIP Bạc,"Dự án Saigon Pearl, Đường Nguyễn Hữu Cảnh, Phường 22, Bình Thạnh, Hồ Chí Minh"
50 m²,3 tỷ,1 phòng,1 phòng,,,,,23/10/2023,07/11/2023,Tin VIP Bạc,"Dự án Vinhomes Central Park, Quận Bình Thạnh, Hồ Chí Minh"
"83,8 m²","7,7 tỷ",2 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,,,25/10/2023,24/11/2023,Tin thường,"Dự án Vinhomes Central Park, Đường Điện Biên Phủ, Phường 22, Bình Thạnh, Hồ Chí Minh"
88 m²,"6,9 tỷ",2 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Cơ bản,,,24/10/2023,31/10/2023,Tin VIP Bạc,"Dự án Vinhomes Central Park, Điện Biên Phủ, Phường 22, Quận Bình Thạnh, Hồ Chí Minh"
57 m²,"2,3 tỷ",1 phòng,1 phòng,,"Full nội thất, toàn bộ thiết bị cao cấp.",,,24/10/2023,31/10/2023,Tin VIP Bạc,"76, Đường Ngô Tất Tố, Phường 19, Bình Thạnh, Hồ Chí Minh"
90 m²,5 tỷ,2 phòng,2 phòng,Sổ đỏ/ Sổ hồng.,Tặng full nội thất cao cấp thương hiệu Đức.,Tây - Bắc,Tây - Nam,17/10/2023,01/11/2023,Tin VIP Bạc,"Dự án Saigon Pearl, Đường Nguyễn Hữu Cảnh, Phường 22, Bình Thạnh, Hồ Chí Minh"
106 m²,"5,7 tỷ",3 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,,Đông,24/10/2023,31/10/2023,Tin VIP Bạc,"Dự án The Manor - TP. Hồ Chí Minh, Quận Bình Thạnh, Hồ Chí Minh"
120 m²,"5,8 tỷ",3 phòng,2 phòng,,Nội thất cao cấp nhập từ Korea.,,,23/10/2023,30/10/2023,Tin VIP Bạc,"Dự án Cantavil Hoàn Cầu, Đường Điện Biên Phủ, Phường 22, Bình Thạnh, Hồ Chí Minh"
90 m²,5 tỷ,2 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,,,18/10/2023,02/11/2023,Tin VIP Bạc,"Dự án Saigon Pearl, Đường Nguyễn Hữu Cảnh, Phường 22, Bình Thạnh, Hồ Chí Minh."
83 m²,"5,1 tỷ",2 phòng,2 phòng,,,,,22/10/2023,06/11/2023,Tin VIP Bạc,"Dự án Vinhomes Central Park, Đường Điện Biên Phủ, Phường 22, Bình Thạnh, Hồ Chí Minh"
120 m²,"8,1 tỷ",3 phòng,2 phòng,,,,,22/10/2023,06/11/2023,Tin VIP Bạc,"Dự án Vinhomes Central Park, Đường Điện Biên Phủ, Phường 22, Bình Thạnh, Hồ Chí Minh"
101 m²,5 tỷ,2 phòng,2 phòng,Đã có sổ hồng,Full nội thất cao cấp,,,22/10/2023,01/11/2023,Tin VIP Bạc,"The Manor HCM, 91, Đường Nguyễn Hữu Cảnh, Phường 22, Bình Thạnh, Hồ Chí Minh"
76 m²,"5,15 tỷ",2 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,,,21/10/2023,31/10/2023,Tin VIP Bạc,"Dự án Vinhomes Central Park, Đường Điện Biên Phủ, Phường 22, Bình Thạnh, Hồ Chí Minh"
