Diện tích,Mức giá,Số phòng ngủ,Số toilet,Pháp lý,Nội thất,Hướng nhà,Hướng ban công,Ngày đăng,Ngày hết hạn,Loại tin,Địa chỉ
68 m²,"2,6 tỷ",2 phòng,2 phòng,,Đầy đủ,,,19/10/2023,29/10/2023,Tin thường,"Dự án Osimi Tower, Đường Lê Đức Thọ, Phường 15, Gò Vấp, Hồ Chí Minh"
80 m²,"2,1 tỷ",2 phòng,2 phòng,Sổ hồng riêng.,,,,19/10/2023,29/10/2023,Tin thường,"Dự án Phú Gia Hưng Apartment, Đường 2, Phường 15, Gò Vấp, Hồ Chí Minh"
72 m²,"3,4 tỷ",2 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,,,19/10/2023,03/11/2023,Tin thường,"Dự án Sunny Plaza, Đường Phạm Văn Đồng, Phường 3, Gò Vấp, Hồ Chí Minh"
73 m²,"2,2 tỷ",2 phòng,2 phòng,,,,,19/10/2023,29/10/2023,Tin thường,"Phú Gia Hưng Apartment, 730/126, Đường Lê Đức Thọ, Phường 15, Gò Vấp, Hồ Chí Minh"
69 m²,"3,46 tỷ",2 phòng,2 phòng,Hợp đồng mua bán,Cơ bản,,,24/10/2023,08/11/2023,Tin thường,"Dự án The Privia, Đường An Dương Vương, Phường An Lạc, Bình Tân, Hồ Chí Minh"
74 m²,"2,35 tỷ",2 phòng,1 phòng,Hợp đồng mua bán.,,,,19/10/2023,29/10/2023,Tin thường,"Dự án Khang Gia Gò Vấp, Đường Số 45, Phường 14, Gò Vấp, Hồ Chí Minh"
62 m²,"2,45 tỷ",2 phòng,2 phòng,Sổ đỏ/ Sổ hồng.,Đầy đủ.,,,19/10/2023,03/11/2023,Tin thường,"Dự án Gia Phát Apartment, Đường Lê Đức Thọ, Phường 17, Gò Vấp, Hồ Chí Minh"
54 m²,"1,25 tỷ",1 phòng,1 phòng,Hợp đồng mua bán.,,Đông - Bắc,Tây - Nam,19/10/2023,29/10/2023,Tin thường,"Dự án Khang Gia Gò Vấp, Đường Phan Huy Ích, Phường 14, Gò Vấp, Hồ Chí Minh"
76 m²,"1,62 tỷ",2 phòng,2 phòng,Hợp đồng mua bán,Không nội thất,Tây - Nam,Đông - Bắc,19/10/2023,29/10/2023,Tin thường,"Dự án Khang Gia Gò Vấp, Đường Phan Huy Ích, Phường 14, Gò Vấp, Hồ Chí Minh"
"79,2 m²","2,65 tỷ",2 phòng,2 phòng,,,,,10/10/2023,09/11/2023,Tin thường,"Dự án Gateway Vũng Tàu, Đường 3/2, Phường Nguyễn An Ninh, Vũng Tàu, Bà Rịa Vũng Tàu"
112 m²,"3,85 tỷ",3 phòng,3 phòng,Sổ đỏ/ Sổ hồng.,Đầy đủ.,,,18/10/2023,28/10/2023,Tin thường,"Dự án The Splendor, Đường Nguyễn Văn Dung, Phường 6, Gò Vấp, Hồ Chí Minh"
81 m²,"3,05 tỷ",2 phòng,2 phòng,Sổ đỏ/ Sổ hồng.,,,,18/10/2023,28/10/2023,Tin thường,"Dự án The Splendor, Đường Nguyễn Văn Dung, Phường 6, Gò Vấp, Hồ Chí Minh"
75 m²,"3,05 tỷ",2 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,,,18/10/2023,28/10/2023,Tin thường,"Dự án Z751 Hà Đô, Đường Phan Văn Trị, Phường 10, Gò Vấp, Hồ Chí Minh"
75 m²,"3,99 tỷ",2 phòng,2 phòng,Đã có sổ hồng,Full nội thất cao cấp,,,18/10/2023,28/10/2023,Tin thường,"Dự án Samland Airport, Đường Nguyên Hồng, Phường 1, Gò Vấp, Hồ Chí Minh"
54 m²,"1,6 tỷ",1 phòng,,Đang chờ sổ,Đầy đủ,,,18/10/2023,28/10/2023,Tin thường,"Dự án I-Home 1, Đường Phạm Văn Chiêu, Phường 14, Gò Vấp, Hồ Chí Minh"
"72,5 m²","3,65 tỷ",2 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,,,18/10/2023,28/10/2023,Tin thường,"Dự án CityLand Park Hills, Đường Phan Văn Trị, Phường 10, Gò Vấp, Hồ Chí Minh"
58 m²,"2,15 tỷ",2 phòng,2 phòng,Sổ đỏ/ Sổ hồng.,Cơ bản,,,18/10/2023,28/10/2023,Tin thường,"Dự án Phú Gia Hưng Apartment, Đường Lê Đức Thọ, Phường 15, Gò Vấp, Hồ Chí Minh"
107 m²,"5,45 tỷ",3 phòng,2 phòng,,,,,18/10/2023,28/10/2023,Tin thường,"CityLand Park Hills, số 18, Đường Phan Văn Trị, Phường 10, Gò Vấp, Hồ Chí Minh"
50 m²,3 tỷ,1 phòng,1 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,,,18/10/2023,28/10/2023,Tin thường,"CityLand Park Hills, 18, Đường Phan Văn Trị, Phường 10, Gò Vấp, Hồ Chí Minh"
60 m²,"1,8 tỷ",2 phòng,2 phòng,Hợp đồng mua bán.,,,,17/10/2023,27/10/2023,Tin thường,"I-Home 1, 359, Đường Phạm Văn Chiêu, Phường 14, Gò Vấp, Hồ Chí Minh"
100 m²,"5,2 tỷ",3 phòng,,,,,,17/10/2023,27/10/2023,Tin thường,"CityLand Park Hills, 18, Đường Phan Văn Trị, Phường 10, Gò Vấp, Hồ Chí Minh"
"112,2 m²","3,9 tỷ",3 phòng,2 phòng,Sổ đỏ/ Sổ hồng.,,,,17/10/2023,27/10/2023,Tin thường,"Dự án The Splendor, Đường Nguyễn Văn Dung, Phường 6, Gò Vấp, Hồ Chí Minh"
