Diện tích,Mức giá,Số phòng ngủ,Số toilet,Pháp lý,Nội thất,Hướng nhà,Hướng ban công,Ngày đăng,Ngày hết hạn,Loại tin,Địa chỉ
76 m²,"1,08 tỷ",2 phòng,2 phòng,Hợp đồng mua bán,Cơ bản,,,25/10/2023,04/11/2023,Tin thường,"Dự án HQC Hóc Môn, Đường Nguyễn Thị Sóc, Xã Xuân Thới Đông, Hóc Môn, Hồ Chí Minh"
50 m²,"1,05 tỷ",2 phòng,,Đang chờ sổ,Đầy đủ,,,24/10/2023,03/11/2023,Tin thường,"Dự án HQC Hóc Môn, Đường Nguyễn Thị Sóc, Xã Xuân Thới Đông, Hóc Môn, Hồ Chí Minh"
75 m²,Thỏa thuận,2 phòng,2 phòng,Hợp đồng mua bán,,,,25/10/2023,04/11/2023,Tin thường,"Dự án HQC Hóc Môn, Đường Nguyễn Thị Sóc, Xã Xuân Thới Đông, Hóc Môn, Hồ Chí Minh"
65 m²,"1,25 tỷ",2 phòng,2 phòng,Hợp đồng mua bán,,,,24/10/2023,03/11/2023,Tin thường,"Dự án HQC Hóc Môn, Đường Nguyễn Thị Sóc, Xã Xuân Thới Đông, Hóc Môn, Hồ Chí Minh"
840 m²,"5,4 tỷ",1 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Cơ bản,Nam,Nam,27/10/2023,06/11/2023,Tin thường,"Đường Giồng Lớn, Xã Mỹ Hạnh Nam, Đức Hòa, Long An"
51 m²,"1,6 tỷ",1 phòng,,,,,,26/10/2023,05/11/2023,Tin thường,"Dự án 9X An Sương, Đường Song Hành, Thị trấn Hóc Môn, Hóc Môn, Hồ Chí Minh"
50 m²,1 tỷ,2 phòng,,Hợp đồng mua bán,Cơ bản,,,24/10/2023,03/11/2023,Tin thường,"Dự án HQC Hóc Môn, Đường Nguyễn Thị Sóc, Xã Xuân Thới Đông, Hóc Môn, Hồ Chí Minh"
50 m²,1 tỷ,2 phòng,2 phòng,Hợp đồng mua bán,Cơ bản,,,23/10/2023,02/11/2023,Tin thường,"Dự án HQC Hóc Môn, Đường Nguyễn Thị Sóc, Xã Xuân Thới Đông, Hóc Môn, Hồ Chí Minh"
50 m²,950 triệu,2 phòng,,Hợp đồng mua bán,,,,23/10/2023,02/11/2023,Tin thường,"Dự án HQC Hóc Môn, Đường Nguyễn Thị Sóc, Xã Xuân Thới Đông, Hóc Môn, Hồ Chí Minh"
50 m²,1 tỷ,2 phòng,,Hợp đồng mua bán,Cơ bản,,,23/10/2023,02/11/2023,Tin thường,"Dự án HQC Hóc Môn, Đường Nguyễn Thị Sóc, Xã Xuân Thới Đông, Hóc Môn, Hồ Chí Minh"
75 m²,"1,05 tỷ",2 phòng,2 phòng,Hợp đồng mua bán,Cơ bản,,Đông - Bắc,25/10/2023,09/11/2023,Tin thường,"Dự án Cheery 3 Apartment, Đường Nguyễn Thị Sóc, Xã Xuân Thới Đông, Hóc Môn, Hồ Chí Minh"
50 m²,"1,05 tỷ",2 phòng,1 phòng,Hợp đồng mua bán,Cơ bản,,,24/10/2023,03/11/2023,Tin thường,"Dự án HQC Hóc Môn, Đường Nguyễn Thị Sóc, Xã Xuân Thới Đông, Hóc Môn, Hồ Chí Minh"
53 m²,930 triệu,2 phòng,1 phòng,,,,,20/10/2023,30/10/2023,Tin thường,"Dự án HQC Hóc Môn, Đường Nguyễn Thị Sóc, Xã Xuân Thới Đông, Hóc Môn, Hồ Chí Minh"
50 m²,"1,05 tỷ",2 phòng,1 phòng,Hợp đồng mua bán,,Tây - Nam,Đông - Bắc,17/10/2023,01/11/2023,Tin thường,"Dự án HQC Hóc Môn, Đường Nguyễn Thị Sóc, Xã Xuân Thới Đông, Hóc Môn, Hồ Chí Minh"
70 m²,"2,1 tỷ",2 phòng,2 phòng,Hợp đồng mua bán,Cơ bản,,,16/10/2023,26/10/2023,Tin thường,"Dự án 9X An Sương, Đường Song Hành, Thị trấn Hóc Môn, Hóc Môn, Hồ Chí Minh"
50 m²,1 tỷ,2 phòng,,Đang chờ sổ,,,,16/10/2023,26/10/2023,Tin thường,"Dự án HQC Hóc Môn, Đường Nguyễn Thị Sóc, Xã Xuân Thới Đông, Hóc Môn, Hồ Chí Minh"
30 m²,820 triệu,1 phòng,1 phòng,Hợp đồng mua bán,Cơ bản,,,02/10/2023,12/10/2023,Tin thường,"Xã Đông Thạnh, Hóc Môn, Hồ Chí Minh"
50 m²,1 tỷ,2 phòng,1 phòng,Đang chờ sổ,,,,18/09/2023,28/09/2023,Tin thường,"Dự án HQC Hóc Môn, Đường Nguyễn Thị Sóc, Xã Xuân Thới Đông, Hóc Môn, Hồ Chí Minh"
60 m²,Thỏa thuận,2 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Cơ bản,,,06/09/2023,16/09/2023,Tin thường,"Dự án 9X An Sương, Đường Song Hành, Thị trấn Hóc Môn, Hóc Môn, Hồ Chí Minh"
35 m²,Thỏa thuận,1 phòng,1 phòng,Sổ đỏ/ Sổ hồng,,,,24/08/2023,03/09/2023,Tin thường,"Dự án 9X An Sương, Đường Song Hành, Thị trấn Hóc Môn, Hóc Môn, Hồ Chí Minh"
71 m²,"2,2 tỷ",2 phòng,2 phòng,,,Bắc,Bắc,12/08/2023,22/08/2023,Tin thường,"Dự án 9X An Sương, Đường Song Hành, Thị trấn Hóc Môn, Hóc Môn, Hồ Chí Minh"
