Diện tích,Mức giá,Số phòng ngủ,Số toilet,Pháp lý,Nội thất,Hướng nhà,Hướng ban công,Ngày đăng,Ngày hết hạn,Loại tin,Địa chỉ
85 m²,"5,5 tỷ",3 phòng,2 phòng,Hợp đồng mua bán,Đầy đủ,Tây - Nam,Đông - Bắc,25/10/2023,04/11/2023,Tin thường,"Dự án Orchard Park View, Đường Hồng Hà, Phường 9, Phú Nhuận, Hồ Chí Minh"
69 m²,"3,6 tỷ",2 phòng,2 phòng,Đang chờ sổ,Đầy đủ,Bắc,Nam,25/10/2023,04/11/2023,Tin thường,"Dự án Orchard Garden, Đường Hồng Hà, Phường 9, Phú Nhuận, Hồ Chí Minh"
83 m²,5 tỷ,2 phòng,2 phòng,,,Đông - Nam,Tây - Bắc,25/10/2023,04/11/2023,Tin thường,"Dự án Orchard Park View, Đường Hồng Hà, Phường 9, Phú Nhuận, Hồ Chí Minh"
73 m²,"4,55 tỷ",2 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,Tây - Bắc,Đông - Nam,25/10/2023,04/11/2023,Tin thường,"Dự án Orchard Garden, Đường Hồng Hà, Phường 9, Phú Nhuận, Hồ Chí Minh"
32 m²,1 tỷ,1 phòng,1 phòng,Hợp đồng mua bán,Cơ bản,,,20/10/2023,30/10/2023,Tin thường,"Dự án Legacy Prime, Đường Thuận Giao 25, Phường Thuận Giao, Thuận An, Bình Dương"
75 m²,"5,1 tỷ",2 phòng,2 phòng,,,,,25/10/2023,04/11/2023,Tin thường,"Dự án Garden Gate, Đường Hoàng Minh Giám, Phường 9, Phú Nhuận, Hồ Chí Minh"
85 m²,"5,4 tỷ",2 phòng,2 phòng,Hợp đồng mua bán,Đầy đủ,,,25/10/2023,09/11/2023,Tin thường,"Dự án Garden Gate, Đường Hoàng Minh Giám, Phường 9, Phú Nhuận, Hồ Chí Minh"
141 m²,10 tỷ,3 phòng,2 phòng,,,,,19/10/2023,03/11/2023,Tin thường,"The Prince Residence, 17 - 19 - 21, Đường Nguyễn Văn Trỗi, Phường 14, Phú Nhuận, Hồ Chí Minh"
97 m²,6 tỷ,3 phòng,2 phòng,,Đầy đủ (full).,,,17/10/2023,01/11/2023,Tin thường,"Dự án Newton Residence, Đường Trương Quốc Dung, Phường 8, Phú Nhuận, Hồ Chí Minh"
62 m²,48 triệu/m²,,,GPXD hoàn chỉnh,Cơ bản,,,24/10/2023,08/11/2023,Tin VIP Bạc,"The Privia, Số 158, Đường An Dương Vương, Phường An Lạc, Bình Tân, Hồ Chí Minh"
95 m²,"4,7 tỷ",2 phòng,2 phòng,,,,,25/10/2023,04/11/2023,Tin thường,"Dự án Botanic Towers, Đường Nguyễn Thượng Hiền, Phường 5, Phú Nhuận, Hồ Chí Minh"
120 m²,"6,3 tỷ",3 phòng,2 phòng,Sổ đỏ/ Sổ hồng,,,,25/10/2023,04/11/2023,Tin thường,"Satra Eximland, 163, Phố Phan Đăng Lưu, Phường 1, Phú Nhuận, Hồ Chí Minh"
75 m²,Thỏa thuận,2 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Cơ bản,Bắc,Đông - Bắc,24/10/2023,03/11/2023,Tin thường,"Golden Mansion, 119, Đường Phổ Quang, Phường 9, Phú Nhuận, Hồ Chí Minh"
72 m²,"4,7 tỷ",2 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,Tây - Nam,Đông - Bắc,24/10/2023,03/11/2023,Tin thường,"Dự án Golden Mansion, Đường Phổ Quang, Phường 9, Phú Nhuận, Hồ Chí Minh"
70 m²,Thỏa thuận,2 phòng,2 phòng,Hợp đồng mua bán,Đầy đủ,Nam,Bắc,21/10/2023,31/10/2023,Tin thường,"Dự án Kingston Residence, Đường Nguyễn Văn Trỗi, Phường 8, Phú Nhuận, Hồ Chí Minh"
93 m²,"3,9 tỷ",2 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Cơ bản.,,,20/10/2023,30/10/2023,Tin thường,"Dự án Botanic Towers, Đường Nguyễn Thượng Hiền, Phường 5, Phú Nhuận, Hồ Chí Minh"
70 m²,Thỏa thuận,2 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Cơ bản,,,24/10/2023,03/11/2023,Tin thường,"Dự án Golden Mansion, Đường Phổ Quang, Phường 9, Phú Nhuận, Hồ Chí Minh"
75 m²,"4,5 tỷ",2 phòng,,,,,,24/10/2023,03/11/2023,Tin thường,"Dự án The Prince Residence, Đường Nguyễn Văn Trỗi, Phường 12, Phú Nhuận, Hồ Chí Minh"
97 m²,6 tỷ,3 phòng,2 phòng,,,,,24/10/2023,03/11/2023,Tin thường,"Dự án Newton Residence, Đường Trương Quốc Dung, Phường 8, Phú Nhuận, Hồ Chí Minh"
103 m²,"6,7 tỷ",3 phòng,2 phòng,,Đầy đủ,,,24/10/2023,03/11/2023,Tin thường,"Dự án Garden Gate, Đường Hoàng Minh Giám, Phường 9, Phú Nhuận, Hồ Chí Minh"
69 m²,"3,49 tỷ",2 phòng,2 phòng,,Cơ bản,,,24/10/2023,03/11/2023,Tin thường,"Dự án Golden Mansion, Đường Phổ Quang, Phường 9, Phú Nhuận, Hồ Chí Minh"
96 m²,"6,88 tỷ",3 phòng,2 phòng,,,,,24/10/2023,03/11/2023,Tin thường,"Dự án Orchard Park View, Đường Hồng Hà, Phường 9, Phú Nhuận, Hồ Chí Minh"
