Diện tích,Mức giá,Số phòng ngủ,Số toilet,Pháp lý,Nội thất,Hướng nhà,Hướng ban công,Ngày đăng,Ngày hết hạn,Loại tin,Địa chỉ
37 m²,"1,75 tỷ",1 phòng,1 phòng,,,,,19/10/2023,29/10/2023,Tin thường,"Sky Center, 5B, Đường Phổ Quang, Phường 2, Tân Bình, Hồ Chí Minh"
36 m²,"1,72 tỷ",1 phòng,,Hợp đồng mua bán,,,,24/10/2023,03/11/2023,Tin thường,"Dự án Sky Center, Đường Phổ Quang, Phường 2, Tân Bình, Hồ Chí Minh"
37 m²,"1,75 tỷ",,1 phòng,Hợp đồng mua bán,Đầy đủ,,,27/10/2023,06/11/2023,Tin thường,"Dự án Sky Center, Đường Phổ Quang, Phường 2, Tân Bình, Hồ Chí Minh"
81 m²,"2,5 tỷ",2 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,,,02/10/2023,01/11/2023,Tin thường,"Chung cư Phúc Yên, số 33, Đường Phan Huy Ích, Phường 15, Tân Bình, Hồ Chí Minh"
70 m²,Thỏa thuận,2 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Cơ bản,,,27/10/2023,06/11/2023,Tin thường,"Dự án Botanica Premier, Đường Hồng Hà, Phường 2, Tân Bình, Hồ Chí Minh"
85 m²,"3,9 tỷ",2 phòng,2 phòng,Hợp đồng mua bán,Cơ bản,Đông - Nam,Tây - Bắc,24/10/2023,03/11/2023,Tin thường,"Dự án Celadon City, Đường N1, Phường Sơn Kỳ, Tân Phú, Hồ Chí Minh"
80 m²,Thỏa thuận,2 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,,,27/10/2023,06/11/2023,Tin thường,"Dự án Sky Center, Đường Phổ Quang, Phường 2, Tân Bình, Hồ Chí Minh"
74 m²,Thỏa thuận,2 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,,,27/10/2023,06/11/2023,Tin thường,"Dự án Carillon Apartment, Đường Hoàng Hoa Thám, Phường 13, Tân Bình, Hồ Chí Minh"
30 m²,970 triệu,,,Hợp đồng mua bán,,Đông - Nam,,27/10/2023,06/11/2023,Tin thường,"Dự án Diyas Sky, Đường Nguyễn Đức Thuận, Phường 13, Tân Bình, Hồ Chí Minh"
105 m²,3 tỷ,3 phòng,2 phòng,,,,,27/10/2023,06/11/2023,Tin thường,"Chung cư Phúc Yên, 31 - 33, Đường Phan Huy Ích, Phường 15, Tân Bình, Hồ Chí Minh"
62 m²,48 triệu/m²,,,GPXD hoàn chỉnh,Cơ bản,,,24/10/2023,08/11/2023,Tin VIP Bạc,"The Privia, Số 158, Đường An Dương Vương, Phường An Lạc, Bình Tân, Hồ Chí Minh"
88 m²,"4,2 tỷ",3 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,Đông,Tây,27/10/2023,06/11/2023,Tin thường,"Dự án Bàu Cát II, Đường Ni Sư Huỳnh Liên, Phường 10, Tân Bình, Hồ Chí Minh"
72 m²,"4,8 tỷ",2 phòng,2 phòng,,,,,19/10/2023,03/11/2023,Tin thường,"Dự án Park Legend, Đường Hoàng Văn Thụ, Phường 2, Tân Bình, Hồ Chí Minh"
100 m²,5 tỷ,3 phòng,2 phòng,,,,,19/10/2023,03/11/2023,Tin thường,"Dự án The Botanica, Đường Phổ Quang, Phường 2, Tân Bình, Hồ Chí Minh"
97 m²,"5,8 tỷ",3 phòng,2 phòng,,,,,17/10/2023,01/11/2023,Tin thường,"Dự án Botanica Premier, Đường Hồng Hà, Phường 2, Tân Bình, Hồ Chí Minh"
80 m²,"4,1 tỷ",2 phòng,2 phòng,Hợp đồng mua bán,Đầy đủ,,,25/10/2023,09/11/2023,Tin thường,"Dự án Sky Center, Đường Phổ Quang, Phường 2, Tân Bình, Hồ Chí Minh"
75 m²,"3,65 tỷ",2 phòng,2 phòng,,,,,19/10/2023,03/11/2023,Tin thường,"Dự án Sky Center, Đường Phổ Quang, Phường 2, Tân Bình, Hồ Chí Minh"
97 m²,"5,3 tỷ",3 phòng,2 phòng,,Đầy đủ,,,18/10/2023,02/11/2023,Tin thường,"Dự án Sky Center, Đường Phổ Quang, Phường 2, Tân Bình, Hồ Chí Minh"
52 m²,"1,85 tỷ",,,,,,,27/10/2023,06/11/2023,Tin thường,"Dự án Republic Plaza, Đường Cộng Hòa, Phường 4, Tân Bình, Hồ Chí Minh"
77 m²,"3,4 tỷ",,,,,,,26/10/2023,05/11/2023,Tin thường,"Dự án Republic Plaza, Đường Cộng Hòa, Phường 4, Tân Bình, Hồ Chí Minh"
77 m²,"2,7 tỷ",2 phòng,2 phòng,,Hoàn thiện cơ bản.,Bắc,,27/10/2023,06/11/2023,Tin thường,"Dự án Cộng Hòa Garden, 20 Đường Cộng Hòa, Phường 12, Tân Bình, Hồ Chí Minh"
75 m²,"2,83 tỷ",2 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,,,27/10/2023,06/11/2023,Tin thường,"Dự án The Harmona, Đường Trương Công Định, Phường 14, Tân Bình, Hồ Chí Minh"
"74,31 m²","3,7 tỷ",2 phòng,2 phòng,,,Nam,,27/10/2023,06/11/2023,Tin thường,"Sky Center, số 10, Đường Phổ Quang, Phường 2, Tân Bình, Hồ Chí Minh"
