Diện tích,Mức giá,Số phòng ngủ,Số toilet,Pháp lý,Nội thất,Hướng nhà,Hướng ban công,Ngày đăng,Ngày hết hạn,Loại tin,Địa chỉ
96 m²,"4,55 tỷ",2 phòng,2 phòng,Hợp đồng mua bán,Cơ bản,,,24/10/2023,03/11/2023,Tin thường,"Dự án Celadon City, Đường N1, Phường Sơn Kỳ, Tân Phú, Hồ Chí Minh"
84 m²,"4,2 tỷ",2 phòng,2 phòng,Hợp đồng mua bán,Đầy đủ,,,24/10/2023,03/11/2023,Tin thường,"Dự án Celadon City, Đường N1, Phường Sơn Kỳ, Tân Phú, Hồ Chí Minh"
98 m²,"3,4 tỷ",3 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,,,24/10/2023,03/11/2023,Tin thường,"Dự án Celadon City, Đường N1, Phường Sơn Kỳ, Tân Phú, Hồ Chí Minh"
119 m²,"5,1 tỷ",3 phòng,,,,,,26/10/2023,05/11/2023,Tin thường,"Dự án Celadon City, Đường N1, Phường Sơn Kỳ, Tân Phú, Hồ Chí Minh."
96 m²,"5,2 tỷ",2 phòng,2 phòng,Hợp đồng mua bán,,Đông - Bắc,,09/10/2023,Tin thường,36598031,"Dự án Celadon City, Đường N1, Phường Sơn Kỳ, Tân Phú, Hồ Chí Minh"
71 m²,Thỏa thuận,2 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,,,28/10/2023,07/11/2023,Tin thường,"Dự án Celadon City, Đường N1, Phường Sơn Kỳ, Tân Phú, Hồ Chí Minh"
104 m²,"4,12 tỷ",3 phòng,2 phòng,Hợp đồng mua bán,,,,28/10/2023,07/11/2023,Tin thường,"Dự án Celadon City, Đường N1, Phường Sơn Kỳ, Tân Phú, Hồ Chí Minh"
78 m²,"2,7 tỷ",2 phòng,2 phòng,,Đầy đủ.,,,18/10/2023,02/11/2023,Tin thường,"Dự án Oriental Plaza, Đường Âu Cơ, Phường Tân Thành, Tân Phú, Hồ Chí Minh"
50 m²,"1,5 tỷ",2 phòng,1 phòng,Hợp đồng mua bán,Đầy đủ,,,28/10/2023,07/11/2023,Tin thường,"IDICO Tân Phú, 262/ 15, Đường Lũy Bán Bích, Phường Hòa Thạnh, Tân Phú, Hồ Chí Minh"
85 m²,55 triệu/m²,2 phòng,2 phòng,Hợp đồng mua bán,Cơ bản,,,28/10/2023,07/11/2023,Tin thường,"Dự án Celadon City, Đường N1, Phường Sơn Kỳ, Tân Phú, Hồ Chí Minh"
85 m²,"3,9 tỷ",2 phòng,2 phòng,Hợp đồng mua bán,Cơ bản,Đông - Nam,Tây - Bắc,24/10/2023,03/11/2023,Tin thường,"Dự án Celadon City, Đường N1, Phường Sơn Kỳ, Tân Phú, Hồ Chí Minh"
66 m²,3 tỷ,2 phòng,2 phòng,,,,,18/10/2023,02/11/2023,Tin thường,"Dự án Res Green Tower, Đường Thoại Ngọc Hầu, Phường Hòa Thạnh, Tân Phú, Hồ Chí Minh"
71 m²,"3,32 tỷ",2 phòng,2 phòng,Hợp đồng mua bán,,,,28/10/2023,07/11/2023,Tin thường,"Dự án Celadon City, Đường N1, Phường Sơn Kỳ, Tân Phú, Hồ Chí Minh"
63 m²,"2,89 tỷ",2 phòng,1 phòng,Hợp đồng mua bán,Đầy đủ,,,28/10/2023,07/11/2023,Tin thường,"Dự án Celadon City, Đường N1, Phường Sơn Kỳ, Tân Phú, Hồ Chí Minh"
71 m²,"3,05 tỷ",2 phòng,2 phòng,Hợp đồng mua bán,,,,28/10/2023,07/11/2023,Tin thường,"Dự án Celadon City, Đường N1, Phường Sơn Kỳ, Tân Phú, Hồ Chí Minh"
75 m²,"2,3 tỷ",2 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,Đông,Đông - Nam,28/10/2023,07/11/2023,Tin thường,"Dự án Quang Thái, Đường Lý Thánh Tông, Phường Tân Thới Hòa, Tân Phú, Hồ Chí Minh"
53 m²,"2,3 tỷ",1 phòng,1 phòng,Hợp đồng mua bán,Đầy đủ,,,28/10/2023,07/11/2023,Tin thường,"Dự án Celadon City, Đường N1, Phường Sơn Kỳ, Tân Phú, Hồ Chí Minh"
71 m²,"2,6 tỷ",2 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Full NT.,Đông,Đông - Nam,28/10/2023,07/11/2023,Tin thường,"Dự án Carillon 5, Đường Lũy Bán Bích, Phường Hòa Thạnh, Tân Phú, Hồ Chí Minh"
75 m²,"2,5 tỷ",2 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,Đông,Đông - Nam,28/10/2023,07/11/2023,Tin thường,"Dự án Âu Cơ Tower, Đường Âu Cơ, Phường Tân Thành, Tân Phú, Hồ Chí Minh"
83 m²,"3,1 tỷ",3 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,Đông,Đông - Nam,28/10/2023,07/11/2023,Tin thường,"Dự án An Gia Garden, Đường Tân Kỳ Tân Quý, Phường Tân Sơn Nhì, Tân Phú, Hồ Chí Minh"
82 m²,"3,35 tỷ",2 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Không nội thất,Đông,Đông - Nam,28/10/2023,07/11/2023,Tin thường,"Oriental Plaza, 685, Đường Âu Cơ, Tân Phú, Hồ Chí Minh"
78 m²,"2,7 tỷ",2 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,,,28/10/2023,07/11/2023,Tin thường,"Dự án Oriental Plaza, Đường Âu Cơ, Phường Tân Thành, Tân Phú, Hồ Chí Minh"
