Diện tích,Mức giá,Số phòng ngủ,Số toilet,Pháp lý,Nội thất,Hướng nhà,Hướng ban công,Ngày đăng,Ngày hết hạn,Loại tin,Địa chỉ
51 m²,"2,4 tỷ",2 phòng,2 phòng,,,,,20/10/2023,30/10/2023,Tin thường,"Dự án Moonlight Residences, Đường Đặng Văn Bi, Phường Bình Thọ, Thủ Đức, Hồ Chí Minh"
66 m²,"2,89 tỷ",2 phòng,2 phòng,,,,,20/10/2023,30/10/2023,Tin thường,"Dự án Moonlight Residences, Đường Đặng Văn Bi, Phường Bình Thọ, Thủ Đức, Hồ Chí Minh"
54 m²,"1,65 tỷ",2 phòng,1 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,,,19/10/2023,03/11/2023,Tin thường,"Dự án Fresca Riverside, Đường Số 6, Phường Bình Chiểu, Thủ Đức, Hồ Chí Minh"
"86,2 m²","4,8 tỷ",3 phòng,,Sổ hồng,Full NT.,Tây - Nam,Đông - Bắc,22/10/2023,01/11/2023,Tin thường,"Dự án Opal Garden, Đường 20, Phường Hiệp Bình Chánh, Thủ Đức, Hồ Chí Minh"
89 m²,"3,3 tỷ",2 phòng,2 phòng,,"Nội thất đầy đủ: 2 máy lạnh, bếp từ đôi...",,,13/10/2023,12/11/2023,Tin thường,"Dự án 4S Riverside Garden, Đường 17, Phường Hiệp Bình Chánh, Thủ Đức, Hồ Chí Minh"
35 m²,Thỏa thuận,1 phòng,1 phòng,Hợp đồng mua bán,Đầy đủ,Đông,Nam,25/10/2023,09/11/2023,Tin thường,"Dự án The 5Way Phú Quốc, Xã Gành Dầu, Phú Quốc, Kiên Giang"
62 m²,"2,75 tỷ",2 phòng,1 phòng,,,,Đông - Nam,19/10/2023,03/11/2023,Tin thường,"Dự án Moonlight Residences, Thành phố Thủ Đức, Hồ Chí Minh"
57 m²,"1,75 tỷ",2 phòng,2 phòng,Sổ đỏ/ Sổ hồng,,Tây - Bắc,Đông - Nam,19/10/2023,03/11/2023,Tin thường,"Dự án Sunview Town, Đường Gò Dưa, Phường Hiệp Bình Phước, Thủ Đức, Hồ Chí Minh"
86 m²,"4,7 tỷ",3 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,Tây - Nam,,18/10/2023,02/11/2023,Tin thường,"Dự án Opal Garden, Đường 20, Phường Hiệp Bình Chánh, Thủ Đức, Hồ Chí Minh."
60 m²,2 tỷ,2 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,Tây - Bắc,Đông - Nam,18/10/2023,17/11/2023,Tin thường,"Dự án Fresca Riverside, Đường Số 6, Phường Bình Chiểu, Thủ Đức, Hồ Chí Minh"
52 m²,"3,57 tỷ",2 phòng,1 phòng,Hợp đồng mua bán,Cơ bản,Đông - Nam,Đông - Nam,22/08/2023,Tin thường,36725383,"Dự án Moonlight Avenue, Đường 4, Phường Trường Thọ, Thủ Đức, Hồ Chí Minh"
45 m²,"1,55 tỷ",1 phòng,1 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,Tây - Nam,Đông - Bắc,18/10/2023,02/11/2023,Tin thường,"Dự án Sunview Town, Đường Gò Dưa, Phường Hiệp Bình Phước, Thủ Đức, Hồ Chí Minh"
60 m²,"1,98 tỷ",2 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,,,18/10/2023,02/11/2023,Tin thường,"Dự án Fresca Riverside, Đường Số 6, Phường Bình Chiểu, Thủ Đức, Hồ Chí Minh"
89 m²,"2,3 tỷ",2 phòng,2 phòng,,,,,18/10/2023,02/11/2023,Tin thường,"Dự án Linh Tây, Đường Đào Trinh Nhất, Phường Linh Tây, Thủ Đức, Hồ Chí Minh"
"61,4 m²","1,45 tỷ",2 phòng,2 phòng,Đang chờ sổ.,Đầy đủ.,,,18/10/2023,17/11/2023,Tin thường,"Phường Tân Phú, Thủ Đức, Hồ Chí Minh"
70 m²,"3,95 tỷ",2 phòng,2 phòng,Hợp đồng mua bán,Bàn giao nội thất chủ đầu tư.,,,18/10/2023,17/11/2023,Tin thường,"Dự án ST Moritz Phạm Văn Đồng, Đường Phạm Văn Đồng, Phường Hiệp Bình Chánh, Thủ Đức, Hồ Chí Minh"
60 m²,2 tỷ,2 phòng,2 phòng,Sổ đỏ/ Sổ hồng,,Tây - Nam,Đông - Bắc,17/10/2023,01/11/2023,Tin thường,"Dự án Fresca Riverside, Đường D6, Phường Bình Chiểu, Thủ Đức, Hồ Chí Minh"
62 m²,"1,69 tỷ",2 phòng,2 phòng,,Tặng nội thất xịn xò,Đông - Nam,Tây - Bắc,17/10/2023,01/11/2023,Tin thường,"Dự án TDH Bình Chiểu, Đường Số 6, Phường Bình Chiểu, Thủ Đức, Hồ Chí Minh"
